# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:10:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\35nqp1b1.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation5\exponential_priors-20240423121007.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-296.388,1,0.0625,1,1,0,342.132,0.717696,0.659268,1.57173
-296.388,0,14.3855,0,1,1,297.709,0.717696,0.659268,1.57173
-296.388,0,2.43117,0,1,1,298.61,0.717696,0.659268,1.57173
-296.388,0,0.239791,0,1,1,302.567,0.717696,0.659268,1.57173
-292.238,0.978234,0.0186273,3,7,0,299.428,0.857432,0.711855,1.52424
-290.698,0.995556,0.0241093,3,15,0,293.178,0.840537,0.769215,1.88723
-291.701,0.989838,0.0372905,4,15,0,292.509,0.779178,0.964002,1.82248
-291.716,0.949952,0.061368,3,7,0,292.517,0.945221,0.758708,2.35956
-290.906,0.538879,0.0935946,2,3,0,293.545,0.94943,0.868472,1.93245
-290.961,0.990465,0.0401166,4,15,0,292.268,0.807696,1.32624,2.90627
-292.094,0.599576,0.0727068,2,3,0,292.918,0.896071,1.3588,2.6918
-291.552,1,0.0388203,3,7,0,292.617,0.796754,1.16901,2.87353
-289.976,1,0.0741053,1,1,0,291.178,0.818499,1.18276,2.72704
-289.976,1.08842e-009,0.141772,1,3,1,290.754,0.818499,1.18276,2.72704
-289.68,0.999765,0.011979,5,31,0,291.232,1.04312,1.12199,3.00874
-290.584,0.966352,0.0232085,2,7,0,290.919,1.05304,1.15457,2.89997
-289.192,0.885804,0.0403823,3,7,0,292.043,0.969805,1.0701,3.06855
-289.36,0.906564,0.0546659,3,7,0,290.533,0.839423,1.06122,2.5534
-289.725,0.855079,0.0786172,3,7,0,290.499,0.834782,0.969238,2.39903
