# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:16:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\h83racyg.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation6\exponential_priors-20240423121655.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-234.43,1,0.0625,1,1,0,265.654,0.762104,0.6242,1.5316
-234.43,0,14.3855,0,1,1,236.622,0.762104,0.6242,1.5316
-234.43,0,2.43117,0,1,1,237.529,0.762104,0.6242,1.5316
-234.43,0,0.239791,0,1,1,234.76,0.762104,0.6242,1.5316
-223.075,0.998422,0.0186273,4,31,0,236.601,1.0416,0.934976,1.83074
-223.14,0.991289,0.025605,3,7,0,224.161,0.897103,0.785181,1.82333
-224.611,0.988627,0.0391533,2,7,0,225.106,1.08327,0.748914,1.542
-224.414,0.984365,0.0642433,3,7,0,225.135,0.992955,0.707367,1.87829
-224.414,0.000930777,0.109219,1,3,0,226.395,0.992955,0.707367,1.87829
-222.836,0.999979,0.00856883,5,31,0,225.085,1.06648,0.727571,1.89099
-222.142,0.995526,0.0159701,4,31,0,223.872,1.09652,0.835288,1.88669
-220.987,0.995478,0.0298334,3,15,0,222.739,0.937605,0.910712,1.99625
-221.693,0.753992,0.0561892,1,1,0,221.788,0.916582,0.898718,2.01817
-221.835,0.992623,0.0497686,3,15,0,222.418,1.0008,1.03645,2.47706
-221.835,7.84564e-011,0.0934202,1,3,0,225.878,1.0008,1.03645,2.47706
-221.224,1,0.00806768,4,15,0,221.919,1.01065,1.07763,2.29947
-222.382,0.974908,0.0156832,4,31,0,223.89,0.99669,1.13051,2.2052
-222.515,0.992795,0.0280665,3,7,0,223.898,0.878345,1.15899,2.27297
-222.7,0.723651,0.0526896,3,7,0,225.274,1.04351,0.764832,1.99363
-222.453,1,0.043685,3,9,0,223.902,0.894167,1.17319,2.33076
-222.213,0.111336,0.0829266,3,7,0,224.134,0.97814,1.06583,2.52033
-222.054,0.999865,0.0112682,4,23,0,223.549,1.02028,1.15829,2.64565
-221.414,0.995529,0.0214402,4,15,0,222.297,1.0461,1.07073,2.45776
-221.752,0.908109,0.0398801,2,7,0,222.615,0.953044,1.13155,2.43056
-221.585,1,0.0570873,3,7,0,222.099,1.05734,1.01179,2.46492
-221.585,0.151562,0.105649,1,3,0,222.875,1.05734,1.01179,2.46492
-225.329,0.888385,0.0174969,3,7,0,227.562,0.929372,0.933003,2.4033
-223.506,1,0.0236695,3,7,0,225.825,0.94451,0.933402,2.3205
-221.974,0.975261,0.0434786,2,7,0,224.047,1.1042,0.919188,2.07398
-221.057,0.396586,0.0738416,2,7,0,223.042,1.01557,1.04565,2.32295
-221.595,0.981101,0.0254834,3,7,0,221.913,0.973363,1.13938,2.36196
-221.847,0.993546,0.0437829,3,7,0,222.064,0.926627,1.1375,2.35317
-221.382,0.993276,0.0770985,4,15,0,223.897,0.864035,0.924766,1.81188
-220.686,0.334345,0.134419,1,3,0,221.204,0.960942,0.925726,1.93311
-220.997,0.986607,0.0405032,3,15,0,221.425,1.04566,0.920188,2.14681
-220.906,0.935974,0.0691183,2,3,0,221.194,0.984047,1.00217,2.07286
-220.906,0.127861,0.102478,1,3,0,222.185,0.984047,1.00217,2.07286
-221.632,0.949132,0.0186435,3,7,0,223.494,0.971649,0.993109,1.925
-221.467,0.991513,0.0286992,3,7,0,222.15,0.959248,0.928523,2.15605
-221.175,0.955099,0.048888,2,7,0,222.109,0.917313,0.978532,1.89506
-223.755,0.263925,0.0753311,2,5,0,224.152,0.872846,0.929506,2.13651
-224.043,0.997967,0.0203302,3,15,0,225.315,0.900626,1.14681,1.99011
-223.437,1,0.0348505,4,15,0,224.691,1.16375,1.04257,2.40464
-221.521,0.988219,0.059563,3,15,0,223.3,0.867318,0.861498,1.65387
-221.946,0.443558,0.0981194,1,1,0,222.442,0.865389,0.821614,1.71871
-223.125,0.887265,0.0424987,3,7,0,223.486,0.910588,0.744542,1.73767
-221.902,0.809416,0.0545492,3,7,0,226.508,0.93797,0.760935,1.5241
-222.009,0.9907,0.0578485,3,7,0,222.46,0.846123,0.804852,1.58669
-222.009,1.21679e-005,0.0945063,1,1,0,223.407,0.846123,0.804852,1.58669
-222.945,0.992345,0.014613,5,47,0,228.427,0.941329,1.23416,2.63163
-220.969,0.975754,0.0240205,4,15,0,224.515,0.997473,0.853736,1.96043
-221.387,0.984865,0.037723,3,15,0,221.88,1.07642,0.893244,2.03635
