# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:25:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\mch58frk.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation7\exponential_priors-20240423122552.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-275.535,1,0.0625,2,3,0,320.465,0.812103,0.586495,1.58474
-275.535,0,14.3855,0,1,1,276.722,0.812103,0.586495,1.58474
-275.535,0,2.43117,0,1,1,276.481,0.812103,0.586495,1.58474
-275.535,0,0.239791,0,1,1,276.658,0.812103,0.586495,1.58474
-268.653,0.998382,0.0186273,3,15,0,278.921,0.882207,0.831867,1.5588
-269.749,0.900012,0.0256019,3,7,0,272.569,0.947775,0.666498,1.8769
-267.306,0.999676,0.0296033,4,15,0,270.282,0.945722,0.663987,1.55128
-267.74,0.950523,0.0500404,3,7,0,268.635,1.00039,0.661381,1.74059
-267.082,0.558674,0.076305,2,7,0,268.948,1.02584,0.741501,1.80261
-266.921,0.938853,0.0347812,2,7,0,268.637,0.959727,0.733584,1.78789
-268.079,0.893624,0.0535338,2,7,0,268.422,1.09275,0.743913,1.8644
-270.029,0.743766,0.0723832,2,3,0,270.569,1.03322,0.683849,2.13788
-268.264,1,0.0615418,2,3,0,269.933,1.07233,0.830157,1.91149
-268.264,0.0290444,0.117834,1,3,0,268.782,1.07233,0.830157,1.91149
-268.185,1,0.0109111,2,3,0,268.288,1.06947,0.829162,1.90911
-267.055,0.963258,0.0211675,3,7,0,270.109,0.918714,0.805547,1.92385
-267.559,0.966252,0.0365052,3,15,0,269.122,1.01473,0.692597,1.6128
-267.858,0.99376,0.0632283,2,3,0,268.424,1.03028,0.641401,1.60491
-267.908,1,0.118299,1,1,0,268.067,1.01057,0.625195,1.59068
