# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:33:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\b033se7a.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation8\exponential_priors-20240423123358.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-319.202,1,0.0625,2,3,0,372.028,0.698016,0.630184,1.6217
-319.202,0,14.3855,0,1,1,320.367,0.698016,0.630184,1.6217
-319.202,0,2.43117,0,1,1,320.209,0.698016,0.630184,1.6217
-319.202,0,0.239791,0,1,1,319.521,0.698016,0.630184,1.6217
-316.704,0.997454,0.0186273,2,3,0,319.841,0.705963,0.647661,1.53053
-315.641,0.99955,0.0255312,4,15,0,317.162,0.729013,0.645599,1.50794
-314.444,1,0.0400374,2,3,0,315.573,0.771837,0.671087,1.42439
-314.602,0.744605,0.0680863,3,15,0,317.662,0.929195,1.31929,3.77648
-312.758,0.943989,0.0545173,3,15,0,315.331,0.960975,1.19762,2.96122
-312.949,1,0.083765,2,3,0,313.548,0.922366,1.23295,3.34527
-312.949,1.42634e-018,0.156622,1,1,0,315.464,0.922366,1.23295,3.34527
-312.856,0.994299,0.0125736,3,15,0,313.982,0.972818,1.18794,2.98507
-311.893,0.999931,0.0236551,4,31,0,313.654,0.864103,0.979936,2.65138
-312.019,0.92693,0.0454742,2,7,0,313.361,0.830332,1.0839,2.317
-311.687,0.995925,0.0695838,2,5,0,312.589,0.924331,0.946157,2.66766
-311.687,3.09517e-007,0.13175,1,3,1,313.434,0.924331,0.946157,2.66766
-312.305,0.998611,0.011581,5,31,0,312.769,0.996519,0.979643,2.76164
-312.285,1,0.0223312,1,1,0,312.319,0.995349,0.98089,2.76439
-311.375,0.932166,0.0429242,3,15,0,313.738,0.834667,0.899753,2.19678
