# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:39:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\cv8nyewt.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation9\exponential_priors-20240423123934.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-316.914,1,0.0625,2,7,0,350.636,1.50396,0.398053,3.87442
-316.914,0,14.3855,0,1,1,317.468,1.50396,0.398053,3.87442
-316.914,0,2.43117,0,1,1,320.369,1.50396,0.398053,3.87442
-316.914,0,0.239791,1,1,0,318.38,1.50396,0.398053,3.87442
-314.5,0.984767,0.0186273,4,15,0,318.64,1.23267,0.450142,4.00032
-311.08,0.985231,0.0245836,2,3,0,315.42,1.28717,0.489014,4.01301
-286.622,1,0.03686,3,7,0,310.728,0.97918,1.04636,2.49288
-285.871,0.82031,0.0625971,3,15,0,288.025,0.893295,0.866579,1.75265
-286.608,0.988928,0.0635334,2,7,0,287.078,0.722563,0.84628,1.73385
-286.608,0.00254809,0.112586,2,5,1,287.063,0.722563,0.84628,1.73385
-287.033,0.998577,0.00898651,4,15,0,287.31,0.719176,0.844849,1.76238
-285.057,0.995372,0.0169612,3,15,0,288.752,0.864284,0.772799,1.66232
-285.352,0.986905,0.0319889,3,15,0,285.751,0.833347,0.711877,1.51116
-285.53,0.785595,0.0589554,3,11,0,287.11,0.870465,0.935882,2.18795
-288.484,0.769244,0.0579773,2,7,0,289.095,1.01646,1.13421,2.55852
-288.558,0.970608,0.0544473,4,15,0,294.338,0.953266,1.27241,3.0011
-288.558,0.136725,0.0954205,2,3,0,289.303,0.953266,1.27241,3.0011
-288.519,0.992762,0.0130264,5,55,0,293.096,0.773729,0.525548,1.12593
-287.504,0.993364,0.0245983,4,15,0,288.941,0.783155,0.626241,1.16092
-287.553,0.904204,0.0461626,1,3,0,288.704,0.735278,0.590146,1.19835
-288.691,0.893524,0.0658288,2,3,0,289.087,0.862527,0.551653,1.11
-288.691,0.00131992,0.0905184,3,7,0,291.38,0.862527,0.551653,1.11
