# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 12:12:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\idoohd4h.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation0\exponential_priors-20240423131244.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-194.205,1,0.03125,1,1,0,235.784,0.918234,0.888424,1.11759
-194.205,0,14.3855,0,1,1,196.077,0.918234,0.888424,1.11759
-194.205,0,2.43117,0,1,1,195.684,0.918234,0.888424,1.11759
-194.205,0,0.239791,0,1,1,194.472,0.918234,0.888424,1.11759
-179.757,0.936961,0.0186273,2,3,0,197.022,0.914226,0.836973,1.19006
-178.747,1,0.0213179,2,3,0,180.42,0.901169,0.837928,1.19723
-175.4,1,0.0333138,1,1,0,178.891,0.906082,0.822559,1.22821
-168.431,1,0.0564799,2,3,0,171.844,0.840371,0.763842,1.38923
-168.431,2.83964e-006,0.100731,1,1,0,169.551,0.840371,0.763842,1.38923
-166.653,0.999929,0.00787671,5,31,0,169.212,0.866383,0.846569,1.51297
-163.828,0.998183,0.0146761,4,15,0,166.9,1.02761,0.885449,1.73585
-163.719,0.992977,0.0276499,2,3,0,163.986,1.03738,0.887792,1.75356
-165.373,0.371238,0.0516801,3,11,0,169.059,1.31779,0.94103,2.27026
-166.619,0.991971,0.0137917,4,31,0,168.103,1.3648,0.975328,2.38638
-164.699,0.998838,0.0260183,4,23,0,169.459,0.937042,0.876025,1.65676
-163.609,1,0.0500192,3,7,0,165.085,1.18421,0.839995,2.03558
-163.609,0.0171245,0.0960139,1,3,0,164.383,1.18421,0.839995,2.03558
-166.272,0.996779,0.00909617,4,15,0,166.504,1.32077,0.788958,2.24985
-162.432,0.998925,0.0174355,4,19,0,167.271,1.07706,0.983587,2.05965
