# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 12:31:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xs8sctjq.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation2\exponential_priors-20240423133134.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-40.9082,1,0.03125,1,1,0,81.2286,0.927634,0.860541,1.0813
-40.9082,0,14.3855,0,1,1,41.5969,0.927634,0.860541,1.0813
-40.9082,0,2.43117,0,1,1,41.6628,0.927634,0.860541,1.0813
-40.9082,0,0.239791,0,1,1,41.835,0.927634,0.860541,1.0813
-11.2153,1,0.0186273,4,31,0,40.8742,0.894562,1.09141,1.74954
-10.0037,0.882337,0.0257257,3,7,0,12.9358,0.956457,1.04398,1.93987
-10.8609,0.953941,0.028183,3,7,0,10.9244,0.942731,1.03419,1.96928
-10.7817,1,0.0412848,2,3,0,11.3417,0.938452,1.03156,1.93931
-11.3006,0.250535,0.0734082,2,3,0,11.6902,1.03847,1.08063,1.79833
-10.0779,0.977904,0.0126432,5,31,0,14.4778,0.886095,1.13,2.02985
-7.18973,0.993873,0.0219867,4,31,0,11.9103,1.13405,1.51537,3.20676
-9.38305,0.990602,0.0408443,2,7,0,10.6046,1.21513,1.94262,3.61738
-9.38305,0.000934618,0.0756837,1,3,0,13.7273,1.21513,1.94262,3.61738
-11.4069,0.998938,0.00631465,5,31,0,13.1613,1.34418,1.60422,3.9133
-10.3602,0.998586,0.0122267,5,31,0,12.9001,0.811386,1.44003,2.33713
-7.08462,1,0.0235991,3,7,0,10.5333,0.940749,1.46513,2.44985
-10.1431,0.835021,0.0455358,3,7,0,10.5913,1.35799,1.34081,2.90697
-8.65679,0.98578,0.0527393,3,11,0,12.0798,1.1975,1.18422,2.62509
-8.65679,0.138601,0.0964524,1,3,0,12.5381,1.1975,1.18422,2.62509
-7.00101,0.994483,0.0137088,4,15,0,11.2237,1.09752,1.38829,2.41955
-6.19983,0.968487,0.0258438,3,15,0,8.14886,1.0005,1.46102,2.69388
-6.54094,0.992561,0.0447017,2,3,0,6.57609,0.99489,1.53607,2.61259
-6.54094,0.23208,0.082289,2,7,0,9.23533,0.99489,1.53607,2.61259
-6.29254,0.996324,0.016451,3,7,0,6.7827,0.984952,1.51433,2.67808
-7.34467,0.87383,0.0305958,3,15,0,8.06367,0.975579,1.3986,2.67293
-6.37733,1,0.0396959,2,7,0,7.62835,1.1144,1.43075,2.56645
-7.30242,0.206978,0.0733274,3,7,0,7.98998,1.19461,1.26848,2.68987
-6.54205,0.9931,0.014455,4,15,0,7.90415,1.08517,1.44069,2.51659
-8.2259,0.85129,0.0261558,3,7,0,9.84343,1.13194,1.25035,2.73108
-8.41253,0.971166,0.0316782,3,11,0,12.3363,1.29186,1.59536,3.19658
-8.93835,0.946174,0.0531084,3,7,0,9.79721,1.28035,1.44828,3.34095
-7.23368,0.335085,0.0824859,1,3,0,9.43521,1.18189,1.66621,3.05919
-6.82548,1,0.0245217,3,7,0,7.29525,1.16475,1.65757,3.05313
-6.65398,0.987734,0.0439342,3,11,0,7.36997,1.03626,1.5899,2.70996
-8.46003,0.029784,0.0754791,2,7,0,11.1934,1.07032,1.7659,2.92933
-7.00986,1,0.0103554,5,39,0,10.2075,1.08499,1.78401,3.25709
-6.30902,0.978266,0.0184172,4,15,0,11.2098,1.00017,1.55802,2.71166
-6.41598,0.973718,0.030682,3,15,0,7.6943,0.986846,1.34672,2.46214
-7.47289,0.969303,0.0501175,2,3,0,7.61675,0.932198,1.47173,2.41335
-6.67722,0.282424,0.0803331,2,7,0,7.52455,0.958447,1.49604,2.56436
-5.67471,0.996057,0.0224898,3,15,0,7.57333,1.10663,1.43206,2.71087
-5.67285,0.971606,0.0385002,3,7,0,5.85474,1.083,1.46259,2.79133
-5.67285,0.149636,0.0615116,3,7,0,7.81169,1.083,1.46259,2.79133
-6.18108,0.996377,0.0127667,5,31,0,6.6806,1.08908,1.28369,2.44237
-5.72489,0.998695,0.021695,4,31,0,6.41665,1.0981,1.39578,2.67983
-5.84771,0.980561,0.0367903,3,7,0,6.21793,1.14123,1.44414,2.7673
-8.35943,0.454188,0.0592557,3,7,0,8.6441,0.939403,1.41287,2.68199
-8.94904,0.859687,0.0267227,4,15,0,13.9248,0.958505,1.32039,2.09564
-7.3673,0.987269,0.0320932,4,15,0,9.60043,1.2128,1.5347,2.8687
-6.34019,0.973915,0.0520308,2,7,0,8.31573,1.16163,1.4574,2.72296
-6.65904,0.209728,0.0811989,1,3,0,8.35247,1.08404,1.60867,2.79558
-9.54387,0.981909,0.0210438,4,23,0,11.1255,0.845586,1.39953,2.40474
-6.33598,0.991237,0.0334484,2,7,0,11.8109,1.02777,1.33888,2.35401
-11.7346,0.0562005,0.0539889,2,3,0,13.8722,0.856929,1.34775,2.53262
-11.5362,0.989266,0.0101152,3,15,0,15.4087,0.910571,1.30809,2.60682
-8.34451,0.999634,0.016272,3,15,0,13.0357,1.12609,1.32855,2.2945
-7.17247,0.99119,0.0266345,3,11,0,9.19381,0.9495,1.42353,2.60842
-6.21102,1,0.0425066,2,3,0,7.0425,0.98682,1.4427,2.59674
-6.21102,0.476683,0.0687832,2,7,0,6.7948,0.98682,1.4427,2.59674
-6.34232,0.961926,0.034507,3,15,0,7.51631,1.01302,1.58743,2.90866
-6.77792,0.847097,0.0510781,3,7,0,7.32922,1.18728,1.58536,3.28787
-7.74342,0.664552,0.0584469,1,1,0,7.85162,1.18528,1.56496,3.40846
-7.55957,0.978565,0.0447857,3,15,0,10.4849,0.916381,1.34824,2.37953
-6.64739,0.419782,0.0681312,4,15,0,8.00145,1.21186,1.53318,3.01393
-8.04155,0.933937,0.0308105,4,15,0,8.9997,0.890822,1.40641,2.43461
-7.68842,1,0.0424578,2,3,0,8.06671,0.903736,1.44711,2.40518
-7.68842,0.138745,0.0671316,2,3,0,8.32437,0.903736,1.44711,2.40518
-7.84887,0.976104,0.0169199,4,19,0,9.0119,1.24995,1.31133,2.63855
-10.1176,0.873418,0.0254274,4,23,0,13.9551,1.15361,1.5397,3.54435
-8.43748,0.992164,0.03065,4,23,0,10.7981,0.958916,1.39253,2.71061
-8.10242,0.895195,0.0472594,3,11,0,9.92322,0.973982,1.42998,2.29282
-6.91386,0.427303,0.0592742,3,7,0,9.5279,1.11525,1.20617,2.33125
-6.73997,0.999676,0.0281582,3,7,0,7.19632,1.06057,1.21867,2.26495
-5.9598,0.985865,0.0437956,3,7,0,6.87256,1.05181,1.32996,2.45981
-6.51461,0.741278,0.0659067,2,7,0,7.34203,1.03781,1.56244,2.6742
-7.48125,0.579108,0.0599939,3,7,0,8.55899,1.17976,1.20244,2.47746
-11.5537,0.854011,0.0393423,2,3,0,12.2262,1.30182,1.05664,2.36119
-11.3831,0.954852,0.0451057,2,3,0,12.0666,1.25048,1.03876,2.39072
-6.04472,0.572766,0.0632217,2,7,0,12.5967,1.07938,1.45936,2.59678
-6.103,0.844028,0.041169,2,7,0,7.1741,1.16043,1.41087,2.84094
-6.02915,0.872647,0.0461527,2,3,0,6.76894,1.09273,1.3944,2.76571
-6.81607,0.93942,0.0546863,3,15,0,9.31723,1.22851,1.46687,2.96474
-6.81607,0.00524855,0.0737722,2,7,0,8.80664,1.22851,1.46687,2.96474
-5.92907,0.999691,0.0159131,4,15,0,7.00665,1.0873,1.60629,2.96284
-8.83365,0.960068,0.024211,4,31,0,10.2702,1.21535,1.15414,2.53205
-7.4349,0.999629,0.0339716,3,7,0,9.21986,1.21683,1.26874,2.55355
-7.06032,0.897534,0.0512867,3,7,0,8.20826,1.13132,1.22275,2.50474
-6.20318,0.907762,0.0633777,3,7,0,7.15898,1.13766,1.6422,3.15882
-6.20318,0.0725522,0.0797067,2,3,0,6.59812,1.13766,1.6422,3.15882
-6.15324,0.992006,0.0203616,4,15,0,6.55929,1.06996,1.62622,2.91088
-6.04669,1,0.030131,3,7,0,6.27936,1.04121,1.54721,2.90814
-6.10132,0.458353,0.0451047,2,3,0,8.80822,1.05655,1.45258,2.82646
-6.49834,0.988267,0.0242907,3,15,0,6.91333,1.05499,1.43641,2.47843
-6.44785,1,0.0354729,2,7,0,6.51654,1.03634,1.34302,2.61367
-5.80762,0.71146,0.0527705,3,9,0,7.46637,1.0348,1.47867,2.73228
-6.30602,0.984347,0.0457855,3,11,0,6.70924,1.14565,1.64591,3.21075
-8.71313,0.285597,0.0658626,2,3,0,8.84388,1.05348,1.61261,3.34469
-8.4489,0.999018,0.0260937,3,7,0,9.5518,1.03595,1.65815,3.33665
-5.89347,0.958698,0.0385255,2,5,0,9.7536,1.14232,1.5394,2.98973
-6.65469,0.744763,0.0526686,2,3,0,7.13986,1.20072,1.5665,3.21656
-6.26661,0.157521,0.778743,2,5,0,8.25795,1.11494,1.49555,3.02633
-6.26661,0,2.42145,0,1,1,7.51747,1.11494,1.49555,3.02633
-6.71849,0.997712,0.259904,4,31,0,7.65753,1.08784,1.225,2.40541
-8.68506,0.928213,0.282405,4,19,0,9.91112,1.20983,1.86074,3.45172
-7.85337,1,0.320573,2,3,0,9.10949,1.23269,1.761,3.57616
-8.90558,0.945059,0.506553,2,3,0,9.01456,1.25492,1.81743,3.84986
-11.4901,0.226937,0.733665,2,3,0,13.8756,1.16217,1.96596,3.28298
-6.89822,0.993777,0.118525,4,15,0,13.0355,1.11591,1.74513,3.37895
-6.02846,0.979417,0.209287,4,31,0,8.53006,1.01575,1.45823,2.55986
-5.93254,0.977781,0.362418,3,15,0,8.18345,1.14791,1.47652,2.93242
-5.93254,0.0602829,0.633166,2,7,0,9.15739,1.14791,1.47652,2.93242
-6.72227,0.999906,0.0613774,6,63,0,7.03489,1.21156,1.59581,3.18001
-6.02464,0.997214,0.116882,5,47,0,7.46531,1.02562,1.3772,2.45155
-5.94922,0.999856,0.220973,4,31,0,6.25747,1.11449,1.36685,2.56154
-5.94922,0.602762,0.420212,1,3,0,7.57424,1.11449,1.36685,2.56154
-7.15802,0.976512,0.232304,3,15,0,9.32544,0.962963,1.25173,2.25241
-7.70564,0.86726,0.409728,4,15,0,8.22927,0.951287,1.27408,2.37811
-7.4309,0.987561,0.514249,3,7,0,8.31652,1.04318,1.15518,2.18014
-7.4309,2.79683e-009,0.927217,1,1,0,8.46351,1.04318,1.15518,2.18014
-6.15925,0.983197,0.0851451,5,39,0,10.4999,1.03342,1.60485,2.85081
-6.37107,0.995994,0.152577,3,7,0,6.42067,1.02067,1.55393,2.91944
-6.2225,0.987645,0.281463,2,3,0,6.65529,1.02958,1.62021,2.91687
-7.45435,0.755264,0.501774,3,7,0,7.90082,1.0323,1.64032,3.20254
-8.15187,0.735035,0.450994,2,3,0,9.26149,1.00957,1.80291,3.01559
-7.06306,0.851489,0.383201,3,15,0,9.25882,1.03585,1.73744,3.20397
-8.42332,0.885632,0.455498,3,7,0,9.47451,1.28523,1.53446,3.41558
-7.73026,0.990932,0.594765,3,7,0,9.67793,1.06463,1.85303,3.29531
-7.73026,2.96737e-008,1.03928,1,2,1,10.7319,1.06463,1.85303,3.29531
-6.99221,0.999944,0.113898,5,31,0,8.31735,1.20634,1.65268,3.17928
-6.66648,0.9894,0.204985,4,31,0,7.66967,1.13553,1.68118,3.3347
-6.54599,0.908202,0.354936,4,15,0,7.69069,1.06844,1.44124,2.89362
-6.58954,0.993308,0.488496,3,7,0,7.6717,0.983781,1.44069,2.44331
-6.58954,0.150735,0.841117,1,3,0,6.95144,0.983781,1.44069,2.44331
-8.70019,0.949357,0.151112,3,15,0,9.14403,0.949293,1.2708,2.45905
-6.52853,0.998253,0.231722,3,11,0,8.80257,0.975939,1.35251,2.457
-6.08038,1,0.401318,3,7,0,6.64177,1.04146,1.36069,2.4253
-6.08038,0.0123734,0.692154,2,7,0,7.22722,1.04146,1.36069,2.4253
