# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 12:45:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\8vbp387c.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation3\exponential_priors-20240423134532.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-242.484,0.681953,0.0625,2,3,0,258.825,1.95821,0.581219,1.39899
-242.484,0,8.06839,0,1,1,243.005,1.95821,0.581219,1.39899
-242.484,0,1.14881,0,1,1,244.274,1.95821,0.581219,1.39899
-242.484,9.63292e-066,0.102747,1,3,1,244.018,1.95821,0.581219,1.39899
-198.145,0.997278,0.00750763,3,7,0,245.762,1.53726,0.557709,1.43015
-192.567,0.999752,0.00988624,5,47,0,203.278,0.806313,0.591884,1.2694
-187.031,0.997256,0.0151209,3,7,0,193.271,0.864426,0.623375,1.1658
-185.563,0.99993,0.025087,3,7,0,187.825,0.91288,0.638882,1.2379
-180.799,0.898958,0.0443832,3,7,0,186.675,1.09472,0.802024,1.89093
-180.434,0.92109,0.0590958,3,7,0,182.665,1.20308,0.926822,2.16921
-179.98,0.248318,0.0860528,2,7,0,180.677,1.13607,0.993742,2.24429
-181.171,0.995736,0.0151464,5,47,0,182.007,1.1111,0.752961,1.75613
-182.809,0.984351,0.0286087,4,23,0,183.961,1.32036,0.75129,2.13557
-182.809,0.662472,0.0523311,1,1,0,183.745,1.32036,0.75129,2.13557
-180.24,0.983473,0.0350793,4,31,0,185.884,1.12076,1.08795,2.46196
-180.933,0.765179,0.0641821,2,7,0,181.265,1.12456,1.05359,2.62974
-180.766,0.99115,0.0597135,2,5,0,181.159,1.21707,1.02842,2.36073
-180.766,1.26015e-006,0.111192,1,1,0,181.136,1.21707,1.02842,2.36073
-181.027,0.999817,0.010194,5,47,0,181.812,1.13838,0.852253,1.82803
-181.774,0.947685,0.0196437,4,31,0,184.567,0.967302,1.02352,2.16456
-180.801,0.982628,0.0321145,2,7,0,182.46,1.08426,1.03562,2.10113
-181.312,0.988056,0.0578145,3,15,0,182.201,0.966561,0.941985,1.86568
-181.312,3.24884e-017,0.104803,1,1,0,184.255,0.966561,0.941985,1.86568
-180.723,0.999697,0.0106507,5,31,0,181.838,1.04394,0.852345,1.78492
-181.195,0.970487,0.0200761,3,15,0,181.914,1.06026,0.794257,1.85193
-181.127,0.999481,0.0344556,4,19,0,182.367,1.20411,1.20017,2.8711
-181.127,0.129398,0.0636307,1,3,0,186.339,1.20411,1.20017,2.8711
-182.278,0.995961,0.0100997,6,71,0,184.966,1.17208,0.687653,1.6477
-182.322,0.996606,0.0184771,5,31,0,183.54,1.01331,1.23053,2.60406
-181.967,0.996527,0.0335259,4,15,0,182.717,1.2589,0.895688,2.62639
-181.414,0.562956,0.06022,2,7,0,185.09,1.27255,0.822644,2.17417
-180.217,0.99744,0.0329979,3,7,0,181.575,1.17092,0.875143,2.1086
-180.609,0.979974,0.0588557,3,7,0,180.884,1.22257,0.863986,2.1916
-181.189,0.488421,0.0992473,2,7,0,182.798,1.21695,1.16053,2.6681
-180.79,0.998309,0.045098,3,11,0,182.52,1.166,0.918546,2.40392
-184.146,0.021785,0.0792963,3,9,0,187.456,1.32379,1.24576,2.89926
-181.749,0.997536,0.0108168,4,15,0,185.785,1.27673,1.14487,2.76301
-180.672,0.999916,0.0190203,5,39,0,182.799,1.04104,0.889241,1.82853
-181.169,0.906443,0.0333537,3,7,0,181.871,1.12261,0.832565,2.12496
-180.449,0.993354,0.0456885,2,3,0,181.06,1.17286,0.862997,1.995
-181.274,0.244985,0.0775943,2,3,0,183.151,1.17416,0.819157,2.18506
-180.878,0.958649,0.019964,3,7,0,183.286,1.16525,0.824144,2.1246
