# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 13:15:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\w20el7fy.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation6\exponential_priors-20240423141553.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-77.403,1,0.03125,2,3,0,128.311,0.929929,0.827922,1.16788
-77.403,0,14.3855,0,1,1,81.8935,0.929929,0.827922,1.16788
-77.403,0,2.43117,0,1,1,79.0543,0.929929,0.827922,1.16788
-77.403,0,0.239791,0,1,1,79.349,0.929929,0.827922,1.16788
-72.1205,0.991701,0.0186273,4,31,0,80.3924,1.38481,0.919248,1.84505
-67.062,1,0.0250971,3,15,0,73.1007,0.916693,0.952494,1.91029
-65.1449,1,0.0393927,2,3,0,66.7647,1.02203,1.01797,1.69406
-64.4383,0.907726,0.0669718,3,7,0,65.7451,1.03244,1.10556,2.32248
-64.4383,2.35285e-008,0.089523,1,3,1,65.0688,1.03244,1.10556,2.32248
-65.5638,0.99793,0.00699625,4,31,0,66.0066,1.04541,1.23521,2.00635
-66.0866,0.999009,0.0129513,4,27,0,67.2172,0.961274,0.970485,1.99196
-64.8662,0.991477,0.0244676,3,15,0,67.4161,1.0108,1.23177,2.00085
-64.8662,0.226363,0.0455333,1,1,0,67.5056,1.0108,1.23177,2.00085
-62.82,0.99935,0.00771972,4,15,0,65.398,0.974028,1.16924,2.05684
-62.9682,0.986169,0.0149499,2,7,0,63.5139,0.984966,1.13512,2.14473
-62.8444,0.999101,0.0277311,2,7,0,63.2958,0.973181,1.15114,2.10901
-62.7091,0.984053,0.0533013,3,7,0,63.1096,0.999164,1.1279,2.12462
-63.222,0.121752,0.0972052,2,5,1,64.0232,1.10629,1.05723,1.95136
-63.2545,0.999438,0.0129018,3,11,0,64.0375,1.1311,0.985382,1.96842
-62.5062,0.974126,0.0247865,3,15,0,65.2308,1.0255,1.16661,2.10195
-62.3889,0.95933,0.0437621,2,7,0,62.7236,1.05003,1.10892,2.06793
-62.3889,0.00170881,0.0733493,2,7,0,65.9815,1.05003,1.10892,2.06793
-62.3873,0.994665,0.00736383,5,63,0,63.7383,1.0416,1.17957,2.23263
-63.5316,0.995013,0.0137876,4,15,0,63.7221,1.00234,1.35435,2.3591
-63.9083,0.964422,0.0255842,3,7,0,64.404,1.01679,1.35168,2.29871
-63.9169,0.981839,0.0430655,4,15,0,66.9913,0.939381,1.14227,2.14603
-63.4564,0.287793,0.0755103,3,7,0,64.1064,1.17725,1.03609,2.06012
-64.5507,0.989542,0.0186737,5,31,0,66.7556,1.18706,0.953335,1.88263
-64.403,0.781394,0.0333839,3,15,0,72.1533,1.15203,0.971177,2.15649
-65.7417,0.906755,0.0332668,2,3,0,65.9738,1.11545,0.952986,2.17735
-63.9835,0.97849,0.0467334,2,3,0,65.6011,1.14837,1.0274,1.9211
-63.9835,0.00122451,0.0793268,2,3,0,65.3672,1.14837,1.0274,1.9211
-64.3216,0.993477,0.00959741,4,15,0,65.6986,1.17028,1.06552,1.98362
-65.0325,0.977464,0.0170271,4,23,0,66.3121,1.03516,1.11734,2.3903
-63.2876,0.978424,0.0286847,2,3,0,65.9242,1.01389,1.1904,2.34258
-64.8598,0.771205,0.0480397,3,15,0,66.9841,1.23507,0.942914,2.01587
-63.3319,1,0.0464735,3,7,0,65.1372,1.08086,0.955662,1.87586
-63.3319,0.000538264,0.0813153,2,7,1,65.0735,1.08086,0.955662,1.87586
-64.6958,0.970355,0.0108256,5,39,0,66.6504,1.03625,1.08053,2.29557
-62.562,1,0.0176028,3,7,0,64.6285,1.10205,1.16685,2.18318
-62.6231,0.9588,0.0306211,3,11,0,63.5209,1.14532,1.16976,2.34921
-64.3797,0.530841,0.0476291,2,7,0,67.2802,1.13427,1.26224,2.76404
-63.2852,0.988658,0.0253251,4,15,0,65.2291,1.19533,1.24223,2.58137
-63.0101,0.815771,0.0421829,3,15,0,66.9445,1.04128,1.11995,2.24341
-62.8498,0.610597,0.0456032,3,7,0,66.5681,1.03193,1.30213,2.36551
-63.0002,0.989129,0.0298493,4,15,0,63.4624,1.15411,1.28822,2.53028
-63.1606,0.765821,0.0491563,4,15,0,64.7062,1.09799,0.988856,1.89662
-63.0512,0.642132,0.0469735,3,9,0,64.8646,1.016,1.2124,2.35143
-65.0947,0.959048,0.0334184,3,9,0,66.4567,1.28134,1.12166,2.29904
-63.271,0.942167,0.0506561,3,15,0,68.0855,0.953517,1.11511,2.06356
-64.0911,0.0915156,0.073367,2,7,0,65.9795,0.944085,1.00985,1.91027
-64.4958,0.999607,0.0144264,5,31,0,64.9605,1.12153,0.955033,2.0945
-63.8147,0.999461,0.023953,3,7,0,65.0822,1.19131,1.04159,2.05051
-63.4946,0.992132,0.0394894,3,11,0,66.6378,1.20664,1.06657,2.25895
-63.4946,0.33148,0.0635967,2,3,0,65.8495,1.20664,1.06657,2.25895
-63.5175,0.996761,0.0225414,2,3,0,63.6219,1.20998,1.06949,2.23002
-63.9872,0.992835,0.0365824,2,3,0,64.1769,1.23281,1.04749,2.26968
-64.3892,0.903568,0.0584849,3,11,0,67.7596,1.2067,1.3026,2.87613
-63.6286,0.412082,0.0761055,2,3,0,64.5679,1.15094,1.30819,2.7528
-62.8475,0.975546,0.0330455,4,15,0,64.8736,1.10801,1.25336,2.31836
-62.7425,0.993397,0.0504247,3,11,0,63.4362,1.00359,1.11477,2.11793
-63.0399,0.103952,0.079614,2,7,0,64.7258,1.0907,1.13222,2.3461
-65.4715,0.994233,0.0178678,4,31,0,66.8558,1.25214,0.928716,1.96044
-64.4989,0.995063,0.0282735,2,3,0,65.5924,1.2066,0.948175,1.95138
-63.6997,0.999753,0.0445772,3,7,0,65.0583,0.973322,1.02393,1.75243
-63.7391,0.194925,0.0706183,2,3,0,65.3443,1.03173,1.07551,1.84614
-64.6645,0.994191,0.0199138,4,31,0,65.7577,1.22791,1.35803,2.64773
-64.5396,1,0.0311469,3,7,0,64.8901,1.13477,1.30169,2.83844
-63.7788,0.979375,0.0490691,3,15,0,64.7433,1.02817,1.22952,2.48019
-62.9886,0.335718,0.0736475,2,3,0,64.2747,1.17304,1.18792,2.47346
-62.8415,1,0.0286327,3,7,0,63.0093,1.16069,1.20725,2.46929
-63.1978,0.937501,0.044781,3,15,0,64.0165,0.970271,1.26927,2.28831
-63.1978,0.284142,0.0612411,1,1,0,63.8017,0.970271,1.26927,2.28831
-63.6819,0.955891,0.0217437,3,7,0,64.0509,1.0141,1.28401,2.17271
-64.003,0.997103,0.0308845,3,15,0,65.3053,1.00556,1.04021,1.76529
-64.1737,0.94845,0.0475331,2,3,0,64.6535,0.953092,1.01877,1.96032
