# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 13:27:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\3rq7r8ee.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation7\exponential_priors-20240423142742.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-196.427,1,0.0625,2,3,0,222.049,1.05395,0.471177,1.96217
-196.427,0,14.3855,0,1,1,197.614,1.05395,0.471177,1.96217
-196.427,0,2.43117,0,1,1,197.373,1.05395,0.471177,1.96217
-196.427,0,0.239791,0,1,1,197.55,1.05395,0.471177,1.96217
-167.652,1,0.0186273,3,7,0,198.92,1.34965,0.777697,1.71148
-160.926,0.921435,0.0257257,2,3,0,170.232,1.17913,0.831858,1.82704
-160.15,0.99371,0.0317672,4,23,0,161.208,0.99277,1.03667,2.11527
-160.162,0.993657,0.0527719,2,3,0,160.356,1.02814,1.07397,2.07647
-159.896,0.96097,0.0921996,1,3,0,161.233,1.16426,0.949459,2.22051
-159.896,3.23089e-073,0.149848,1,1,0,163.601,1.16426,0.949459,2.22051
-159.656,0.987103,0.0118694,4,15,0,161.439,1.09579,0.996851,2.22992
-161.238,0.944246,0.0215982,3,15,0,162.555,1.24213,0.926555,2.10839
-160.181,1,0.0346515,2,3,0,161.236,1.19322,0.926788,2.19766
-159.728,0.965198,0.0665156,2,3,0,160.773,1.15092,0.99626,2.27487
-159.728,0.0811286,0.114441,1,3,0,160.246,1.15092,0.99626,2.27487
-159.639,0.999998,0.0126911,5,63,0,159.753,1.03961,1.01146,2.06813
-160.427,0.996041,0.0245935,4,15,0,160.616,1.165,0.830954,1.94631
-161.721,0.96932,0.0467907,3,15,0,162.867,0.967013,1.22491,2.41702
-161.792,0.947891,0.0814852,3,7,0,162.496,1.17189,0.762471,1.9484
-160.733,0.931521,0.132106,1,1,0,163.115,1.06469,0.807838,1.85039
-160.733,1.2677e-314,0.202612,1,2,1,163.937,1.06469,0.807838,1.85039
-160.554,0.997414,0.019662,3,15,0,162.048,1.08871,0.797007,1.67093
-160.305,0.991036,0.0369691,2,7,0,161.613,1.0493,0.832874,1.68155
-160.556,0.871683,0.0675585,3,7,0,160.907,1.08806,0.808047,1.86113
-160.556,3.00121e-007,0.0866802,1,1,0,162.288,1.08806,0.808047,1.86113
-161.635,0.99917,0.0091803,6,63,0,162.168,1.17667,1.21928,3.05643
-161.061,0.99921,0.0171308,4,31,0,162.054,1.21973,1.19762,2.91172
-162.772,0.919533,0.0316423,3,11,0,165.503,1.02007,1.35666,2.52827
-160.408,0.993557,0.0463409,3,15,0,164.87,1.16535,0.84748,2.02857
-160.408,0.0257558,0.0827372,2,3,0,162.176,1.16535,0.84748,2.02857
-160.025,0.983589,0.0103322,4,31,0,162.967,1.09737,1.00451,2.02194
-159.571,0.999353,0.0180059,3,15,0,160.616,1.12079,0.967892,2.14149
-160.3,0.982588,0.0324422,3,7,0,160.906,1.19969,0.909311,2.15013
-161.172,0.937868,0.0553568,3,15,0,162.968,1.1031,0.769301,1.59644
-161.099,0.267355,0.0831745,3,11,0,162.099,0.912613,0.907249,1.73581
-161.817,0.998359,0.0212952,5,31,0,163.074,0.936976,0.755279,1.48702
-160.339,0.996119,0.0374988,4,23,0,163.992,1.17921,1.15377,2.6027
-159.762,0.990284,0.0650647,3,7,0,160.638,1.05197,1.04184,2.23154
-159.762,7.07768e-012,0.11026,1,1,0,160.976,1.05197,1.04184,2.23154
-160.598,0.997977,0.014849,3,15,0,161.092,1.0017,1.13998,2.18282
-160.739,0.954527,0.0257316,4,31,0,162.25,1.16752,0.825186,1.81923
-160.739,0.554153,0.0396477,2,3,0,165.177,1.16752,0.825186,1.81923
-162.041,0.971886,0.0223727,4,31,0,164.384,1.05141,1.33134,2.56764
-161.953,0.999876,0.0357825,4,23,0,163.014,1.11079,0.712587,1.71384
-160.606,0.913064,0.0608799,3,11,0,162.154,0.994078,1.14851,2.25776
-160.606,0.00178445,0.083168,3,9,0,162.719,0.994078,1.14851,2.25776
-160.625,0.981483,0.0124401,2,7,0,162.405,0.991084,1.12612,2.28799
-160.952,0.991855,0.0201617,5,47,0,161.283,1.20823,0.848925,1.93224
-160.27,0.999381,0.033268,3,15,0,162.152,1.10601,0.810813,1.80532
-159.643,0.983594,0.0554946,3,11,0,161.17,1.11923,0.981206,2.22024
-159.643,0.00679319,0.0885648,1,3,0,160.75,1.11923,0.981206,2.22024
-159.858,0.994358,0.0142635,4,31,0,161.358,1.07233,0.922576,1.86924
-160.66,0.991525,0.0233968,4,23,0,161.83,1.15906,1.22392,2.78363
-162.499,0.974663,0.0378771,3,15,0,162.78,1.15035,1.43373,3.16985
-166.798,0.84699,0.0586172,3,15,0,169.752,0.874658,0.599285,1.0503
-164.555,0.298207,0.0674024,3,7,0,168.276,1.05414,0.6251,1.22492
-164.621,0.987947,0.0222863,4,15,0,165.209,0.965097,0.6103,1.29879
-164.586,0.889312,0.035347,2,3,0,166.197,0.944751,0.627776,1.33036
-160.35,0.993423,0.044688,3,15,0,166.293,1.10788,0.821107,1.89414
-160.416,0.66127,0.0710221,2,3,0,160.718,1.08254,0.822814,1.88219
-160.571,0.936358,0.0538114,3,11,0,161.508,1.09989,0.843797,1.99933
-160.801,0.844735,0.0749126,2,3,0,161.182,1.13547,0.829384,2.0277
-160.258,0.289151,0.0850079,2,7,0,161.273,1.11201,0.813828,1.80082
-160.864,0.989919,0.0287718,4,23,0,162.252,0.950399,1.09039,2.04489
-161.568,0.880158,0.0448566,3,15,0,162.19,1.21299,0.800962,1.81271
-163.723,0.4892,0.0549477,1,1,0,163.985,1.28504,0.795034,1.80061
-162.331,0.9837,0.0291088,3,7,0,164.583,1.19242,0.727722,1.88547
-164.44,0.851559,0.044431,3,15,0,166.113,0.95663,0.786734,1.32803
-162.339,0.997655,0.0510415,3,7,0,165.222,1.02753,0.952062,1.6868
-160.685,0.299487,0.0795931,3,7,0,162.05,1.23252,0.919249,2.22143
-159.615,0.996712,0.0286738,3,15,0,162.164,1.0737,0.916734,1.97744
-160.697,0.918569,0.0445392,3,11,0,162.698,1.09572,0.822308,1.67778
-160.229,0.888027,0.0585717,4,15,0,161.279,1.01935,1.09199,2.10964
-160.418,0.814128,0.0721154,2,7,0,160.916,0.989617,1.06337,2.00627
-161.323,0.3767,0.0761461,3,7,0,162.195,1.15002,0.761731,1.86387
-162.315,0.978819,0.0329508,4,15,0,164.905,0.932014,1.15142,2.0041
-159.955,0.993057,0.0487388,3,7,0,164.924,1.05704,0.881195,1.94127
-160.332,0.117886,0.0738917,3,7,0,162.181,1.08705,1.00819,1.97808
-161.137,0.985093,0.0192558,3,7,0,161.578,1.12513,1.02557,2.00307
-161.933,0.980257,0.0287391,3,7,0,162.272,1.08753,0.889056,2.23691
-162.282,0.990532,0.0423112,3,15,0,163.044,0.941046,0.808616,1.73089
-163.154,0.813152,0.0633269,3,7,0,164.428,1.15608,0.782268,1.55617
-160.838,0.611793,0.0665804,3,11,0,164.506,1.1444,0.806408,1.95926
-159.872,0.821757,0.0471541,2,3,0,161.952,1.08975,0.860527,1.89122
-160.55,0.922541,0.0504511,4,15,0,161.392,1.20444,0.893813,2.04319
-160.217,0.96508,0.0655929,2,7,0,161.438,0.966611,0.971509,1.90036
-160.217,0.00241676,0.0923503,2,5,0,164.904,0.966611,0.971509,1.90036
-160.018,0.998228,0.0203508,3,15,0,161.152,1.06603,0.852505,1.76304
-160.77,0.880388,0.0305909,3,7,0,162.286,1.14922,0.781863,1.81611
-159.806,0.969286,0.0365953,3,7,0,161.202,1.07557,0.919395,1.87835
-160.164,0.989344,0.0517334,2,7,0,160.951,0.98276,1.01212,2.04476
-160.468,0.402931,0.0757182,2,3,0,161.198,1.12549,0.960046,1.9405
-160.025,0.923302,0.0366577,2,3,0,161.56,1.08062,0.874619,1.97871
-160.626,0.96224,0.0473166,3,13,0,161.343,0.999679,1.11002,2.31708
-159.973,0.932202,0.065523,3,7,0,160.643,1.17153,1.04855,2.45256
-160.109,0.211608,0.0855674,2,7,0,161.007,1.14859,1.04723,2.20704
-162.904,0.985531,0.0294213,4,15,0,163.992,0.990784,1.36659,2.71241
-162.151,0.997353,0.0424252,4,15,0,163.589,0.957727,0.774645,1.41172
-163.595,0.249483,0.0623206,3,7,0,165.788,1.08805,0.670811,1.67785
-162.869,0.969961,0.0232944,3,15,0,167.48,1.04283,0.650475,1.35457
-161.39,0.987569,0.520438,3,15,0,163.805,1.13736,1.29068,2.98476
-161.39,0,7.31945,0,1,1,162.416,1.13736,1.29068,2.98476
-161.39,1.2547e-048,1.22874,1,1,0,162.002,1.13736,1.29068,2.98476
-161.516,0.999793,0.12073,3,7,0,161.576,1.12897,1.30808,2.99634
-164.677,0.978079,0.162809,3,7,0,165.312,1.06948,1.57424,3.28693
-160.231,0.990764,0.238125,4,15,0,166.441,1.11767,0.860519,1.81026
-161.003,0.993978,0.392946,3,7,0,161.432,1.14986,0.79265,1.71558
-161.663,0.29952,0.688561,2,7,0,162.256,1.13021,0.718279,1.57564
-160.306,0.987476,0.140081,5,31,0,162.482,1.08077,1.1135,2.20096
-162.204,1,0.24883,4,15,0,162.642,1.23933,1.32843,3.025
-161.257,0.994056,0.466383,3,7,0,162.818,1.09619,1.2439,2.84158
-160.837,0.333338,0.863252,2,3,0,161.518,1.18105,1.23623,2.80417
-159.881,0.977815,0.199639,4,23,0,163.33,1.16631,0.959205,2.23677
