# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 13:37:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xah8aigp.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation8\exponential_priors-20240423143753.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-237.794,1,0.0625,2,3,0,271.876,0.729683,0.60294,1.72701
-237.794,0,14.3855,0,1,1,238.959,0.729683,0.60294,1.72701
-237.794,0,2.43117,0,1,1,238.801,0.729683,0.60294,1.72701
-237.794,0,0.239791,0,1,1,238.113,0.729683,0.60294,1.72701
-215.263,1,0.0186273,2,3,0,237.573,0.794257,0.676176,1.50863
-208.608,0.998649,0.0257257,3,7,0,216.455,0.961405,0.855424,1.58938
-205.521,0.996398,0.0402396,4,15,0,209.248,0.925595,1.33651,2.84752
-204.302,0.935611,0.0676729,3,7,0,207.313,0.943898,1.16665,2.33731
-204.302,0.162877,0.0987551,1,3,0,206.203,0.943898,1.16665,2.33731
-204.899,0.980159,0.0129144,4,31,0,206.446,1.02766,0.982986,2.37591
-205.963,0.998421,0.0226198,3,15,0,206.187,1.17606,0.997394,2.44799
-204.486,0.99984,0.0426269,3,15,0,206.638,1.08246,1.08889,2.66003
-204.983,0.960742,0.0813082,2,7,0,205.323,0.920115,1.01684,2.00622
-204.587,0.891247,0.137481,1,1,0,205.242,0.953906,1.04955,2.09836
-204.587,3.71655e-011,0.18708,1,3,1,204.854,0.953906,1.04955,2.09836
-204.403,0.99583,0.0160854,3,15,0,205.079,0.970548,1.04491,2.32858
-206.28,0.993516,0.0307235,4,15,0,208.24,1.04853,0.822509,1.9148
-204.474,0.983463,0.0579088,4,15,0,206.38,0.923513,1.19304,2.41682
-204.474,0.162195,0.105089,1,3,0,204.987,0.923513,1.19304,2.41682
-204.333,0.983236,0.0160232,4,31,0,206.44,1.09135,1.20574,2.74265
-204.519,0.996482,0.0291734,4,23,0,205.258,0.979028,0.980884,2.12049
-204.493,0.884404,0.0547595,3,15,0,205.313,1.09977,1.21397,2.73422
-204.493,0.00707063,0.0732881,1,1,0,207.793,1.09977,1.21397,2.73422
-206.959,0.998164,0.00762574,6,63,0,208.558,0.963296,1.57525,3.30755
-204.454,0.999771,0.0143518,5,63,0,207.578,1.07128,1.08385,2.63751
-205.242,0.994056,0.0268577,4,15,0,205.793,0.880062,1.09546,2.09637
-206.409,0.947639,0.0489466,3,7,0,206.959,1.17737,0.975443,2.65999
-205.405,0.877604,0.0775238,3,15,0,208.307,1.14249,1.18161,3.04739
-205.405,0.130171,0.10026,1,3,0,206.328,1.14249,1.18161,3.04739
-205.976,0.997753,0.0163887,5,31,0,206.342,0.864335,1.07585,1.97106
-206.71,0.858904,0.0297135,3,15,0,208.459,1.00788,0.893934,2.27561
-206.103,1,0.036586,1,1,0,206.681,1.01799,0.901808,2.25636
-205.669,0.952391,0.0656516,2,3,0,206.422,1.07096,1.06657,2.17832
-205.838,0.333333,0.10275,2,3,0,206.446,0.888706,1.06482,2.30847
