# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 13:45:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\k7ni04hf.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=1\realisation9\exponential_priors-20240423144508.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-187.284,1,0.03125,2,3,0,251.718,0.748193,0.773418,1.60346
-187.284,0,14.3855,0,1,1,188.835,0.748193,0.773418,1.60346
-187.284,0,2.43117,0,1,1,187.406,0.748193,0.773418,1.60346
-187.284,0,0.239791,0,1,1,189.237,0.748193,0.773418,1.60346
-180.687,0.992864,0.0186273,3,7,0,189.117,0.773673,0.864023,1.535
-180.205,0.997075,0.0251842,4,15,0,181.534,1.0611,0.818844,1.91108
-179.101,0.982588,0.0391806,4,15,0,180.728,0.885665,0.856591,1.62653
-179.505,0.983727,0.0630916,2,7,0,179.732,0.952297,0.803808,1.50295
-179.008,0.405592,0.107027,2,5,0,180.351,1.02918,0.909047,1.96224
-181.476,0.964754,0.0301337,3,7,0,182.265,1.15453,0.793767,1.9853
-180.394,0.993006,0.0503291,2,3,0,181.712,1.13716,0.850687,1.88973
-180.394,0.0083441,0.0931522,2,3,0,182.787,1.13716,0.850687,1.88973
-179.51,1,0.0078087,5,31,0,180.629,1.02309,0.826326,1.81897
-179.305,0.999758,0.0150883,4,23,0,180.279,0.887901,0.890129,1.56961
-179.027,0.96517,0.0291497,1,3,0,179.744,0.882261,0.869146,1.61137
-178.655,0.992275,0.0504516,4,15,0,179.22,0.992582,0.956845,1.95459
-178.655,0.000414189,0.0945635,1,3,0,179.807,0.992582,0.956845,1.95459
-178.816,0.999045,0.00851397,5,63,0,179.012,0.932146,0.999985,1.85007
-179.874,0.988523,0.0164405,5,47,0,180.074,0.930044,0.77607,1.60435
-179.475,0.998209,0.0305059,3,7,0,180.469,1.03433,0.800421,1.69184
-181.758,0.77586,0.0577709,3,7,0,182.858,0.899905,0.740237,1.25458
-181.758,0.105086,0.0561596,1,1,0,184.555,0.899905,0.740237,1.25458
-181.197,0.999985,0.00765113,4,15,0,181.943,0.836526,0.700306,1.32619
-181.654,0.991556,0.0145441,5,47,0,185.324,1.09488,0.795227,2.008
-183.306,0.977422,0.0267082,3,7,0,183.763,1.25678,0.826377,1.97755
-182.733,0.904693,0.0466415,3,7,0,185.501,1.06531,0.754811,1.93764
-181.995,0.704782,0.0656816,2,3,0,184.164,1.17269,0.749966,1.71249
-179.096,0.872866,0.0524603,2,7,0,182.648,0.928628,0.953839,1.71606
-179.709,0.364547,0.0671779,2,7,0,181.388,0.922911,1.09408,1.92792
-179.042,1,0.0210475,4,31,0,180.038,0.909987,0.931557,1.84677
-179.14,0.985399,0.0383158,4,23,0,180.207,0.973275,1.03523,1.91834
-180.788,0.697187,0.0663791,3,7,0,180.976,1.11573,0.961368,1.91815
-180.554,0.928126,0.0524311,3,15,0,182.002,1.1446,0.970344,2.05527
-180.554,0.492235,0.0770483,1,1,0,182.106,1.1446,0.970344,2.05527
-181.384,0.848172,0.0354385,3,15,0,183.882,0.855246,0.828874,1.71083
-179.774,0.812552,0.0420687,2,3,0,182.951,0.911167,0.935289,1.61427
-180.59,0.961042,0.0453796,2,3,0,180.623,0.818027,0.864851,1.65382
-180.096,1,0.0717983,3,9,0,180.972,1.13845,0.91959,2.1125
-180.096,0.414304,0.124651,1,3,0,181.036,1.13845,0.91959,2.1125
-178.953,0.996927,0.0482177,2,7,0,180.363,1.01633,1.05712,2.17687
