# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:22:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\x9l7r369.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation0\exponential_priors_delta_only-20240423002206.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-426.567,1,0.125,2,7,0,490.045,3.22767
-426.567,0,14.3855,0,1,1,428.171,3.22767
-426.567,0,2.43117,0,1,1,427.08,3.22767
-411.678,1,0.239791,1,1,0,422.452,6.88041
-397.659,1,0.324332,3,7,0,412.484,154.857
-397.617,0.991278,0.507206,1,3,0,397.749,207.003
-397.617,1.27547e-005,0.840625,1,1,0,400.414,207.003
-397.996,0.999058,0.0668863,4,19,0,398.17,105.753
-398.811,0.995719,0.119132,3,15,0,399.334,65.0564
-399.115,0.991259,0.216345,2,3,0,399.292,56.8255
-399.511,0.966527,0.394005,1,1,0,399.522,48.6822
-398.748,1,0.669172,2,3,0,399.429,67.0467
-398.748,0.0672699,1.26651,1,1,0,400.724,67.0467
-397.972,0.995638,0.12849,3,11,0,400.037,107.797
-397.964,1,0.242201,1,1,0,397.979,108.509
-397.795,0.998469,0.460772,3,7,0,397.952,127.49
-399.05,0.772324,0.866877,1,3,0,399.051,485.735
-397.608,1,0.811161,1,1,0,398.275,192.709
-397.608,0.0873469,1.51633,1,1,0,398.032,192.709
-397.847,0.996663,0.180702,3,9,0,397.916,120.708
-398.04,0.985862,0.335687,2,3,0,398.19,102.148
-398.075,0.994436,0.598277,1,1,0,398.141,99.485
-397.674,0.960356,1.08339,1,3,0,397.783,237.019
-397.674,0.152541,1.75961,1,1,0,397.697,237.019
-397.624,0.994403,0.276404,3,7,0,397.918,169.584
-398.417,0.86049,0.49668,1,3,0,399.005,79.8174
-397.865,0.981408,0.604797,2,3,0,398.669,118.54
-397.688,0.998532,1.03096,2,3,0,397.747,242.239
-397.688,8.72814e-007,1.82686,1,1,0,398.432,242.239
-397.744,0.997651,0.203431,1,3,0,397.776,259.87
-397.852,0.99102,0.36107,2,5,0,397.933,120.035
-397.614,1,0.623484,1,3,0,397.843,176.791
-397.614,0.0594853,1.09313,1,1,0,398.133,176.791
-397.632,0.999094,0.153881,2,7,0,397.721,165.008
-397.667,0.997901,0.26972,1,3,0,397.692,152.389
-397.643,1,0.467058,1,1,0,397.664,160.312
-397.731,0.655699,0.806161,2,3,0,398.646,137.732
-398.018,0.963886,0.565864,2,3,0,398.153,103.893
-398.106,0.953523,0.881285,2,3,0,398.17,338.887
-397.856,1,1.32766,1,1,0,398.311,288.291
-397.856,8.84304e-105,2.23571,1,1,0,397.966,288.291
-398.706,0.941408,0.303268,2,5,0,399.18,68.4463
-397.753,1,0.44264,2,3,0,398.618,133.9
-399.085,0.804043,0.742691,1,3,0,399.119,57.5423
-400.353,0.639179,0.764222,1,1,0,400.628,37.0549
-400.353,0.590202,0.525729,1,1,0,402.383,37.0549
-397.947,0.981774,0.322864,3,7,0,401.276,308.131
-398.464,0.875411,0.511963,1,1,0,398.474,399.33
-397.73,0.921287,0.625621,1,3,0,398.808,137.912
-397.618,0.967198,0.850042,2,3,0,397.814,207.904
-399.181,0.0751815,1.28158,1,1,0,400.563,503.767
-399.788,0.98576,0.238006,4,15,0,400.05,584.37
-398.936,1,0.375708,1,1,0,399.659,469.624
-397.823,1,0.609247,1,1,0,398.542,280.47
-398.122,0.893028,0.981774,2,3,0,398.122,341.835
-398.122,0.0459561,1.23187,1,1,0,398.496,341.835
-397.629,0.955515,0.22575,2,5,0,399.786,215.762
-397.656,0.995513,0.328092,2,5,0,397.737,155.659
-397.708,0.971328,0.51909,1,3,0,397.957,248.975
-397.609,0.934382,0.773847,2,3,0,397.895,197.386
-397.698,0.931403,1.05791,1,1,0,397.714,245.668
-397.61,1,1.43139,1,1,0,397.618,182.179
-397.61,0,2.24217,0,1,1,399.083,182.179
-397.61,0.998659,0.39709,2,5,0,397.63,199.241
-397.64,0.990328,0.621499,1,3,0,397.663,161.529
-397.64,0.429614,0.950547,1,1,0,398.038,161.529
-397.625,0.999694,0.436312,2,3,0,397.647,168.737
-397.608,0.994727,0.678757,2,3,0,397.659,193.314
-397.608,0.337146,1.03976,1,1,0,397.942,193.314
-397.63,0.996586,0.397686,2,5,0,397.652,216.221
-397.85,0.89931,0.610433,2,3,0,398.273,287
-397.849,1,0.761774,2,3,0,397.96,286.67
-397.849,5.88349e-005,1.16808,1,1,0,400.117,286.67
-398.459,0.954105,0.227555,1,3,0,399.134,398.587
-398.266,0.987991,0.318157,2,3,0,398.727,367.014
-397.943,0.749882,0.47496,2,3,0,400.585,110.491
-397.607,0.974742,0.435738,1,3,0,398.387,190.541
-397.625,0.995721,0.629699,1,3,0,397.628,213.01
-397.629,0.997447,0.945605,1,1,0,397.64,215.684
-397.629,0.218118,1.41912,1,1,0,397.87,215.684
-397.975,0.885753,0.450677,1,3,0,398.781,107.561
-397.844,1,0.542037,1,1,0,397.963,121.052
-397.8,1,0.814836,1,1,0,397.892,126.664
-397.8,6.24817e-090,1.22013,1,1,0,400.215,126.664
-397.78,0.998356,0.258933,3,7,0,397.943,129.692
-397.745,1,0.387058,1,1,0,397.779,135.309
-397.714,0.960472,0.578232,2,3,0,398.123,250.904
-398.452,0.742706,0.797612,2,3,0,398.542,397.411
-398.654,0.886219,0.72299,1,1,0,399.085,428.558
-397.634,1,0.862226,1,1,0,398.093,164.302
-397.634,3.49771e-019,1.27399,1,1,0,398.892,164.302
-397.692,0.995697,0.28367,1,3,0,397.748,145.795
-397.673,1,0.416323,2,3,0,397.692,150.581
-397.935,0.951573,0.613863,2,3,0,398.184,305.627
-397.623,1,0.824183,1,1,0,397.783,211.561
-398.196,0.630637,1.20756,1,1,0,398.219,91.4252
-397.661,0.80795,0.890881,2,3,0,398.637,231.818
-397.661,0.193877,0.913242,1,1,0,398.391,231.818
-397.658,1,0.303627,1,1,0,397.663,230.347
-397.658,0.999978,0.4438,2,3,0,397.665,230.542
-397.658,6.4931e-006,5.17285,1,1,0,398.223,230.542
-397.658,0,12.0791,0,1,1,397.679,230.542
-397.857,0.981226,1.19099,2,3,0,397.899,288.609
-397.892,0.994456,1.1799,1,1,0,397.918,296.377
-397.77,0.755546,1.56514,2,3,0,399.277,266.993
-398.34,0.908755,1.17737,2,5,0,398.705,83.4683
-398.34,0.992395,1.48322,1,1,0,398.472,83.4683
-397.62,1,2.54508,2,3,0,398.055,171.643
-397.664,0.930795,4.63496,1,1,0,397.731,153.142
-397.664,1.7375e-011,6.92404,1,3,1,397.666,153.142
-397.689,0.999316,0.550123,1,3,0,397.701,146.629
-398.169,0.946536,1.03782,1,3,0,398.6,93.1082
-399.135,0.848592,1.66588,1,3,0,399.14,56.3604
-397.728,1,1.96972,2,3,0,398.737,255.219
-397.728,6.5635e-120,3.74134,1,1,0,400.951,255.219
-397.822,0.997367,0.318956,4,15,0,398.321,280.198
-397.801,1,0.606428,2,3,0,397.822,275.131
-398.124,0.960344,1.15438,2,3,0,398.307,342.149
-397.744,1,1.93282,1,1,0,397.996,259.824
-397.744,0.00497874,3.62041,1,1,0,398.569,259.824
-397.982,0.993793,0.345818,3,15,0,398.707,106.951
-397.714,0.982886,0.639524,2,5,0,399.316,250.931
-397.742,0.996234,1.13455,1,1,0,397.748,259.379
-397.742,0.243234,2.07322,1,1,0,398.848,259.379
-397.935,0.984786,0.428316,3,11,0,399.321,111.235
