# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:22:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ogd5ypkv.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation1\exponential_priors_delta_only-20240423002220.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-438.124,1,0.125,2,3,0,488.097,2.47126
-438.124,0,14.3855,0,1,1,438.636,2.47126
-438.124,0,2.43117,0,1,1,438.302,2.47126
-409.126,1,0.239791,1,1,0,429.334,7.98002
-404.899,1,0.324332,3,7,0,408.346,12.17
-398.521,0.748575,0.507206,1,3,0,403.65,40.4096
-397.11,1,0.399822,2,3,0,398.601,68.9183
-396.282,0.967584,0.706379,1,3,0,396.927,155.565
-396.282,2.33519e-007,1.16588,1,1,0,397.734,155.565
-396.305,0.999918,0.0922521,5,31,0,396.315,173.87
-396.343,0.99947,0.172469,3,11,0,396.356,123.832
-397.422,0.968216,0.325345,3,7,0,397.471,59.7154
-398.658,0.930569,0.558324,2,3,0,398.673,38.794
-396.754,1,0.851555,2,3,0,397.921,267.967
-396.754,0.195379,1.61034,1,1,0,398.014,267.967
-396.937,0.927177,0.250226,2,5,0,399.535,75.4703
-396.912,1,0.379641,1,1,0,396.981,76.5525
-396.326,1,0.716419,1,3,0,396.724,127.991
-396.326,0,1.34051,0,1,1,401.801,127.991
-396.412,0.995816,0.12298,3,15,0,397.139,206.197
-397.796,0.958279,0.228604,2,5,0,398.152,405.651
-398.307,0.973592,0.376731,2,3,0,398.379,466.539
-398.997,0.692651,0.644279,1,1,0,399.841,546.146
-397.285,1,0.482726,1,1,0,398.576,341.75
-398.091,0.321718,0.881543,2,3,0,399.001,441.001
-397.635,0.999528,0.229498,4,15,0,398.222,54.7349
-397.102,0.987719,0.417083,2,3,0,397.942,69.1867
