# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:22:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xp28sqax.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation2\exponential_priors_delta_only-20240423002237.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-433.412,1,0.125,1,1,0,479.092,2.25274
-433.412,0,14.3855,0,1,1,433.869,2.25274
-433.412,0,2.43117,0,1,1,433.434,2.25274
-397.152,1,0.239791,2,5,0,432.656,105.223
-397.123,0.999091,0.324332,2,7,0,397.219,139.501
-397.135,0.998988,0.505833,3,7,0,397.146,150.957
-397.164,0.997032,0.858313,2,3,0,397.165,165.863
-397.128,1,1.52162,1,1,0,397.15,145.521
-397.128,0,2.80146,0,1,1,399.366,145.521
-397.12,0.999928,0.222611,2,7,0,397.136,130.462
-397.12,0.999956,0.416703,1,3,0,397.121,128.197
-397.12,0.00138787,0.78649,1,1,0,401.559,128.197
-397.198,0.999837,0.064088,4,23,0,397.314,178.972
-397.289,0.997166,0.122624,5,31,0,398.07,76.6934
-397.87,0.985481,0.232307,2,7,0,399.63,29.9757
-398.943,0.971418,0.42262,2,5,0,399.805,477.622
-397.282,0.978024,0.732036,2,3,0,399.375,77.6521
-397.705,0.944015,1.28548,2,3,0,397.708,290.746
-397.705,0,2.02078,0,1,1,399.399,290.746
-397.198,0.998856,0.184779,2,5,0,397.825,178.855
-397.347,0.98883,0.34545,1,3,0,397.441,219.674
-397.319,1,0.620954,1,1,0,397.371,212.935
-397.319,0.041665,1.14259,1,1,0,398.302,212.935
-397.292,0.999902,0.128427,1,3,0,397.337,206.289
-397.447,0.992817,0.237129,1,3,0,397.588,241.668
-397.123,0.982259,0.424735,3,7,0,397.906,122.501
-398.872,0.692164,0.731204,1,3,0,399.044,467.897
-400.782,0.430937,0.552263,1,1,0,401.158,711.099
-401.694,0.931262,0.202482,1,1,0,401.694,819.517
-400.181,1,0.300631,1,1,0,401.473,637.686
-397.937,1,0.535288,3,7,0,399.511,329.898
-397.143,1,0.944062,2,3,0,397.571,155.328
-397.12,1,1.64957,1,1,0,397.126,131.958
-397.12,0.00205829,2.85625,1,1,0,397.397,131.958
-397.17,0.9931,0.348081,2,5,0,397.368,168.393
-397.717,0.921438,0.593985,3,7,0,398.046,38.74
-397.705,0.977125,0.833677,2,7,0,397.769,290.698
-397.214,1,1.34431,1,1,0,397.382,89.0609
-397.524,0.84585,2.28192,1,1,0,397.655,52.5647
-397.524,8.54756e-034,2.59379,1,1,0,397.579,52.5647
-397.376,0.985193,0.346249,2,7,0,399.334,226.336
-397.402,0.995432,0.565193,1,1,0,397.435,231.892
-397.197,1,0.939543,1,1,0,397.334,178.588
-397.199,0.998031,1.56784,1,3,0,397.203,92.1686
-397.133,0.333333,2.58443,1,3,1,397.136,149.097
-397.225,0.963368,0.835881,1,3,0,397.327,86.8306
-397.277,0.920123,1.26343,2,3,0,397.848,78.364
-397.27,1,1.71106,1,1,0,397.377,79.4633
-397.27,0,2.79266,0,1,1,397.967,79.4633
-397.834,0.987678,0.422028,2,5,0,397.89,31.8282
-397.875,0.99878,0.670878,1,1,0,397.88,29.7557
-397.959,0.979005,1.08775,2,3,0,397.995,26.1488
-397.959,4.51495e-126,1.67363,1,1,0,400.555,26.1488
-399.325,0.979847,0.2665,3,7,0,399.444,12.6607
-400.671,0.561663,0.4122,1,1,0,400.947,9.79234
-398.53,0.945466,0.244146,2,3,0,401.416,16.5297
-398.91,0.932394,0.347512,1,1,0,398.916,14.249
-398.845,1,0.478137,1,1,0,399.118,14.5663
-397.942,1,0.76237,1,1,0,398.505,26.7904
-397.726,1,1.20863,1,1,0,397.942,38.1802
-397.461,0.978961,1.90546,1,1,0,397.811,57.8798
-397.461,0.130187,2.85262,1,2,1,397.532,57.8798
-397.914,0.982242,0.664003,1,3,0,398.302,27.9426
-397.914,6.91105e-005,1.0025,1,1,0,399.186,27.9426
-397.953,0.999891,0.180155,3,7,0,397.957,26.3706
-397.486,0.958815,0.283237,3,15,0,400.776,249.629
-397.135,0.969582,0.405759,1,3,0,397.966,150.637
-397.121,0.997304,0.59232,1,3,0,397.165,125.047
-397.268,0.961856,0.912985,1,3,0,397.284,199.937
-397.712,0.757522,1.29995,2,3,0,397.73,39.0633
-397.876,1,1.20253,1,1,0,397.886,29.6812
-397.122,0.337302,1.84374,1,3,1,397.408,138.751
-397.125,0.998156,0.713982,1,3,0,397.136,120.743
-397.746,0.71763,1.08852,1,1,0,397.751,297.893
-397.15,1,0.930118,1,1,0,397.485,159.463
-397.174,0.991985,1.41515,1,3,0,397.178,98.325
-397.123,1,2.10931,1,1,0,397.125,140.153
-397.12,1,3.18231,1,1,0,397.12,130.96
-397.12,0,4.7814,0,1,1,398.256,130.96
-397.145,0.992083,0.970917,2,3,0,397.16,107.909
-397.145,0.00464457,1.43855,1,1,0,397.692,107.909
-397.459,0.993412,0.301123,3,11,0,397.545,58.076
-397.419,1,0.4481,1,1,0,397.458,61.8089
-397.44,0.999542,0.672888,1,1,0,397.454,59.7843
-397.658,0.941002,1.00563,1,3,0,397.658,42.6499
-397.503,0.993232,1.3364,1,1,0,397.693,54.2453
-397.122,1,1.9593,1,1,0,397.2,138.732
-397.122,0,2.89989,1,1,0,397.805,138.732
-397.417,0.903822,0.630476,1,3,0,397.998,61.9505
-397.447,0.996281,0.778027,2,7,0,397.455,241.587
-397.447,0.149693,1.14202,1,3,1,398.072,241.587
-397.139,0.971792,0.337549,1,3,0,398.105,153.271
-397.143,0.997387,0.473257,2,5,0,397.187,108.952
-397.217,0.994345,0.69402,3,7,0,397.217,184.926
-398.742,0.32891,1.00862,1,1,0,399.021,449.943
-397.231,1,0.424767,2,3,0,398.588,189.224
-397.269,0.997507,0.623064,2,3,0,397.279,200.188
-397.158,0.814425,0.906778,2,3,0,397.797,103.267
-397.195,0.991634,0.940433,1,1,0,397.198,93.0482
-397.193,1,1.34745,1,1,0,397.231,93.4983
-397.193,0,7.81746,0,1,1,399.326,93.4983
-397.193,0,18.2543,0,1,1,397.623,93.4983
-401.028,0.673184,1.79986,1,1,0,401.307,9.30164
-397.875,1,0.784671,2,3,0,401.503,29.7163
-397.924,0.998784,0.99662,2,3,0,397.924,27.5244
-397.95,0.99329,1.49111,2,3,0,397.973,26.4821
-397.95,0.00119176,2.42182,1,1,0,398.702,26.4821
-398.094,0.99947,0.190231,4,15,0,398.351,22.2247
-398.082,1,0.335966,1,1,0,398.094,22.4968
-398.866,0.972537,0.615377,2,3,0,398.87,14.4626
-398.19,1,1.05481,2,3,0,398.659,20.3723
-398.012,0.963985,1.99369,2,3,0,398.181,24.3882
-397.165,0.666667,3.37856,1,3,0,397.786,100.826
-397.409,0.94328,2.25534,2,3,0,397.545,62.7782
-397.409,1.90858e-024,3.59492,1,1,0,398.039,62.7782
-397.161,0.995664,0.30735,3,11,0,399.331,164.552
-397.782,0.980176,0.583123,3,9,0,397.981,34.7734
-397.831,0.999787,1.04831,2,3,0,397.933,32.0024
-398.062,0.970768,1.98591,2,3,0,398.069,23.0073
-397.831,1,3.41749,2,3,0,398.079,31.9602
-397.831,0.109939,6.36569,1,3,1,397.873,31.9602
-397.479,0.995304,0.845119,3,15,0,398.083,248.202
-397.892,0.839221,1.55663,1,1,0,397.986,322.64
-398.697,0.533783,1.80372,1,1,0,399.289,443.55
-397.598,0.933093,0.864895,3,7,0,399.728,46.9013
-397.563,0.999541,1.31467,1,1,0,397.607,49.4937
-397.205,1,2.39567,2,3,0,397.613,181.036
-397.231,0.94103,4.32758,1,1,0,397.455,189.362
-397.231,0,6.5681,0,1,1,397.36,189.362
-397.442,0.951486,0.736179,2,5,0,398.399,59.611
-397.192,0.997857,1.15888,3,7,0,397.859,93.6498
-397.42,0.954595,2.05367,1,3,0,397.472,235.941
-397.42,2.24985e-259,3.20871,1,1,0,399.304,235.941
-398.087,0.987753,0.388392,2,5,0,398.294,353.755
-397.171,0.900088,0.666634,1,3,0,399.757,168.642
-397.479,0.96099,0.900792,2,3,0,397.756,248.141
-397.155,1,1.4199,2,3,0,397.418,104.032
-397.62,0.7461,2.45822,1,1,0,397.63,275.387
-397.344,0.937272,2.19811,1,3,0,397.755,69.754
-397.198,1,3.20481,1,1,0,397.328,92.362
-397.198,1.83057e-292,5.44459,1,1,0,397.427,92.362
-397.879,0.889926,0.744972,1,3,0,402.23,320.478
-397.139,0.859151,0.964549,1,3,0,399.412,110.716
-398.384,0.936474,1.15277,3,7,0,398.389,398.796
-397.17,0.932878,1.66145,1,3,0,398.316,99.498
-397.973,0.30265,2.36109,1,3,0,398.22,25.652
-397.136,0.961707,0.725368,2,5,0,399.508,112.509
-397.619,0.921605,1.10551,3,7,0,398.676,45.3347
-398.871,0.932022,1.5219,3,7,0,398.873,467.714
-398.938,0.850529,2.13799,2,3,0,399.021,14.1201
-397.39,1,2.46704,1,1,0,398.691,64.6948
-397.39,6.34074e-085,4.0315,1,1,0,397.978,64.6948
-397.554,0.998324,0.639268,2,7,0,397.787,50.1984
-398.104,0.92762,1.04284,2,5,0,398.953,22.018
-398.162,0.979718,1.43701,1,1,0,398.221,20.8486
-398.123,1,2.22083,1,1,0,398.316,21.5972
-398.014,1,3.57381,1,1,0,398.329,24.3136
-398.014,0,5.71676,0,1,1,399.431,24.3136
-397.464,0.912804,0.967938,1,3,0,399.319,57.5905
-397.123,0.980529,1.27769,1,3,0,397.853,123.198
-397.123,0.0282129,1.95256,1,1,0,398.819,123.198
-397.397,0.998143,0.365289,3,15,0,397.408,230.791
-397.121,0.994016,0.581379,2,5,0,397.711,126.649
-397.26,0.992201,0.911983,2,7,0,397.288,197.7
-397.26,0.815975,1.41747,1,1,0,397.734,197.7
-397.137,0.983916,1.50064,1,3,0,397.365,111.662
-397.132,1,2.27325,1,1,0,397.14,115.098
-397.132,0.000173647,3.54669,1,1,0,397.439,115.098
-397.122,0.999646,0.664848,2,7,0,397.152,124.453
-397.858,0.757269,1.03822,1,3,0,401.046,30.5633
-397.444,0.991246,0.971744,3,7,0,399.014,59.4089
-397.95,0.92264,1.48076,1,3,0,398.288,26.4962
-397.93,1,1.94886,1,1,0,397.994,27.2747
-397.406,0.380698,2.99888,1,3,0,397.591,232.9
-397.548,0.964056,1.29209,1,1,0,397.583,261.835
-397.329,1,1.84324,2,3,0,397.465,71.4809
-399.563,0.0669585,2.81783,1,1,0,401.438,11.969
-399.01,1,0.653056,1,1,0,399.485,13.8069
-397.746,1,0.999107,3,7,0,398.908,36.9056
-397.656,0.998443,1.52199,2,3,0,398.014,42.7551
-397.957,0.844514,2.30167,1,3,0,397.957,26.2308
-398.037,0.953786,2.55666,1,1,0,398.148,23.6527
-398.264,0.60989,3.51767,1,1,0,398.913,19.2527
-397.469,0.9756,2.45966,1,1,0,398.289,57.1285
-397.739,1,3.52082,1,1,0,397.781,37.3829
-397.366,0.5,5.26622,1,2,1,397.564,223.893
-397.263,1,2.98666,1,1,0,397.46,198.577
-397.64,0.628079,4.45361,1,3,0,397.641,43.8658
-397.264,1,3.24646,1,1,0,397.583,80.2993
-397.264,0.874825,4.82123,1,1,0,397.831,80.2993
-397.713,0.87435,5.62604,1,1,0,397.896,39.0228
-397.713,0.389631,6.55004,1,1,0,398.411,39.0228
-397.53,0.984355,3.06038,1,1,0,397.768,52.0742
-397.53,0.0731434,4.38339,1,1,0,397.547,52.0742
-397.47,1,1.14454,3,7,0,397.573,57.0409
-397.363,0.969088,1.68935,1,3,0,398.067,223.305
-397.588,0.825987,2.34708,1,1,0,397.826,269.377
-397.122,1,2.49861,1,1,0,397.283,124.795
-397.122,0.440689,3.65729,1,3,0,397.573,124.795
-397.137,0.994386,1.92205,2,3,0,397.15,151.703
-397.303,0.942275,0.694694,3,7,0,397.666,208.933
-397.303,0,8.99782,0,1,1,397.881,208.933
-397.303,0.256781,1.47407,1,1,0,397.821,208.933
-397.295,1,0.283131,2,3,0,397.305,206.994
-397.765,0.958058,0.397906,2,3,0,398.07,301.19
-398.547,0.944257,0.562875,2,3,0,398.556,422.351
-397.287,1,0.818073,1,1,0,398.068,204.879
-397.287,0.57456,1.47145,2,3,0,397.529,204.879
-397.206,0.934419,0.713747,1,3,0,397.79,90.5967
-397.138,1,1.07923,2,3,0,397.189,152.418
-397.138,1.49791e-005,2.02612,1,1,0,397.623,152.418
-398.287,0.99193,0.162125,4,19,0,398.596,18.9483
-398.229,1,0.300096,3,7,0,398.285,19.745
-400.297,0.566755,0.569662,2,3,0,400.366,10.394
-397.487,1,0.279082,4,15,0,400.277,55.5816
-397.446,1,0.529245,2,3,0,397.488,59.2131
-397.218,1,0.996921,1,3,0,397.671,185.468
-397.218,0.00380083,1.86286,1,1,0,397.81,185.468
-397.136,0.999725,0.16855,2,7,0,397.266,151.552
-397.148,0.998779,0.316549,2,7,0,397.204,106.801
-397.14,1,0.587287,1,1,0,397.147,110.407
-397.155,0.998127,1.08297,2,3,0,397.156,161.571
-397.155,1.62844e-024,1.96646,1,1,0,398.197,161.571
-397.167,0.998644,0.194314,3,11,0,397.349,100.183
-397.123,0.997491,0.355119,2,7,0,397.323,122.992
-397.295,0.965753,0.640408,1,3,0,397.5,75.8933
-397.404,0.988796,1.04521,1,1,0,397.411,63.277
-397.404,1.07767e-006,1.80503,1,1,0,397.898,63.277
-397.12,0.999721,0.196709,3,13,0,397.465,129.898
-397.128,0.999674,0.351848,2,7,0,397.134,117.706
-397.641,0.861765,0.623208,1,3,0,398.787,43.8466
-397.192,1,0.751865,1,3,0,397.941,93.8132
-398.297,0.333582,1.31227,1,3,1,398.374,18.8197
-397.692,0.843744,0.382533,1,3,0,400.218,40.3809
-397.124,0.998441,0.439676,3,15,0,397.793,121.086
-397.144,0.998126,0.757292,2,7,0,397.144,155.936
-397.7,0.646772,1.2921,1,1,0,397.811,289.801
-397.287,1,0.880499,2,3,0,397.596,76.962
-397.139,1,1.49529,1,1,0,397.225,111.067
-397.139,2.09969e-007,2.51882,1,1,0,397.904,111.067
-397.126,0.998951,0.335396,2,7,0,397.202,142.937
-397.126,0.794025,0.565325,1,3,0,399.154,142.937
-398.368,0.888615,0.567321,2,3,0,399.104,396.33
-398.368,0.486153,0.719375,1,1,0,399.437,396.33
-397.562,0.976341,0.338187,2,3,0,398.869,264.492
-397.164,0.883536,0.531221,1,3,0,398.887,101.247
-397.12,0.997925,0.662176,2,5,0,397.196,127.865
-397.222,0.971549,1.08346,2,3,0,397.269,87.3854
-397.754,0.561236,1.65319,1,1,0,397.897,299.29
-397.635,1,0.947293,2,7,0,397.643,44.2438
# Adaptation terminated
# Step size = 0.747372
# Diagonal elements of inverse mass matrix:
# 0.87112
-397.149,0.958781,0.747372,2,7,0,398.636,158.792
-397.502,0.859492,0.747372,1,3,0,398.359,54.3491
-397.12,1,0.747372,1,3,0,397.901,129.509
-397.167,0.989452,0.747372,1,3,0,397.197,100.411
-397.165,1,0.747372,2,3,0,397.172,101.021
-397.219,0.975971,0.747372,2,3,0,397.478,185.718
-397.434,0.982209,0.747372,2,3,0,397.434,238.771
-397.194,0.871338,0.747372,3,7,0,398.047,177.466
-397.34,0.908173,0.747372,3,7,0,397.906,70.1559
-399.079,0.881462,0.747372,2,3,0,399.137,495.976
-399.079,0.838226,0.747372,1,3,0,400.453,495.976
-397.597,0.999225,0.747372,2,7,0,398.895,46.9551
-397.503,0.999484,0.747372,1,1,0,397.598,54.301
-397.62,0.999609,0.747372,2,3,0,397.772,45.3156
-397.201,0.986975,0.747372,2,5,0,397.689,179.804
-397.178,1,0.747372,1,1,0,397.203,171.732
-397.121,0.995949,0.747372,1,3,0,397.213,125.445
-397.814,0.903531,0.747372,2,5,0,397.951,32.9321
-397.891,0.997995,0.747372,1,1,0,397.891,29.0029
-397.807,1,0.747372,1,1,0,397.889,33.3067
