# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:22:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ovtawi2k.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation3\exponential_priors_delta_only-20240423002251.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-434.93,1,0.125,1,1,0,479.724,2.26516
-434.93,0,14.3855,0,1,1,436.468,2.26516
-434.93,0,2.43117,0,1,1,435.436,2.26516
-401.051,1,0.239791,2,5,0,429.962,11.7795
-400.193,1,0.324332,1,1,0,401.001,13.7934
-398.549,1,0.507206,2,3,0,399.697,22.4686
-397.494,1,0.863376,1,1,0,398.375,49.3041
-396.912,1,1.54496,1,1,0,397.064,136.99
-396.912,0,2.84484,0,1,1,398.247,136.99
-396.909,0.999537,0.226075,2,7,0,396.95,119.893
-396.954,0.988338,0.422673,1,3,0,397.121,158.98
-397.3,0.937352,0.768999,2,7,0,397.3,60.7341
-397.499,0.954361,1.19435,2,3,0,397.504,273.615
-397.499,1.43253e-178,1.95611,1,1,0,397.726,273.615
-397.28,0.983632,0.162916,3,11,0,399.644,62.0762
-397.353,0.999478,0.295349,2,3,0,397.362,57.2373
-396.907,0.992238,0.559104,3,7,0,397.59,129.827
-398.932,0.221028,1.02742,1,3,0,399.012,19.2675
-398.044,0.994789,0.180893,3,7,0,399.374,30.0536
-398.264,0.975141,0.335516,2,3,0,398.717,26.0323
-397.03,0.789086,0.581579,1,3,0,401.95,181.674
-396.973,0.992509,0.576664,3,7,0,397.13,165.32
-396.968,1,1.03869,2,3,0,396.977,97.1522
-396.968,0.392112,1.89373,1,1,0,396.974,97.1522
-397.412,0.933812,0.59293,1,3,0,397.671,53.7345
-397.03,0.983912,0.890268,2,3,0,397.623,181.72
-397.272,0.931587,1.53015,1,3,0,397.272,62.6653
-396.915,1,2.24994,1,1,0,396.927,139.881
-396.915,0,3.97691,0,1,1,398.755,139.881
-396.915,0.999663,0.439968,3,7,0,396.929,139.559
-396.991,0.974124,0.780183,1,3,0,397.045,92.4758
-396.924,1,1.2786,1,3,0,396.942,145.434
-397.161,0.545134,2.22857,1,1,0,397.634,211.701
-396.911,1,1.14175,2,3,0,397.018,136.626
-396.911,0.150164,1.97403,1,1,0,397.2,136.626
-396.907,0.999728,0.362154,1,3,0,396.918,129.692
-396.997,0.977725,0.625899,1,3,0,397.074,91.5374
-396.997,0.0686376,1.01309,1,1,0,398.538,91.5374
-397.11,0.994698,0.157569,3,15,0,398.317,200.636
-397.113,0.99989,0.267119,1,1,0,397.119,201.273
-396.924,0.95797,0.455141,1,3,0,397.725,110.307
-397.41,0.891557,0.692445,1,3,0,397.662,53.8551
-396.993,1,0.887179,2,3,0,397.275,171.568
-397.121,0.864646,1.48108,1,1,0,397.288,203.091
-397.121,0.443569,1.75995,1,1,0,397.146,203.091
-397.676,0.428879,0.746872,2,3,0,399.21,41.0838
-397.507,0.999504,0.309548,1,3,0,397.749,48.6519
-397.613,0.997596,0.512385,1,1,0,397.614,43.6988
-397.074,0.985626,0.838379,1,3,0,397.588,80.5683
-396.923,1,1.32438,1,1,0,397.002,110.783
-396.923,5.42669e-010,2.15085,1,1,0,397.123,110.783
-397.731,0.968486,0.333821,2,5,0,397.889,38.9988
-397.619,1,0.505088,1,1,0,397.729,43.4257
-397.619,0.615804,0.817486,1,1,0,398.791,43.4257
-397.171,0.990086,0.544151,2,5,0,397.79,70.7248
-397.319,0.981712,0.855216,2,3,0,398.43,59.4256
-397.028,1,1.31128,1,1,0,397.258,86.6258
-397.257,0.195359,2.08396,1,3,1,397.573,230.642
-397.028,0.993277,0.543071,2,3,0,397.346,181.302
-397.028,0.304419,0.84991,2,3,0,398.58,181.302
-397.084,0.999421,0.288027,4,15,0,397.091,194.831
-397.035,1,0.45611,1,1,0,397.08,183.029
-396.963,0.972845,0.719248,1,3,0,397.216,98.236
-396.963,0.99993,1.06345,1,1,0,396.989,98.1975
-396.913,1,1.65966,1,1,0,396.938,116.78
-396.921,0.387421,2.57733,1,3,1,396.946,143.909
-396.93,0.989614,1.07496,2,3,0,396.945,107.785
-396.93,9.67685e-016,1.62868,1,1,0,398.687,107.785
