# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\b9mo9hix.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation4\exponential_priors_delta_only-20240423002301.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-434.93,1,0.125,1,1,0,480.434,2.35618
-434.93,0,14.3855,0,1,1,434.994,2.35618
-434.93,0,2.43117,0,1,1,436.252,2.35618
-406.371,1,0.239791,1,1,0,426.748,7.96867
-402.311,1,0.324332,1,1,0,405.435,13.0649
-399.753,0.959781,0.507206,3,7,0,401.455,588.229
-397.747,1,0.763341,1,1,0,398.816,292.998
-397.401,1,1.36316,1,1,0,397.49,182.141
-397.401,1.81012e-018,2.50706,1,1,0,397.681,182.141
-397.474,0.992664,0.19911,2,7,0,397.945,223.731
-397.448,0.961513,0.364192,3,7,0,398.32,213.597
-397.461,0.970779,0.608872,1,3,0,397.651,134.478
-397.461,0.312458,1.05137,2,3,0,398.11,134.478
-397.399,0.995277,0.230265,2,7,0,397.894,168.876
-397.417,0.998038,0.43217,3,7,0,397.441,151.315
-397.452,0.990014,0.814217,1,1,0,397.453,137.422
-399.095,0.412087,1.48662,1,1,0,399.201,31.6834
-398.926,1,0.461103,1,1,0,399.107,34.7213
-398.469,1,0.865738,2,3,0,398.889,47.104
-397.908,1,1.61074,1,1,0,398.542,76.9284
-397.908,0,2.96829,0,1,1,397.911,76.9284
-397.955,0.9991,0.281658,2,3,0,398.033,73.4732
-397.908,1,0.520366,1,1,0,397.97,76.9423
-398.417,0.94309,0.954318,1,1,0,398.426,49.0425
-398.417,0.00707957,1.47057,1,1,0,398.804,49.0425
-397.616,0.997037,0.155133,3,15,0,399.371,105.755
-397.628,0.999745,0.280889,1,1,0,397.63,104.078
-397.523,0.999747,0.507416,3,7,0,397.657,120.406
-397.41,1,0.907608,1,1,0,397.483,156.048
-397.41,1.29256e-007,1.60886,1,1,0,399.136,156.048
-397.543,0.997844,0.182658,3,15,0,397.632,245.455
-397.578,0.973009,0.323122,2,7,0,398.172,111.057
-397.785,0.976036,0.529631,2,3,0,397.999,87.1547
-397.608,1,0.868149,1,1,0,397.771,106.802
-397.608,1.69694e-012,1.50429,1,1,0,398.117,106.802
-397.554,0.997433,0.186352,3,9,0,398.092,248.529
-400.509,0.86318,0.32182,2,7,0,400.512,682.009
