# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\wl_vpj5a.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation5\exponential_priors_delta_only-20240423002310.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-442.673,1,0.125,1,1,0,480.181,1.9704
-442.673,0,14.3855,0,1,1,443.672,1.9704
-442.673,0,2.43117,0,1,1,443.835,1.9704
-400.014,1,0.239791,2,5,0,433.766,621.59
-399.285,1,0.324332,1,1,0,399.95,528.649
-399.182,1,0.507206,1,1,0,399.721,515.034
-397.942,1,0.863376,1,1,0,398.882,335.725
-397.942,8.79838e-156,1.54496,1,1,0,399.161,335.725
-397.825,0.999454,0.122801,1,3,0,398.01,315.877
-397.225,0.995866,0.225686,2,5,0,398.076,145.486
-397.578,0.946914,0.417074,1,3,0,398.303,269.859
-397.565,1,0.665758,1,1,0,397.665,267.176
-397.543,0.975363,1.26006,1,3,0,397.659,75.4728
-397.543,0.00870965,2.20368,1,3,1,397.553,75.4728
-397.306,0.99883,0.188464,3,11,0,397.877,108.458
-397.46,0.994647,0.357809,2,5,0,397.566,244.265
-397.704,0.711207,0.666462,1,3,0,399.144,63.2215
-397.87,0.996206,0.518448,2,3,0,397.87,54.1283
-397.318,0.988511,0.961404,1,3,0,397.754,105.706
-397.246,1,1.72655,1,1,0,397.247,175.737
-397.246,1.03886e-030,3.1799,1,1,0,397.34,175.737
-397.248,0.999913,0.301564,1,1,0,397.248,176.895
-397.236,0.991671,0.558148,1,3,0,397.337,133.647
-397.33,0.968827,0.99853,1,1,0,397.33,103.145
-397.28,0.935267,1.65651,1,3,0,397.281,192.45
-397.23,0.333333,2.47576,1,3,1,397.231,138.519
-397.237,0.976997,0.667964,2,3,0,397.453,169.916
-397.237,0.96399,1.12367,1,1,0,397.271,169.916
-397.237,7.32886e-080,1.8072,1,1,0,398.942,169.916
-397.225,0.999468,0.20126,2,7,0,397.286,147.904
-397.269,0.992701,0.35903,2,5,0,397.443,187.754
-397.233,0.99195,0.622829,2,7,0,397.34,136.296
-397.417,0.889819,1.06856,2,3,0,397.663,89.2922
-397.664,0.822607,1.38326,1,1,0,397.684,286.693
-398.275,0.299084,1.49219,1,1,0,399.753,388.191
-397.264,0.824945,0.405868,2,3,0,400.61,185.174
-397.329,0.948867,0.444209,2,5,0,398.042,103.5
-397.274,0.980443,0.669037,1,3,0,397.562,189.959
-398.024,0.539184,1.08584,1,1,0,398.215,349.178
-397.243,1,0.568028,2,3,0,397.901,129.382
-397.496,0.938299,0.962651,1,3,0,397.507,252.53
-397.496,0.680066,1.38624,1,3,0,397.508,252.53
-397.466,0.909087,1.04306,2,3,0,397.635,245.676
-397.466,2.39892e-019,1.38888,1,1,0,399.38,245.676
-397.642,0.994245,0.197355,3,11,0,397.954,67.4098
-397.726,0.996631,0.325921,2,3,0,397.82,61.8166
-397.476,0.98764,0.537498,2,3,0,398.024,82.1328
-397.33,1,0.861374,1,1,0,397.45,103.217
-397.33,0.278645,1.41249,1,1,0,397.503,103.217
-397.669,0.992882,0.415395,3,7,0,397.692,65.508
-397.228,0.970796,0.668555,1,3,0,398.079,160.871
-397.228,0.99854,1.01526,2,3,0,397.233,160.6
-397.228,0.0203808,1.63545,1,1,0,397.984,160.6
-397.355,0.986931,0.273021,2,5,0,397.86,217.33
-397.283,0.928293,0.429145,1,3,0,398.279,114.284
-397.224,0.996052,0.586642,1,3,0,397.339,151.734
-397.226,0.895281,0.931399,2,3,0,397.499,143.401
-397.226,0.254022,1.17153,1,1,0,397.641,143.401
-397.235,0.999654,0.349391,2,7,0,397.239,168.28
-397.378,0.94405,0.556097,1,3,0,397.75,94.7785
-397.264,0.987222,0.778202,1,3,0,397.514,185.264
-397.264,0.220928,1.19268,1,1,0,398.671,185.264
-399.35,0.921575,0.340295,2,7,0,399.945,24.1261
-398.955,0.926347,0.452015,2,3,0,400.344,28.1612
-399.276,0.918411,0.604617,1,1,0,399.46,24.7865
-397.344,1,0.792377,2,3,0,398.6,214.077
-397.344,0.234832,1.23251,1,1,0,398.408,214.077
-398.166,0.913328,0.374958,2,3,0,398.879,371.477
-397.396,0.934806,0.485138,3,7,0,399.11,92.1129
-398.74,0.91709,0.654806,1,3,0,399.676,455.165
-397.227,1,0.848855,1,1,0,398.11,142.708
-397.25,0.985304,1.30389,1,1,0,397.253,125.881
-397.25,0.181098,1.93397,1,1,0,397.279,125.881
-397.225,0.997813,0.545498,1,3,0,397.287,153.222
-397.23,0.997553,0.830363,2,3,0,397.237,162.981
-397.23,0.29638,1.25782,1,1,0,398.303,162.981
-397.241,0.998418,0.457871,2,5,0,397.257,130.243
-397.233,1,0.69388,2,3,0,397.24,136.134
-397.233,7.26465e-030,1.05047,1,1,0,403.404,136.134
-397.228,0.999927,0.214904,3,9,0,397.245,160.408
-397.912,0.97087,0.325799,2,5,0,398.157,52.256
-399.531,0.921866,0.464422,2,5,0,399.537,560.596
-398.808,1,0.599067,2,7,0,399.18,30.0548
-397.427,0.339896,0.89835,2,3,0,399.162,236.375
-397.668,0.957081,0.370428,2,3,0,398.113,287.514
-397.797,0.991295,0.510242,2,3,0,397.841,310.92
-397.797,0.180768,0.748591,1,1,0,399.215,310.92
-397.286,0.996272,0.230247,2,5,0,398.016,194.544
-397.392,0.994902,0.34104,2,3,0,397.394,227.646
-397.462,0.998214,0.502016,3,7,0,397.469,244.808
-397.802,0.872305,0.74103,1,1,0,397.856,311.787
-397.466,1,0.859297,1,1,0,397.736,245.673
-397.253,0.917147,1.26522,2,3,0,397.358,179.982
-397.253,0.125504,1.58977,1,1,0,397.755,179.982
-397.339,0.993827,0.455623,2,3,0,397.347,212.635
-397.39,0.986482,0.661625,1,1,0,397.407,227.031
-397.39,1.87737e-006,0.94477,1,1,0,399.936,227.031
-397.425,0.964315,0.218793,2,7,0,399.577,88.196
-397.595,0.994175,0.300448,1,3,0,397.769,70.9945
-398.247,0.963194,0.434527,1,3,0,398.688,40.8188
-398.247,0,4.73752,1,2,1,398.59,40.8188
-398.247,0,11.0624,0,1,1,398.257,40.8188
-397.956,0.886484,1.09075,2,3,0,399.33,50.3826
-397.301,0.992421,0.839492,3,7,0,398.084,109.652
-397.279,0.981368,1.08713,1,3,0,397.498,191.833
-397.362,0.964349,1.58421,2,3,0,397.393,219.362
-397.362,2.7205e-017,2.39079,1,1,0,398.949,219.362
-397.387,0.9999,0.188618,3,7,0,397.389,226.153
-397.664,0.990289,0.335159,3,11,0,398.048,65.8691
-397.717,0.998294,0.596795,2,3,0,397.765,62.4062
