# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\63tsze1w.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation6\exponential_priors_delta_only-20240423002319.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-429.993,1,0.125,2,7,0,493.235,3.1438
-429.993,0,14.3855,0,1,1,432.11,3.1438
-429.993,0,2.43117,0,1,1,430.081,3.1438
-414.649,1,0.239791,2,3,0,425.561,5.93785
-406.47,1,0.324332,2,3,0,412.44,11.6949
-403.869,1,0.507206,1,1,0,406.419,16.8119
-397.729,0.333333,0.863376,1,3,1,401.507,263.556
-398.221,0.992491,0.19396,3,11,0,398.222,84.9757
-397.733,0.990081,0.341905,1,3,0,398.504,123.154
-397.598,0.973949,0.61306,1,3,0,397.921,221.852
-397.723,0.902601,1.05856,1,1,0,397.792,262.096
-397.723,0.293152,1.46747,1,3,1,397.733,262.096
-398.413,0.915517,0.299141,2,5,0,399.813,76.4137
-398.288,1,0.436419,3,7,0,398.436,81.7907
-397.819,1,0.828327,1,1,0,398.179,113.056
-397.819,0,1.56367,0,1,1,400.533,113.056
-397.825,0.999941,0.135113,1,1,0,397.826,112.452
-397.837,0.999233,0.256881,2,3,0,397.877,111.288
-397.92,0.989638,0.483373,1,1,0,397.934,103.926
-397.783,0.997072,0.875836,2,3,0,397.978,276.941
-397.783,3.52348e-060,1.60801,1,1,0,399.071,276.941
-397.667,0.999691,0.153367,3,7,0,397.833,246.177
-397.549,0.999342,0.285299,2,7,0,397.712,185.035
-397.883,0.926037,0.524898,1,3,0,398.143,107.077
-398.553,0.813903,0.773998,1,1,0,398.588,71.2356
-397.715,1,0.823155,2,3,0,398.265,125.698
-397.549,1,1.48176,1,1,0,397.583,181.156
-397.549,0.00685609,2.6411,1,1,0,397.647,181.156
-397.761,0.969299,0.293328,2,5,0,398.57,119.567
-398.619,0.929513,0.482247,2,3,0,398.712,68.9792
-399.683,0.779805,0.705145,1,1,0,399.774,45.1332
-397.904,1,0.682299,1,3,0,399.299,105.256
-398.126,0.811916,1.19536,1,1,0,398.142,345.406
-398.126,0.148447,1.25548,1,1,0,398.255,345.406
-397.838,1,0.22702,2,3,0,398.114,289.411
-397.557,0.984386,0.395835,1,3,0,398.065,197.177
-397.633,0.967306,0.656809,2,3,0,397.749,235.349
-398.025,0.711272,1.03445,1,1,0,398.198,327.109
-397.888,1,0.83813,1,1,0,398.138,300.029
-397.888,0.0338198,1.422,1,1,0,398.044,300.029
-397.733,0.998589,0.207717,3,7,0,398.019,264.713
-397.676,1,0.351996,1,1,0,397.728,248.916
-397.892,0.875267,0.593899,1,3,0,398.46,106.262
-397.632,1,0.730295,2,3,0,397.817,140.411
-397.632,1.54238e-005,1.2163,1,1,0,398.364,140.411
-397.72,0.996822,0.175398,3,7,0,397.892,124.991
-397.553,0.998739,0.290654,2,7,0,397.769,172.387
-397.64,0.991742,0.480435,2,3,0,397.642,138.682
-397.906,0.93714,0.775523,2,3,0,398.142,105.093
-397.906,0.0957355,1.09252,1,1,0,399.833,105.093
-397.798,0.996707,0.210834,4,15,0,398.357,280.35
-397.839,0.998675,0.3428,2,3,0,397.847,289.58
-397.663,1,0.55631,1,1,0,397.799,245.165
-397.667,0.997584,0.899828,2,3,0,397.701,133.375
-397.667,0.0844168,1.43842,1,1,0,398.603,133.375
-398.08,0.966124,0.284474,2,7,0,398.929,337.123
-401.449,0.761651,0.423929,3,7,0,401.767,27.1877
-398.982,1,0.396485,2,3,0,401.461,58.7661
-397.858,0.956164,0.632902,1,3,0,398.774,109.282
-398.024,0.929405,0.911103,1,1,0,398.16,96.2921
-398.163,0.897574,1.23071,1,1,0,398.596,88.0135
-397.6,1,1.54438,1,1,0,397.62,222.712
-397.6,7.48816e-005,2.41808,1,1,0,397.613,222.712
-397.551,0.998191,0.428127,1,3,0,397.63,189.381
-397.642,0.97804,0.669111,1,3,0,397.648,238.363
-397.642,0.21294,0.996268,1,1,0,398.266,238.363
-397.633,1,0.287679,1,1,0,397.643,235.119
-397.551,1,0.448859,2,3,0,397.622,190.069
-398.245,0.841995,0.696872,1,3,0,398.408,83.828
-397.855,1,0.772294,1,1,0,398.175,109.542
-398.011,0.889548,1.18969,1,1,0,398.291,97.1871
-398.011,3.28628e-041,1.44964,1,1,0,398.61,97.1871
-397.585,0.997792,0.279659,2,7,0,398.132,215.831
-397.89,0.905224,0.428129,3,7,0,399.012,300.499
-397.84,1,0.539801,1,1,0,397.93,289.81
-397.84,0.147709,0.823578,1,1,0,398.979,289.81
-397.619,0.991647,0.222258,2,5,0,398.228,230.233
-399.456,0.842616,0.333458,1,3,0,401.234,541.938
-397.642,1,0.369422,2,3,0,399.263,238.436
