# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\qgjby3cl.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation7\exponential_priors_delta_only-20240423002331.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-428.833,1,0.125,1,1,0,480.508,2.59409
-428.833,0,14.3855,0,1,1,429.218,2.59409
-428.833,0,2.43117,0,1,1,428.839,2.59409
-403.547,1,0.239791,1,1,0,421.501,8.1874
-401.318,1,0.324332,1,1,0,403.205,10.68
-399.458,1,0.507206,1,1,0,400.978,15.0019
-397.04,1,0.863376,1,1,0,398.409,50.1283
-397.04,0.0465097,1.54496,1,1,0,397.692,50.1283
-396.89,0.999664,0.142128,4,21,0,397.197,82.8265
-396.909,0.998779,0.261564,2,7,0,397.072,70.8927
-396.968,0.996701,0.487951,2,7,0,397.019,57.8669
-398.548,0.362575,0.911378,2,3,0,398.833,435.054
-398.347,1,0.231513,1,1,0,398.54,407.4
-397.938,1,0.440688,1,1,0,398.31,347.999
-397.033,1,0.836383,1,1,0,397.607,171.851
-397.033,0.150635,1.57878,1,1,0,397.465,171.851
-396.888,0.992711,0.216838,2,7,0,397.782,97.5108
-396.888,0.999951,0.401848,2,7,0,396.892,86.1438
-396.961,0.973295,0.755178,2,3,0,397.395,58.9396
-396.961,0.576578,1.29807,1,1,0,397.292,58.9396
-396.947,1,0.678107,1,1,0,396.962,61.3466
-396.897,0.990661,1.25276,1,3,0,396.974,109.942
-396.897,0.0326913,2.22961,1,1,0,397.077,109.942
-396.924,0.997196,0.242772,2,7,0,397.424,66.4556
-396.887,0.999852,0.442363,4,15,0,396.937,86.7649
-397.689,0.974344,0.804134,2,3,0,397.958,28.1589
-396.901,1,1.34632,1,1,0,397.239,74.2923
