# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\r5q6hkfs.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation8\exponential_priors_delta_only-20240423002347.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-437.384,1,0.125,3,7,0,481.391,2.24225
-437.384,0,14.3855,0,1,1,438.23,2.24225
-437.384,0,2.43117,0,1,1,437.623,2.24225
-407.349,1,0.239791,1,1,0,427.851,7.6596
-404.44,1,0.324332,2,3,0,406.866,10.6208
-399.973,1,0.507206,1,1,0,403.562,25.3508
-397.265,1,0.863376,1,1,0,399.049,64.0403
-397.265,0,1.54496,0,1,1,398.881,64.0403
-397.27,0.999954,0.122801,1,1,0,397.275,63.8749
-396.9,0.993771,0.226042,1,3,0,397.581,80.3709
-396.858,0.993673,0.414975,2,3,0,397.062,83.0034
-397.204,0.949909,0.76784,2,3,0,397.217,311.528
-396.583,1,1.24066,1,1,0,396.881,192.131
-396.583,0.376643,2.34414,1,2,1,396.677,192.131
-396.695,0.990581,0.63118,2,3,0,396.699,221.24
-396.695,0.618608,1.15922,1,1,0,397.054,221.24
-396.553,0.759839,0.673374,2,3,0,397.93,181.617
-397.372,0.912994,0.607657,2,3,0,397.376,60.6304
-397.042,1,0.874597,1,1,0,397.444,72.8557
-397.042,0.000217397,1.62708,1,1,0,397.046,72.8557
-397.02,1,0.152167,2,3,0,397.042,73.9206
-396.74,1,0.284653,2,3,0,397.007,92.087
-396.772,0.99872,0.52724,3,7,0,396.777,89.3586
-396.504,1,0.963228,1,1,0,396.638,143.491
-396.984,0.439523,1.74868,1,1,0,397.412,75.7033
-397.061,0.993788,0.633698,2,3,0,397.152,72.007
-397.061,0.018791,1.12332,1,1,0,397.738,72.007
