# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:23:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fnnpsbix.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.2\realisation9\exponential_priors_delta_only-20240423002356.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-399.16,0.666667,0.25,2,3,0,478.492,522.763
-399.16,0,7.84723,0,1,1,399.165,522.763
-397.023,1,1.10816,1,1,0,397.608,166.353
-399.287,0.0834213,1.41691,1,1,0,399.977,38.4798
-399.576,0.997277,0.158814,2,3,0,399.606,35.1669
-398.131,0.973594,0.238818,2,7,0,401.166,59.5074
-398.316,0.995616,0.367405,2,3,0,398.338,54.8601
-397.765,1,0.639412,1,1,0,398.254,71.4809
-397.081,1,1.16741,1,1,0,397.408,128.38
-397.081,1.5149e-014,2.17272,1,1,0,398.545,128.38
-397.256,0.991414,0.172741,3,11,0,397.997,102.452
-397.647,0.98624,0.31767,3,7,0,397.987,315.145
-397.238,1,0.577034,1,1,0,397.544,241.135
-398.008,0.453379,1.09396,1,1,0,398.523,369.469
-397.075,0.961213,0.375753,1,3,0,398.638,197.447
-397.222,0.899972,0.632148,2,3,0,397.736,106.032
-397.222,0.526127,0.876429,1,1,0,398.173,106.032
-397.302,0.993555,0.386613,1,1,0,397.302,98.1945
-397.353,0.986176,0.712813,1,1,0,397.422,94.0095
-397.036,1,1.27422,1,1,0,397.09,179.289
-397.036,0,2.35268,0,1,1,398.687,179.289
-397.596,0.96648,0.223678,3,7,0,399.205,306.911
-397.051,0.973327,0.376292,1,3,0,398.011,187.348
-397.033,0.994125,0.64038,2,3,0,397.094,176.826
-397.033,8.67667e-007,1.14704,1,1,0,398.536,176.826
-397.025,0.999951,0.118834,2,7,0,397.042,170.092
-398.123,0.950506,0.217441,2,7,0,400.219,59.7354
