# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:27:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\02r_cjyx.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation0\exponential_priors_delta_only-20240423002715.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-405.083,1,0.125,2,7,0,501.148,5.16644
-405.083,0,14.3855,0,1,1,406.516,5.16644
-405.083,0,2.43117,0,1,1,405.18,5.16644
-402.661,1,0.239791,2,3,0,404.528,6.80601
-401.473,1,0.324332,1,1,0,402.44,8.50816
-398.584,0.996941,0.507206,3,7,0,401.393,28.8939
-397.608,0.993871,0.855327,1,3,0,398.898,90.5148
-397.95,0.957354,1.5014,1,1,0,397.977,55.0582
-397.95,0.075143,2.41719,1,1,0,398.921,55.0582
-397.692,0.998174,0.243343,3,11,0,398.118,79.5871
-397.88,0.998568,0.453047,2,3,0,397.88,60.6445
-397.462,1,0.851265,1,3,0,397.941,116.654
-398.092,0.852027,1.60998,1,1,0,398.097,46.0114
-397.389,1,1.91059,1,1,0,397.77,139.754
-397.389,0,3.59703,0,1,1,397.485,139.754
-397.365,0.99267,0.303566,2,5,0,397.817,188.085
-398.336,0.910463,0.56264,2,3,0,398.747,411.16
-397.702,0.976666,0.805376,2,3,0,398.16,298.099
-397.63,0.98826,1.40281,1,1,0,397.719,87.4519
-397.63,0,2.50972,0,1,1,398.831,87.4519
-397.419,0.996021,0.233727,2,7,0,398.277,219.89
-397.423,0.998279,0.430562,2,3,0,397.456,221.599
-398.888,0.212379,0.790711,1,3,0,401.317,23.4833
-397.619,0.999612,0.146433,5,31,0,399.268,88.9156
-397.691,0.999454,0.269847,1,3,0,397.742,79.6466
-397.486,0.997865,0.492046,2,5,0,398.018,243.658
-397.937,0.757185,0.884263,1,1,0,398.036,344.232
