# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:28:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\0kavv2di.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation1\exponential_priors_delta_only-20240423002843.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-385.481,1,0.125,2,3,0,461.492,4.31638
-385.481,0,14.3855,0,1,1,385.5,4.31638
-385.481,0,2.43117,0,1,1,385.94,4.31638
-384.488,1,0.239791,2,3,0,385.302,4.87345
-385.24,0.558502,0.324332,1,1,0,385.966,4.42571
-385.314,0.988963,0.135996,1,1,0,385.487,4.39086
-384.49,1,0.215994,3,7,0,385.181,4.87178
-384.903,0.657006,0.377726,1,1,0,385.843,4.60109
-383.733,1,0.233494,2,3,0,384.73,7.60345
-383.656,1,0.431197,1,1,0,383.736,7.26019
-383.656,0.27305,0.808077,1,1,0,384.05,7.26019
-383.682,0.963237,0.153398,1,3,0,384.33,5.9686
-383.682,0.780053,0.259738,1,1,0,384.125,5.9686
-383.603,0.9864,0.247961,2,3,0,383.768,6.37757
-383.603,0.0690658,0.452494,1,1,0,384.143,6.37757
-383.642,0.999167,0.0479221,3,13,0,383.794,7.17792
-383.686,0.992736,0.09178,2,5,0,384.112,5.95467
-383.681,1,0.171187,1,1,0,383.696,5.96969
-383.681,0.640436,0.32389,1,1,0,384.085,5.96969
-383.839,0.983384,0.206079,3,7,0,383.849,7.9712
-383.604,0.936775,0.367571,2,3,0,383.905,6.88191
-384.993,0.331377,0.566177,1,1,0,385.168,10.757
-385.077,0.997906,0.146849,1,1,0,385.108,10.9411
-385.414,0.992008,0.270575,2,3,0,385.52,11.6909
-383.761,0.666737,0.485259,1,3,0,384.122,5.75289
-383.613,1,0.34028,1,1,0,383.695,6.28872
-383.613,0.0597347,0.617168,1,1,0,384.444,6.28872
-383.596,0.993516,0.0790112,2,7,0,384.034,6.77914
-383.715,0.9755,0.141094,2,5,0,384.094,5.86929
-383.893,0.949862,0.237427,1,1,0,383.902,5.5047
-385.113,0.245069,0.369238,2,3,0,385.573,11.0211
-383.903,0.980445,0.084059,2,7,0,387.732,5.48787
-383.767,0.997647,0.142128,2,3,0,383.958,5.7394
-383.599,0.531447,0.249465,2,3,0,386.089,6.42664
-383.594,0.998001,0.126113,2,5,0,383.652,6.72348
-383.66,0.987264,0.219764,1,3,0,383.682,7.28174
-385.142,0.378572,0.369107,1,1,0,385.196,4.47337
-385.095,1,0.12722,1,1,0,385.274,4.49727
-383.592,0.747281,0.219901,3,7,0,386.272,6.60897
-383.628,0.996439,0.197911,2,3,0,383.628,6.19272
-383.621,0.982743,0.335041,2,3,0,383.677,7.03995
-383.621,3.08468e-006,0.543676,1,1,0,384.192,7.03995
-383.705,0.999114,0.075616,4,15,0,383.749,7.48985
-384.694,0.974725,0.128229,3,7,0,384.695,10.0946
-384.322,0.990614,0.203227,3,7,0,384.769,5.00809
-384.086,1,0.332589,2,3,0,384.211,8.66766
-384.086,1.68722e-144,0.552912,1,1,0,386.404,8.66766
-383.799,0.999703,0.0823391,2,5,0,384.141,7.84134
-383.826,0.997272,0.137109,3,7,0,383.978,7.92962
-383.601,0.982231,0.225402,2,7,0,383.999,6.39227
-383.773,0.905141,0.355226,1,1,0,383.785,5.72543
-383.773,0.0330812,0.464511,2,3,0,384.924,5.72543
-383.658,1,0.0796028,3,11,0,383.781,7.27052
-383.777,0.990894,0.130383,3,7,0,384.105,5.71776
-383.98,0.829616,0.207793,1,3,0,385.144,8.38528
-383.849,0.99002,0.227822,2,3,0,384.183,8.00466
-385.182,0.671213,0.358907,1,3,0,385.183,11.1742
-386.286,0.942515,0.274059,1,1,0,386.286,13.7399
-385.091,1,0.385488,2,3,0,386.278,10.9721
-384.965,1,0.613658,1,1,0,386.135,10.6946
-384.965,0,0.971382,0,1,1,385.052,10.6946
-385.565,0.973564,0.169428,3,7,0,386.151,12.0305
-384.007,0.946447,0.253626,1,3,0,385.602,8.45862
-384.007,0.0254685,0.35622,1,1,0,386.05,8.45862
-384.42,0.988947,0.0680296,2,7,0,385.59,9.4759
-384.225,1,0.105045,2,3,0,384.434,9.01369
-383.621,0.975943,0.165251,2,5,0,384.855,7.04246
-383.887,0.954162,0.245734,1,3,0,383.917,8.12026
-383.622,0.986605,0.347416,2,3,0,383.786,7.04683
-383.622,0.0565962,0.523831,1,1,0,383.845,7.04683
-383.695,0.996041,0.1124,2,7,0,383.774,7.4473
-383.593,0.991583,0.173087,3,7,0,383.926,6.69184
-384.022,0.847523,0.262865,2,3,0,384.765,8.50124
-383.979,1,0.295433,2,3,0,384.102,8.38268
-385.064,0.655851,0.453163,1,1,0,385.209,10.9139
-383.614,0.537026,0.343205,2,3,0,384.652,6.97973
-384.33,0.924581,0.204842,2,3,0,384.331,9.26459
-385.032,0.972959,0.26855,2,3,0,385.035,10.8419
-383.642,0.439329,0.386898,2,3,0,384.387,6.12249
-383.614,0.857456,0.191286,2,3,0,385.255,6.27747
-384.389,0.870516,0.218601,2,3,0,384.889,4.95154
-383.668,0.993971,0.256002,2,3,0,384.602,7.32216
-383.695,0.979411,0.38167,2,3,0,383.727,5.92711
-384.438,0.482446,0.550894,1,1,0,384.477,9.51589
-383.67,0.993078,0.30064,1,3,0,384.266,7.32782
-383.67,1,0.444513,1,3,0,383.673,6.00973
-383.67,0.0417,0.663641,1,1,0,384.131,6.00973
-383.595,0.996152,0.156304,1,3,0,383.729,6.49181
-383.596,0.998563,0.231869,1,3,0,383.606,6.77057
-383.596,0.0615442,0.344301,2,3,0,387.448,6.77057
-383.592,0.998992,0.0860905,4,15,0,383.675,6.57897
-383.593,0.999508,0.128033,2,5,0,383.604,6.71565
-383.593,1,0.189917,3,7,0,383.593,6.52169
-383.593,0.987182,0.280986,2,3,0,383.651,6.523
-383.593,0.0609899,0.404512,2,3,0,385.786,6.523
-383.982,0.977838,0.103999,2,7,0,384.446,8.39279
-384.03,0.997469,0.147301,1,1,0,384.039,8.52081
-383.674,0.81365,0.215662,2,3,0,386.531,5.99304
-383.704,0.888675,0.224689,2,3,0,384.517,7.48717
-383.806,0.977975,0.268349,1,1,0,383.815,7.86446
-383.806,0,6.02275,0,1,1,386.409,7.86446
-383.806,0,14.0635,0,1,1,383.861,7.86446
-384.151,0.973969,1.38665,2,7,0,384.191,5.17327
-384.6,0.957778,1.34742,2,3,0,384.676,4.79151
-383.701,1,1.60729,1,1,0,384.274,5.90817
-383.701,0.520242,2.49232,2,3,0,384.007,5.90817
-383.855,0.994927,0.971131,3,7,0,383.861,8.02261
-383.593,0.988049,1.6636,1,3,0,383.868,6.53841
-384.366,0.591989,2.90176,1,1,0,384.38,9.35104
-385.585,0.92313,1.48257,2,3,0,385.851,12.0763
-383.71,0.991621,2.17713,2,3,0,385.153,5.88328
-383.71,6.11605e-006,4.003,1,1,0,384.657,5.88328
-384.14,0.992211,0.324937,3,13,0,384.946,8.80622
-383.761,0.998443,0.607498,4,15,0,384.333,7.70875
-383.638,0.967384,1.15672,1,3,0,384.255,6.13924
-383.832,0.908635,1.99198,1,1,0,383.853,5.60802
-384.32,0.631955,2.84912,1,3,0,384.34,9.24261
-383.635,1,1.7443,1,3,0,384.221,7.13911
-383.806,0.860427,3.28683,1,1,0,383.902,7.86556
-383.75,1,4.03462,1,1,0,383.997,7.66612
-383.758,0.367166,7.48889,1,2,1,384.553,5.75992
-383.593,1,2.11949,1,3,0,383.679,6.71611
-383.593,0.0921934,3.91873,1,1,0,384.523,6.71611
-383.593,0.997647,0.512596,4,15,0,383.791,6.51899
-384.455,0.953992,0.943641,2,7,0,384.455,9.55477
-384.38,1,1.5181,2,3,0,384.54,9.38277
-384.544,0.716673,2.76045,1,3,0,384.544,4.83158
-383.593,0.911053,2.24236,2,3,0,384.359,6.5407
-383.593,0.737912,3.14122,1,1,0,383.658,6.5407
-383.593,0.063007,2.71269,1,1,0,384.185,6.5407
-383.594,0.999954,0.369884,3,11,0,383.599,6.73036
-383.644,0.97601,0.664042,3,7,0,384.854,6.11278
-383.68,0.994759,1.10697,1,1,0,383.681,5.97385
-384.008,0.851191,1.92403,1,1,0,384.045,5.34005
-383.811,1,2.26541,1,1,0,384.043,5.64754
-383.811,0.251772,3.93417,1,1,0,383.82,5.64754
-383.852,0.995909,0.961743,3,7,0,383.963,8.01408
-383.626,1,1.64914,1,3,0,383.808,7.07683
-383.626,0.75746,2.83382,1,1,0,383.687,7.07683
-383.626,1,2.60239,2,3,0,383.627,7.07927
-383.626,1.28148e-057,4.4194,1,1,0,384.355,7.07927
-383.688,0.997751,0.604463,3,7,0,383.756,7.41596
-383.802,0.994649,1.02356,3,7,0,383.87,7.85154
-383.777,0.971755,1.70662,1,3,0,384.095,5.71852
-384.025,0.764068,2.66987,1,3,0,384.055,8.50754
-383.76,0.913347,2.50043,1,3,0,383.871,5.75633
-383.76,0.0196409,3.36459,1,3,0,384.952,5.75633
-383.592,0.976463,0.525255,2,7,0,385.003,6.63127
-383.599,0.998731,0.827081,1,3,0,383.617,6.82741
-384.095,0.905947,1.36439,1,3,0,384.349,5.23436
-383.659,0.988395,1.79632,1,3,0,384.104,7.2721
-383.603,1,2.85782,1,1,0,383.614,6.37187
-383.603,0.000386353,4.64223,1,1,0,383.911,6.37187
-383.725,0.990787,0.743576,2,5,0,383.882,7.56965
-384.709,0.920995,1.18517,2,3,0,384.71,10.128
-383.973,0.99084,1.60123,2,3,0,384.938,8.36804
-383.896,1,2.5248,2,3,0,383.896,8.14806
-383.896,8.06163e-015,4.0409,1,1,0,384.098,8.14806
-383.886,0.997793,0.684547,2,3,0,384.012,8.11788
-383.598,0.986272,1.09241,1,3,0,384.138,6.8157
-383.606,0.992751,1.68971,2,3,0,383.643,6.34099
-383.697,0.929452,2.63719,1,1,0,383.728,5.92111
-383.697,0.720153,3.56485,1,1,0,383.698,5.92111
-383.697,7.12781e-005,3.04596,1,1,0,384.904,5.92111
-383.641,0.998217,0.549524,3,7,0,383.815,6.12677
-383.839,0.976997,0.864167,2,5,0,384.092,7.97304
-383.897,0.993267,1.29196,1,1,0,383.913,8.14931
-385.499,0.761294,1.9904,1,3,0,385.558,11.882
-384.236,1,1.86859,1,3,0,385.32,9.04058
-383.621,1,2.89972,1,1,0,383.782,6.23458
-383.621,0.233301,4.47825,1,1,0,383.668,6.23458
-383.67,0.968903,1.39656,1,3,0,383.826,7.33203
-384.168,0.845738,2.02058,2,3,0,384.704,8.87414
-383.829,1,2.25972,1,1,0,384.113,7.93974
-383.829,0.434417,3.46189,1,1,0,384.693,7.93974
-383.619,0.965744,1.66772,2,3,0,383.976,6.24489
-383.767,0.946026,2.37652,2,3,0,383.767,5.73898
-383.767,0.155749,3.2427,2,3,0,384.245,5.73898
-383.621,0.995345,0.902812,2,3,0,383.856,6.23401
