# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:30:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\cw1exzr6.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation2\exponential_priors_delta_only-20240423002959.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-384.169,1,0.125,1,1,0,458.008,4.32529
-384.169,0,14.3855,0,1,1,384.388,4.32529
-384.169,0,2.43117,0,1,1,384.22,4.32529
-384.169,0.668248,0.239791,1,3,0,385.029,4.32529
-384.028,1,0.125701,1,1,0,384.186,4.41781
-384.026,1,0.188637,2,3,0,384.201,4.41932
-384.526,0.177806,0.312646,2,3,0,386.993,8.08271
-384.309,0.999988,0.0425603,3,7,0,384.548,7.75399
-384.028,0.999912,0.0756958,3,7,0,384.353,7.30779
-383.365,0.996058,0.138991,2,5,0,384.034,5.69244
-383.447,0.951344,0.256843,2,3,0,383.585,5.09405
-383.512,0.928875,0.415993,1,1,0,383.644,4.95991
-383.512,0.0104599,0.630233,1,1,0,383.92,4.95991
-383.546,0.999206,0.0536721,2,3,0,383.562,4.90382
-383.525,0.977186,0.102794,2,5,0,384.145,6.32994
-383.525,0.98814,0.183201,1,1,0,383.607,6.32994
-383.669,0.981069,0.336024,1,3,0,383.685,4.7369
-383.669,0.0425223,0.599026,1,3,1,383.671,4.7369
-383.43,0.990498,0.0616603,2,5,0,384.378,5.13839
-383.451,0.997365,0.11388,2,5,0,383.513,6.11509
-383.595,0.972829,0.212802,1,1,0,383.595,6.49723
-383.595,0.000583413,0.366323,1,1,0,384.827,6.49723
-383.6,0.999977,0.0361605,2,3,0,383.603,6.51001
-383.438,0.999648,0.0678335,2,5,0,383.652,6.07174
-383.655,0.980714,0.125841,1,3,0,383.778,6.6276
-383.641,1,0.21892,1,1,0,383.706,6.5988
