# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:30:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xyhvbpdm.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation3\exponential_priors_delta_only-20240423003042.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-402.095,1,0.125,2,7,0,491.642,4.56749
-402.095,0,14.3855,0,1,1,402.109,4.56749
-402.095,0,2.43117,0,1,1,402.552,4.56749
-398.61,1,0.239791,2,3,0,401.551,5.67829
-395.486,1,0.324332,1,1,0,397.266,8.34829
-394.946,1,0.507206,1,1,0,395.272,10.011
-394.946,0.0115838,0.863376,1,3,1,396.904,10.011
-394.803,1,0.0712475,3,15,0,394.956,11.5539
-394.848,0.996205,0.127354,2,5,0,394.975,10.7498
-395.387,0.952793,0.231705,2,3,0,395.463,8.5515
-395.387,0.408275,0.373685,1,1,0,396.309,8.5515
-395.757,0.987676,0.108832,2,3,0,395.775,7.88877
-395.863,0.91454,0.199225,2,5,0,396.939,24.3274
-396.222,1,0.290284,1,3,0,396.377,30.3087
-395.115,1,0.552196,1,3,0,396.358,16.4515
-395.115,9.01874e-006,1.04507,1,1,0,395.116,16.4515
-395.742,0.996716,0.0905569,3,15,0,395.892,22.8136
-395.349,0.999837,0.170988,3,7,0,395.746,18.6823
-397.17,0.859767,0.323357,2,3,0,397.18,6.47869
-395.675,0.737369,0.397806,2,3,0,396.841,8.01531
-395.675,0.493493,0.338913,1,1,0,396.647,8.01531
-396.015,0.908278,0.140872,2,3,0,397.324,7.53734
-396.429,0.818906,0.200597,2,3,0,398.165,7.08598
-394.854,1,0.219097,3,7,0,396.35,10.6864
-394.876,0.990788,0.402816,1,1,0,394.897,10.4884
-394.876,0.0164842,0.714096,1,3,1,398.134,10.4884
-394.936,0.998284,0.0793589,2,5,0,395.038,10.0647
-395.017,0.991581,0.144312,2,3,0,395.121,9.65966
-395.305,0.979612,0.25502,2,3,0,395.307,8.74123
-395.654,0.770623,0.431887,1,1,0,396.032,8.0497
-395.083,0.847707,0.409072,1,3,0,396.013,16.1417
-394.855,1,0.478127,1,1,0,395.021,13.5462
-394.855,0.0953165,0.840102,1,1,0,394.899,13.5462
-395.031,0.997241,0.130422,3,7,0,395.038,15.6253
-394.802,0.988915,0.227785,2,5,0,395.357,12.3786
-394.892,0.981154,0.385749,2,3,0,394.93,14.0639
-394.945,0.965064,0.63483,1,1,0,394.946,10.0145
-395.512,0.24207,0.99431,2,3,0,396.173,8.29902
-395.28,1,0.241472,2,5,0,395.572,18.0201
-396.617,0.975991,0.413582,4,23,0,396.622,63.9342
-396.581,0.782073,0.661177,2,5,0,396.656,46.2586
-396.703,1,0.644957,1,3,0,398.177,156.967
-395.196,0.638261,1.08337,2,3,0,395.212,9.03055
-395.196,0.00663785,0.737844,2,3,0,396.536,9.03055
-395.701,0.969609,0.107053,1,3,0,396.096,7.9751
-396.619,0.94872,0.167204,4,29,0,396.694,57.7335
-396.593,0.982754,0.246685,3,13,0,396.684,47.9484
-396.62,0.88967,0.39282,2,7,0,396.758,58.975
-396.374,0.948115,0.497563,2,5,0,396.771,34.3044
-395.896,0.452814,0.721601,2,3,0,396.508,24.7673
-395.793,0.996211,0.323991,1,1,0,395.907,23.4304
-394.908,0.376693,0.524682,2,3,0,395.687,14.2686
-396.439,0.945445,0.199809,3,11,0,396.639,36.673
-395.333,0.949295,0.286794,2,5,0,396.769,18.5335
-394.906,1,0.41334,1,3,0,395.288,14.2478
-394.829,1,0.665645,1,1,0,394.889,13.0944
-394.829,0,1.06549,1,1,0,395.869,13.0944
-394.965,0.990959,0.17805,2,7,0,395.155,14.9331
-394.816,0.983855,0.279883,1,3,0,395.264,11.2022
-394.806,0.951877,0.430646,2,3,0,394.93,12.509
-394.806,1.39647e-017,0.614111,1,1,0,396.693,12.509
