# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:31:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\nq_tjin8.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation4\exponential_priors_delta_only-20240423003151.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-412.288,1,0.125,1,1,0,492.803,3.95032
-412.288,0,14.3855,0,1,1,412.353,3.95032
-412.288,0,2.43117,0,1,1,413.61,3.95032
-399.874,1,0.239791,1,1,0,408.519,8.4958
-397.873,1,0.324332,1,1,0,399.307,12.0098
-396.963,1,0.507206,3,7,0,397.515,17.6064
-397.595,0.361809,0.863376,2,3,0,398.109,13.0014
-398.641,0.935202,0.211937,2,3,0,398.831,10.1954
-398.958,0.909592,0.312305,1,1,0,399.28,9.66379
-397.787,1,0.434111,1,1,0,398.692,12.2902
-397.4,0.478488,0.813545,2,3,0,398.147,13.9102
-396.809,0.943243,0.295507,1,3,0,398.113,22.1759
-396.844,0.992769,0.468899,2,5,0,396.872,30.9092
-396.809,1,0.869829,1,3,0,396.836,27.138
-396.809,1.77196e-089,1.6447,1,1,0,401.227,27.138
-397.02,0.998032,0.139489,3,11,0,397.22,16.8431
-396.948,0.998011,0.264254,4,17,0,397.123,198.498
-397.025,0.989732,0.496982,1,1,0,397.025,220.198
-396.865,1,0.903988,1,1,0,396.965,165.702
-396.971,0.228183,1.68132,1,3,1,397.369,47.1252
-396.867,0.996274,0.310183,3,11,0,397.578,33.1086
-396.985,0.992906,0.570482,2,7,0,397.346,54.0555
-396.938,0.901054,1.02885,1,3,0,397.076,18.0123
-396.826,1,1.40707,1,1,0,396.908,21.0388
-396.8,0.540731,2.5462,1,3,1,396.8,25.4501
-396.869,0.901766,1.22816,1,3,0,396.869,33.2812
-396.863,1,1.66808,1,1,0,396.908,32.7543
-396.863,0,2.9702,0,1,1,398.59,32.7543
-396.932,0.998812,0.323319,2,7,0,396.955,40.1533
-396.986,0.986741,0.576221,3,7,0,397.281,54.9831
-396.843,0.93529,0.984054,2,7,0,396.961,149.271
-396.979,0.878959,1.4485,1,1,0,397.025,207.859
-396.979,0,1.82038,0,1,1,399.368,207.859
-396.938,0.984137,0.217698,2,7,0,397.983,78.5549
-396.894,0.999014,0.365727,2,7,0,397.14,179.56
-396.874,1,0.633628,2,3,0,396.892,170.57
-396.874,0.498201,1.09105,1,1,0,397.257,170.57
-396.864,0.96783,0.508234,1,3,0,397.251,106.183
-396.838,0.844577,0.800249,1,3,0,398.552,20.5362
-396.838,3.67125e-006,0.913926,1,1,0,397.846,20.5362
-396.934,0.998416,0.122963,2,7,0,397.017,18.079
-396.802,0.890143,0.209094,4,15,0,401.326,25.9605
-396.822,0.998457,0.269312,2,7,0,396.88,28.7335
-396.972,0.978635,0.451774,2,7,0,397.544,47.3849
-397.775,0.732454,0.716413,3,7,0,397.846,12.3282
-396.946,1,0.619041,1,1,0,397.387,17.8808
-396.864,0.850573,1.02465,2,3,0,396.96,19.6308
-396.864,0.661369,1.1756,1,3,0,396.979,19.6308
-396.829,0.99237,0.856613,2,3,0,396.864,20.8962
-396.829,0.65014,1.37481,1,1,0,396.937,20.8962
-396.944,0.891356,0.978588,1,1,0,397.014,17.9054
-396.944,0.87558,1.23074,1,3,0,396.984,17.9054
-398.217,0.668465,1.48752,1,1,0,398.221,425.136
-396.879,1,1.11117,1,1,0,397.57,99.3579
-396.859,0.968494,1.78374,1,3,0,396.86,162.503
-396.859,0.0019789,2.64872,1,1,0,397.096,162.503
-396.97,0.98836,0.437235,2,7,0,397.116,67.3127
-396.891,0.977416,0.68149,2,5,0,397.088,35.4182
-396.96,0.481653,1.03078,2,3,0,397.264,71.2818
-396.944,0.998101,0.514402,2,7,0,397.121,41.82
-396.871,0.982686,0.811704,1,3,0,396.958,33.4312
-396.982,0.416185,1.23137,1,3,0,397.029,51.6453
-396.985,0.999951,0.53841,3,7,0,396.985,53.324
-396.961,0.996516,0.845821,2,7,0,396.992,70.89
-396.88,0.994707,1.31202,1,3,0,396.964,98.8975
-396.88,0.000762134,2.0171,1,1,0,397.764,98.8975
-396.95,0.997178,0.368588,3,15,0,397.125,42.7762
-397.18,0.977769,0.570875,2,7,0,397.44,255.48
-397.18,0.664252,0.844495,1,1,0,397.667,255.48
-397.796,0.823114,0.643342,1,1,0,397.818,362.726
-397.054,1,0.685232,1,1,0,397.557,227.453
-396.976,0.894457,1.05375,2,5,0,397.068,64.5298
-396.977,1,1.29653,1,1,0,396.98,64.0478
-396.977,2.58342e-047,1.97801,1,1,0,398.139,64.0478
-396.802,0.99737,0.387483,4,15,0,397.417,23.0434
-397.964,0.631119,0.589023,1,1,0,397.965,11.7385
-397.044,1,0.424287,1,1,0,397.681,16.5726
-396.946,0.99993,0.645286,2,3,0,397.056,17.8818
-396.946,0.000458103,0.977114,1,1,0,397.812,17.8818
-396.981,0.97654,0.200152,3,11,0,397.729,50.8687
-396.98,0.999686,0.289753,5,35,0,396.986,62.2807
-396.957,0.999745,0.437512,4,15,0,396.982,72.1251
-396.883,0.998443,0.65805,3,7,0,396.985,174.845
-397.323,0.786005,0.983357,1,1,0,397.357,283.531
-397.368,0.969011,0.967363,1,1,0,397.649,291.79
-397.368,1.22147e-005,1.35762,1,1,0,399.135,291.79
-396.903,0.986345,0.292107,2,5,0,397.847,90.1386
-396.84,0.99015,0.424812,2,7,0,397.756,30.5459
-396.971,0.959546,0.62017,1,3,0,397.834,66.9505
-397.119,0.676182,0.851122,1,3,0,397.666,242.465
-397.216,0.970836,0.680345,1,1,0,397.269,262.824
-396.922,1,0.950679,2,3,0,397.187,83.6853
-396.94,1,1.39915,2,3,0,396.974,77.996
-396.892,1,2.05221,1,1,0,396.893,178.763
-396.892,0,3.00006,0,1,1,397.172,178.763
-396.985,0.954531,0.682868,2,7,0,397.313,53.5131
-396.985,0.390971,0.919053,1,1,0,398.714,53.5131
-396.909,0.995306,0.437197,3,7,0,398.714,87.9625
-396.836,0.998255,0.63363,3,7,0,396.989,134.652
-396.984,0.896142,0.920403,1,3,0,397.355,59.4545
-396.849,1,2.21396,1,1,0,396.849,20.0918
-396.849,0,31.849,0,1,1,396.994,20.0918
-396.849,0,5.38252,0,1,1,396.98,20.0918
-396.97,0.762043,0.53089,1,3,0,398.556,46.8801
-396.889,0.998944,0.363827,3,11,0,397.116,95.3514
-396.92,0.99009,0.550653,2,7,0,397.42,38.5514
-396.92,4.09221e-007,0.892004,1,1,0,399.777,38.5514
-396.873,0.999956,0.0701112,4,31,0,397.048,33.6872
-396.901,0.999328,0.124328,4,23,0,397.465,90.953
-396.984,0.999658,0.22754,4,27,0,397.013,52.6111
-396.939,0.999156,0.425109,4,19,0,397,78.32
-396.836,0.999403,0.801034,4,15,0,396.979,133.121
-396.836,2.48684e-023,1.51603,1,1,0,398.695,133.121
-396.931,0.999298,0.124897,4,23,0,397.164,80.8643
-396.986,0.999612,0.23921,3,15,0,397.123,56.9875
-396.905,0.998113,0.456854,2,7,0,397.115,36.8883
-396.909,0.333375,0.863356,1,3,0,398.804,185.311
-396.955,0.997955,0.21266,4,23,0,397.133,73.1367
-396.904,0.993691,0.401668,2,7,0,397.453,36.8228
-396.984,0.943688,0.742531,1,3,0,397.273,59.6335
-396.879,0.694328,1.17189,1,3,0,397.238,172.741
-396.914,0.941906,0.878766,2,3,0,397.162,187.127
-396.961,0.196146,1.36894,1,3,1,397.833,44.891
-396.985,0.998689,0.242338,3,11,0,397.397,54.4553
-396.842,1,0.446504,2,5,0,398.999,121.715
-396.862,0.995516,0.81747,1,3,0,396.912,164.095
-396.893,0.977968,1.46292,1,1,0,396.915,179.15
-396.893,0.0230076,2.46791,1,1,0,397.185,179.15
-396.836,0.991889,0.288801,2,7,0,397.354,138.64
-396.909,0.993559,0.508817,2,5,0,396.991,88.2582
-396.909,0.987861,0.892127,1,3,0,397.667,37.3769
-396.909,1.5133e-137,1.52595,1,1,0,398.274,37.3769
-396.892,0.997862,0.180781,3,15,0,398.851,94.2064
-396.881,0.999985,0.318923,1,3,0,396.898,98.2328
-396.981,0.98494,0.560623,2,5,0,397.415,61.5147
-396.824,0.994819,0.93874,3,9,0,396.976,28.9379
-396.824,0.00272349,1.59976,1,1,0,396.967,28.9379
-396.956,0.997647,0.207341,4,15,0,397.286,43.7605
-396.957,0.999934,0.357073,2,3,0,396.957,43.9791
-396.952,0.996585,0.613356,2,7,0,397.476,73.8617
-396.838,0.998594,1.0361,3,7,0,396.936,127.981
-397.284,0.592396,1.74523,1,1,0,397.466,276.111
-396.842,1,1.05979,1,1,0,397.106,148.664
-396.842,0,1.77718,1,1,0,399.76,148.664
-396.836,0.99883,0.253525,3,9,0,396.966,132.694
-396.843,0.999828,0.425029,3,7,0,396.845,150.013
-396.897,0.979503,0.709018,2,7,0,397.143,92.3304
-396.845,0.999769,1.11822,1,3,0,396.937,151.482
-396.845,9.25943e-082,1.83936,1,1,0,398.617,151.482
-396.984,0.995655,0.280253,3,15,0,397.17,53.2347
-396.848,0.981216,0.457629,2,5,0,397.814,31.3129
-396.836,0.992218,0.717658,2,5,0,397.204,136.063
-396.95,0.588457,1.1477,2,3,0,398.162,74.7604
-396.8,0.993244,0.717458,2,5,0,397.249,25.6139
-396.8,1.49097e-078,1.14295,1,1,0,398.987,25.6139
-396.806,0.999772,0.187643,3,13,0,396.834,22.4841
-396.829,0.998078,0.304089,1,3,0,396.852,20.9171
-396.812,0.982047,0.487932,1,3,0,396.989,27.5017
-396.812,0.146457,0.750863,1,1,0,398.272,27.5017
-396.848,0.996453,0.178856,4,23,0,397.58,115.816
-398.301,0.960166,0.284323,2,7,0,400.627,436.977
-398.62,0.951957,0.414964,1,1,0,398.693,480.945
-397.633,1,0.592159,2,3,0,398.383,336.922
-396.88,1,0.934127,1,1,0,397.345,173.55
-396.955,0.942495,1.46577,1,1,0,397.002,200.642
-396.986,0.914891,2.02201,1,3,0,397.26,55.1912
-396.986,0.0091231,2.61982,1,1,0,397.413,55.1912
-400.787,0.856437,0.493353,2,5,0,400.787,7.66472
-398.224,1,0.567593,1,1,0,400.03,11.0592
