# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:32:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\28lq3kxu.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation5\exponential_priors_delta_only-20240423003251.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-399.783,1,0.125,1,1,0,471.334,3.75758
-399.783,0,14.3855,0,1,1,400.183,3.75758
-399.783,0,2.43117,0,1,1,400.661,3.75758
-392.845,1,0.239791,1,1,0,397.298,6.42685
-391.501,1,0.324332,1,3,0,392.739,10.8489
-391.501,0.825403,0.507206,1,1,0,391.624,10.8489
-391.501,0.000632568,0.50586,1,1,0,393.11,10.8489
-391.629,0.999521,0.0399894,3,15,0,391.759,12.6416
-391.81,0.999023,0.0709761,4,15,0,391.897,14.0541
-391.955,0.998877,0.129919,3,7,0,391.956,15.0159
-391.524,0.957301,0.242205,1,3,0,392.968,9.74634
-391.754,0.908849,0.399762,1,1,0,391.757,8.35987
-391.754,0.531437,0.568695,1,1,0,392.216,8.35987
-391.735,0.998496,0.248142,3,7,0,391.82,13.5164
-394.656,0.150895,0.470228,2,3,0,395.417,34.3238
-391.513,0.99755,0.0641559,4,21,0,395.029,9.92074
-391.5,0.999225,0.122014,2,7,0,391.559,10.7985
-391.5,1,0.231647,2,3,0,391.5,10.781
-393.183,0.393897,0.437254,1,1,0,393.219,6.11085
-392.867,1,0.132268,1,1,0,393.164,6.40431
-392.452,1,0.248807,1,1,0,392.876,6.89364
-391.516,1,0.463522,1,1,0,391.95,11.2567
-391.516,0.000554934,0.855015,1,1,0,391.699,11.2567
-391.55,0.999738,0.0854906,3,13,0,391.554,11.8043
-392.151,0.96615,0.158326,2,7,0,392.721,7.36864
-391.91,1,0.263689,3,7,0,392.131,7.88911
-391.528,0.879522,0.479296,2,3,0,391.979,9.68924
-391.528,0.00409112,0.61491,1,1,0,392.347,9.68924
-391.534,0.999946,0.0686094,2,3,0,391.534,9.61822
-391.854,0.985379,0.124266,2,7,0,392.176,14.3563
-391.512,0.982987,0.214148,2,5,0,392.262,11.1661
-391.705,0.961847,0.363368,2,3,0,391.792,13.2818
-392.416,0.75229,0.577402,1,1,0,392.484,17.7907
-392.829,0.556743,0.520191,2,3,0,393.151,6.44406
-391.94,1,0.279555,1,1,0,392.586,7.81496
-391.837,0.849563,0.486629,2,3,0,392.111,8.08964
-391.524,0.907736,0.567116,2,3,0,391.663,9.74968
-391.524,0.226652,0.766432,1,1,0,391.924,9.74968
-391.531,0.999434,0.179262,1,1,0,391.531,9.65468
-392.922,0.634858,0.307285,1,3,0,394.869,20.7982
-391.854,0.991275,0.207715,1,3,0,393.864,14.3589
-391.498,1,0.345588,2,3,0,391.792,10.3849
-391.498,0.220475,0.583167,1,3,0,392.728,10.3849
-391.873,0.990523,0.141891,3,15,0,391.875,14.4807
-391.769,1,0.233608,1,1,0,391.865,13.7649
-391.807,0.997304,0.390777,2,3,0,391.866,14.0355
-391.636,1,0.64469,1,1,0,391.821,12.701
-391.636,1.2917e-107,1.063,1,1,0,391.904,12.701
-391.64,0.999941,0.159645,2,3,0,391.644,12.7394
-391.624,0.826696,0.263846,2,3,0,394.565,8.93221
-391.549,1,0.287891,1,1,0,391.608,9.46304
-391.504,0.998885,0.470741,2,3,0,391.537,10.126
-391.538,0.960392,0.762729,1,1,0,391.546,11.6368
-391.538,0.000343103,1.1235,1,1,0,391.547,11.6368
-391.545,0.999507,0.181604,2,3,0,391.555,11.7345
-391.59,0.993104,0.293647,1,1,0,391.59,12.2607
-391.74,0.949231,0.465115,1,1,0,391.761,13.5494
-391.74,1.63654e-031,0.663501,1,1,0,393.34,13.5494
-392.33,0.987762,0.112408,2,5,0,392.631,17.286
-392.606,0.995211,0.175432,2,3,0,392.654,18.9114
-391.614,0.937144,0.27683,1,3,0,393.019,12.5009
-391.639,0.994069,0.382338,1,1,0,391.664,12.7294
-391.563,1,0.595759,1,1,0,391.644,11.9652
-391.563,3.5786e-005,0.935467,1,1,0,391.641,11.9652
-391.832,0.99074,0.168163,2,7,0,391.895,8.10604
-391.682,1,0.259333,1,1,0,391.808,8.64215
-391.538,1,0.40591,2,3,0,391.63,9.58131
-391.538,2.50401e-005,0.632127,1,1,0,392.639,9.58131
-391.6,0.99566,0.118244,2,7,0,391.778,12.3664
-391.498,0.999378,0.18278,2,5,0,391.631,10.4713
-391.605,0.979948,0.283383,1,3,0,391.654,9.03878
-391.512,1,0.419949,1,1,0,391.568,9.94634
-391.646,0.867724,0.645957,1,1,0,391.716,8.81462
-391.51,1,0.753282,1,1,0,391.569,9.98525
-391.6,0.393365,1.14988,1,3,1,391.737,12.3658
-393.18,0.211599,0.507688,2,3,0,393.219,22.409
-392.054,0.992845,0.156339,2,7,0,393.344,15.6371
-391.891,1,0.235541,1,1,0,392.043,14.6051
-391.518,1,0.358503,1,3,0,391.854,11.2938
-391.526,0.998965,0.543362,2,3,0,391.526,11.4385
-391.526,0.108879,0.818466,1,1,0,391.596,11.4385
-391.522,0.99955,0.211127,3,7,0,391.547,9.77926
-391.498,0.9998,0.318537,1,3,0,391.52,10.4016
-391.793,0.844607,0.478917,1,1,0,391.8,8.2271
-392.191,0.781801,0.52995,2,3,0,392.212,7.29685
-392.191,3.7616e-014,0.518599,1,1,0,395.913,7.29685
-391.838,0.993727,0.112076,1,3,0,392.413,8.08715
-391.515,0.999606,0.166049,3,7,0,391.863,11.2353
-391.499,0.998939,0.247891,2,3,0,391.53,10.7629
-392.257,0.87317,0.368245,2,3,0,392.341,16.8582
-392.027,1,0.429354,1,1,0,392.298,15.4692
-391.554,1,0.635226,1,1,0,391.656,9.42091
-391.554,0.208192,0.93654,1,1,0,391.616,9.42091
-391.554,0.825218,0.312399,1,3,0,392.665,9.42091
-391.76,0.883282,0.332361,2,3,0,392.288,13.6958
-391.605,1,0.393614,1,1,0,391.729,12.4131
-391.605,0.146099,0.577554,1,1,0,392.036,12.4131
-391.67,0.937701,0.175389,2,5,0,393.403,8.69867
-391.594,1,0.229588,1,1,0,391.659,9.11134
-391.609,0.948403,0.335967,1,3,0,391.864,12.4511
-391.609,0.0474703,3.56952,1,1,0,391.621,12.4511
-391.609,0,9.08642,0,1,1,391.823,12.4511
-391.58,1,0.919127,1,1,0,391.607,12.1503
-391.497,0.994088,0.971358,1,3,0,391.667,10.5531
-391.497,0.999995,1.30367,1,3,0,391.497,10.5124
