# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:33:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\hgj1m5_w.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation6\exponential_priors_delta_only-20240423003333.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-396.858,0.931954,0.125,2,7,0,492.518,5.38931
-396.858,0,12.7114,0,1,1,396.861,5.38931
-396.858,0,2.07091,0,1,1,396.878,5.38931
-396.068,0.995424,0.200026,3,7,0,397.013,6.5668
-395.709,0.787022,0.263559,2,3,0,397.804,10.8048
-395.792,0.997433,0.216463,3,9,0,395.933,15.8715
-395.825,0.456328,0.357281,2,3,0,397.591,7.48376
-395.701,0.995319,0.115993,3,9,0,396.143,10.297
-395.696,0.999808,0.205271,3,9,0,395.72,9.85814
-395.088,0.981673,0.378612,3,11,0,395.983,94.9259
-395.339,0.946686,0.669459,1,3,0,395.457,58.8447
-395.125,1,1.06728,1,1,0,395.284,84.7792
-395.125,3.2559e-049,2.01716,1,1,0,395.664,84.7792
-395.681,0.975016,0.165391,3,11,0,399.519,32.9128
-395.788,0.999481,0.291938,4,23,0,395.849,15.4027
-395.801,0.99367,0.553849,3,15,0,395.839,17.987
-395.762,0.998342,1.02541,1,3,0,395.844,13.4229
-395.762,0,1.91116,0,1,1,398.765,13.4229
-395.96,0.999657,0.171389,5,31,0,395.964,6.88552
-397.413,0.566714,0.322714,1,1,0,397.433,4.95545
-395.703,1,0.165582,3,7,0,397.348,8.94985
-395.793,0.941074,0.309529,1,3,0,397.507,15.9628
-395.449,1,0.48202,2,3,0,398.946,50.0714
-395.498,1,0.88457,1,1,0,395.517,46.493
-395.498,9.65011e-008,1.60705,1,1,0,396.359,46.493
-395.431,0.99995,0.166011,2,5,0,395.518,51.5005
-395.929,0.99728,0.3029,3,9,0,396.221,263.463
-395.902,1,0.543054,1,1,0,396.06,259.944
-396.127,0.862759,0.97148,1,1,0,396.623,289.022
-395.762,0.0988208,1.17816,1,3,1,397.6,25.6421
-395.564,0.999323,0.175786,4,21,0,395.765,41.6715
-395.695,1,0.312318,2,5,0,395.74,31.7781
-395.641,0.999014,0.550681,2,3,0,395.723,36.0129
-395.707,1,0.959505,1,1,0,395.707,30.8002
-395.339,0.973921,1.66125,2,3,0,395.852,58.8552
-395.339,0,2.66217,0,1,1,395.547,58.8552
-395.762,0.99788,0.333734,3,13,0,395.968,25.5755
-395.697,0.992503,0.571909,2,7,0,395.767,31.5871
-395.285,0.992082,0.958555,1,3,0,395.837,63.7902
-395.725,0.333333,1.59219,1,3,1,396.107,8.41254
-396.166,0.80683,0.49576,1,1,0,396.181,6.33923
-396.166,0.094816,0.515718,1,1,0,397.102,6.33923
-395.779,0.9793,0.0908847,3,11,0,397.447,14.5396
-395.8,0.999651,0.146552,4,31,0,395.917,19.4081
-395.257,0.997732,0.246698,3,11,0,397.001,66.5545
-395.115,0.999813,0.410239,2,5,0,395.284,133.729
-395.071,0.99937,0.680691,1,3,0,395.118,108.536
-395.071,0.155342,1.12024,1,3,1,397.311,108.536
-395.075,0.994135,0.243754,4,15,0,395.468,101.791
-395.391,0.938933,0.396206,1,3,0,396.25,187.924
-395.176,0.990804,0.561706,2,3,0,395.5,149.36
-395.102,0.957125,0.894942,2,3,0,395.303,90.3911
-395.102,0.0316087,1.31031,1,1,0,395.7,90.3911
-395.114,0.998584,0.224814,2,7,0,395.245,133.247
-395.223,0.924603,0.363406,2,5,0,396.585,70.254
-395.218,0.999544,0.493128,2,5,0,395.273,158.073
-397.086,0.475679,0.79001,1,1,0,397.101,405.626
-397.397,0.951357,0.386366,1,1,0,397.531,441.876
-396.211,1,0.553169,1,1,0,397.138,299.64
-395.203,1,0.878672,1,1,0,395.79,155.03
-395.203,1.01602e-014,1.38791,1,1,0,397.456,155.03
