# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:36:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\rf_94bry.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation7\exponential_priors_delta_only-20240423003651.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-396.281,1,0.125,1,1,0,475.56,4.41032
-396.281,0,14.3855,0,1,1,396.665,4.41032
-396.281,0,2.43117,0,1,1,396.286,4.41032
-393.977,1,0.239791,1,1,0,395.555,6.02681
-393.977,0.892699,0.324332,1,1,0,394.298,6.02681
-393.977,0.623933,0.36834,1,1,0,394.567,6.02681
-394.01,0.994289,0.196535,1,1,0,394.075,5.97758
-394.01,0.0101438,0.337113,1,1,0,396.452,5.97758
-393.743,0.999975,0.0272598,5,41,0,394.167,10.8452
-393.501,0.9999,0.0498171,3,13,0,393.873,9.09558
-393.554,0.99686,0.0930504,2,7,0,393.883,7.04689
-393.548,1,0.174211,2,3,0,393.56,7.07449
-393.681,0.868909,0.331058,1,3,0,394.095,10.4583
-394.44,0.937677,0.417133,1,3,0,394.526,15.0954
-393.747,1,0.652056,1,1,0,394.336,10.868
-393.747,1.05435e-143,1.23277,1,1,0,393.751,10.868
-393.625,0.999781,0.106696,3,9,0,393.824,6.77873
-393.755,0.779974,0.20311,1,3,0,396.096,10.9172
-393.714,0.998128,0.197017,2,5,0,393.909,6.5287
-393.671,1,0.368856,1,1,0,393.789,6.64196
-393.671,0.0369802,0.68802,2,3,0,394.471,6.64196
-393.537,0.995801,0.0737237,2,7,0,394.05,7.12954
-393.555,0.998895,0.136431,1,1,0,393.556,7.04129
-394.02,0.879251,0.252261,2,3,0,394.634,5.96209
-393.766,1,0.327098,1,1,0,394.011,6.40693
-393.766,0.223889,0.596391,1,1,0,394.476,6.40693
-394.181,0.982494,0.119454,2,3,0,394.186,5.75205
-393.449,1,0.20708,2,7,0,394.094,8.21964
-394.538,0.623587,0.373479,1,1,0,394.538,5.38981
-394.538,0.422906,0.235868,1,1,0,396.117,5.38981
-393.614,0.999939,0.0866415,4,15,0,394.56,6.81649
-393.448,0.976428,0.155097,1,3,0,394.06,8.08722
-393.473,0.993886,0.258118,1,3,0,393.501,8.77529
-394.969,0.463534,0.446359,2,3,0,395.081,5.06314
-394.264,1,0.1876,1,1,0,394.842,5.65703
-393.668,1,0.327597,1,1,0,394.056,6.65058
-393.755,0.958556,0.567024,1,3,0,393.821,10.9146
-393.448,1,0.87404,1,1,0,393.502,8.10387
-394.162,0.219777,1.48857,1,1,0,395.012,13.3238
-393.453,0.858416,0.344148,2,3,0,394.544,7.86664
-393.448,0.977689,0.409189,2,3,0,393.506,8.20479
-393.968,0.470426,0.65465,1,1,0,394.3,6.04039
-393.557,1,0.293719,1,1,0,393.84,7.03589
-393.449,1,0.494291,1,1,0,393.491,8.23879
-393.46,0.98081,0.825544,1,1,0,393.469,7.72744
-393.46,0.23753,1.30607,1,1,0,393.482,7.72744
-393.483,0.885802,0.339199,2,3,0,393.918,7.47112
-393.483,0.179646,0.426839,1,1,0,394.27,7.47112
-393.65,0.994379,0.0990809,3,11,0,393.828,10.2571
-393.624,0.987621,0.162126,3,7,0,394.331,10.0836
-393.46,0.993657,0.259343,3,7,0,393.784,7.7304
-393.912,0.773337,0.418098,1,1,0,393.934,6.13046
-393.551,1,0.401186,1,1,0,393.771,7.05915
-393.551,0.342354,0.650287,2,3,0,394.04,7.05915
-393.626,0.986865,0.231347,1,1,0,393.628,6.77672
-393.523,1,0.362887,1,1,0,393.604,7.20193
-393.448,1,0.583074,1,1,0,393.469,8.1499
-393.856,0.618334,0.931302,1,1,0,394.002,11.5158
-393.908,0.987517,0.629008,1,1,0,394.084,11.8231
-393.587,0.492761,0.970998,1,3,0,393.643,6.91111
-393.587,0.520978,0.498837,1,1,0,393.941,6.91111
-393.495,1,0.274817,1,1,0,393.566,7.37956
-393.864,0.699114,0.434649,2,3,0,394.41,11.5667
-394.026,0.989247,0.355408,1,1,0,394.039,12.5166
-394.34,1,0.545401,1,1,0,394.34,5.57738
-393.625,0.50265,0.852316,2,3,0,394.253,6.77934
-393.625,0.402728,0.457616,1,3,0,394.646,6.77934
-393.714,0.987141,0.200033,1,1,0,393.717,6.52762
-394.372,0.768127,0.303572,1,1,0,394.419,5.54505
-394.372,0.293503,0.289324,1,1,0,395.805,5.54505
-394.162,0.989046,0.102223,2,3,0,394.712,5.77509
-393.544,0.701859,0.155219,1,3,0,398.385,9.49202
-393.652,0.997338,0.129496,3,7,0,393.743,10.2704
-393.607,1,0.198856,1,1,0,393.65,9.96352
-393.544,1,0.305648,1,1,0,393.601,9.49188
-393.544,0.479108,0.467686,2,3,0,394.117,9.49188
-393.778,0.9851,0.247824,3,7,0,393.877,6.38197
-393.449,1,0.366736,1,3,0,393.678,8.25496
-393.689,0.878711,0.556963,1,1,0,393.69,10.5109
