# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:39:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xp4l3tc3.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation8\exponential_priors_delta_only-20240423003911.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-411.827,1,0.125,3,7,0,488.504,3.85552
-411.827,0,14.3855,0,1,1,412.673,3.85552
-411.827,0,2.43117,0,1,1,412.066,3.85552
-402.582,1,0.239791,1,1,0,408.646,7.12985
-401.485,1,0.324332,2,3,0,402.484,8.43662
-399.085,1,0.507206,1,1,0,401.174,15.8686
-396.922,1,0.863376,1,1,0,399.07,31.4127
-396.922,0,1.54496,0,1,1,398.538,31.4127
-396.906,1,0.122801,1,1,0,396.931,31.5878
-396.216,0.996719,0.226075,1,3,0,397.2,40.843
-395.585,0.996406,0.418923,2,3,0,396.279,58.5288
-395.419,0.903486,0.781857,2,3,0,395.801,92.41
-395.419,0.662739,1.09143,1,1,0,395.798,92.41
-395.446,0.982217,0.716718,2,3,0,395.522,99.2607
-396.276,0.333272,1.28346,1,1,0,396.632,39.8416
-396.085,1,0.306175,1,1,0,396.267,43.2907
-395.971,1,0.580385,2,3,0,396.197,45.7127
-395.618,1,1.09181,1,1,0,395.714,127.066
-395.618,0,2.03625,0,1,1,396.264,127.066
-395.425,0.992413,0.186182,2,7,0,396.55,72.7415
-395.431,0.999187,0.341429,2,5,0,395.446,95.8662
-395.412,1,0.632872,1,1,0,395.427,90.2042
-395.403,1,1.16433,1,1,0,395.404,79.8845
-395.403,0.409216,2.12072,1,1,0,395.427,79.8845
-396.041,0.871192,0.696877,2,3,0,396.112,181.611
-395.887,1,0.873722,2,3,0,396.125,162.273
-395.887,3.43634e-007,1.57199,1,1,0,397.976,162.273
-396.17,0.994276,0.168819,2,7,0,396.701,197.562
-395.973,0.995995,0.300176,2,3,0,396.358,173.081
-395.65,0.904804,0.53116,1,3,0,397.257,55.5101
-395.65,0.968955,0.725266,1,1,0,395.796,55.5101
-395.65,0.149117,1.17274,1,1,0,397.052,55.5101
-396.046,0.992875,0.206715,3,11,0,396.049,182.152
-395.963,1,0.357147,1,1,0,396.046,171.852
-396.585,0.902371,0.623278,1,1,0,396.586,248.687
-395.407,0.839569,0.833989,1,3,0,396.275,87.6443
-396.733,0.392673,0.942915,1,1,0,396.786,33.5168
-396.843,0.998043,0.334624,2,3,0,396.913,32.2701
-396.722,0.99966,0.571238,2,7,0,396.825,265.395
-397.088,0.935364,0.971166,2,3,0,397.679,309.711
-397.088,7.36006e-025,1.39196,1,1,0,397.845,309.711
-397.889,0.970954,0.189482,1,3,0,398.495,405.659
-397.861,1,0.298727,1,1,0,398.003,402.354
-398.549,0.815123,0.502657,3,7,0,399.622,18.7981
-398.709,1,0.532992,1,1,0,398.991,17.8764
-398.045,0.988911,0.886389,2,3,0,399.43,21.9915
-398.045,6.64595e-008,1.42471,1,1,0,398.151,21.9915
-397.831,1,0.21078,1,1,0,398.045,23.5026
-396.318,1,0.348985,2,3,0,397.801,39.1596
-396.201,1,0.573807,1,1,0,396.485,41.1032
-395.927,1,0.937108,2,3,0,395.953,167.307
-395.927,0.108082,1.5204,1,1,0,395.948,167.307
-395.62,0.994906,0.30782,1,3,0,396.149,127.298
-395.441,0.990141,0.493953,2,3,0,395.791,98.2763
-395.533,0.972226,0.779207,1,1,0,395.537,114.682
-395.494,1,1.17307,1,3,0,395.494,64.4951
-395.494,3.78211e-141,1.87111,1,1,0,396.356,64.4951
-395.473,1,0.311587,3,7,0,395.492,66.3528
-395.519,0.990259,0.498113,1,1,0,395.524,62.5748
-395.885,0.821768,0.774736,1,1,0,395.952,47.8049
-396.956,0.661209,0.825477,2,3,0,397.148,293.838
-398.643,0.59303,0.617287,1,1,0,398.748,494.749
-398.457,1,0.398978,1,1,0,398.876,472.861
-396.621,1,0.627932,2,3,0,397.976,253.073
-396.621,0.0475159,0.983073,1,1,0,398.571,253.073
-396.989,0.990243,0.197553,1,3,0,397.157,297.791
-396.127,0.980861,0.30329,1,3,0,397.534,192.254
-396.453,0.990235,0.454214,2,3,0,396.453,232.506
-396.108,1,0.690731,1,1,0,396.445,189.937
-395.469,0.797609,1.06725,1,3,0,395.667,66.7146
-395.642,0.678949,1.07476,2,3,0,395.78,55.85
-395.831,0.886159,0.845441,1,1,0,396.002,49.2852
-395.831,0.0824793,1.02369,1,1,0,397.024,49.2852
-395.613,0.999275,0.23647,3,7,0,395.915,57.1388
-395.416,1,0.362597,2,3,0,395.593,74.6915
-395.408,0.782788,0.554343,2,3,0,396.65,88.4221
-395.885,0.90898,0.543227,1,3,0,396.085,47.8099
-395.764,1,0.686746,1,1,0,395.975,51.3165
-395.467,1,1.03972,1,1,0,395.543,103.527
-395.467,0.0794936,1.56761,1,1,0,396.218,103.527
-396.077,0.981178,0.377755,3,7,0,396.119,186.072
-396.038,1,0.549184,2,3,0,396.138,181.242
-395.535,1,0.825529,1,1,0,395.904,115.045
-395.984,0.58972,1.23607,1,1,0,396.105,45.426
-395.984,0.409167,0.828368,1,1,0,398.219,45.426
-395.989,0.999347,0.39247,1,1,0,396.065,45.3115
-395.663,1,0.58554,2,3,0,395.925,54.9665
-395.461,1,0.871436,1,1,0,395.588,67.6125
-395.412,1,1.29219,1,1,0,395.442,75.8129
-395.412,0.107586,1.90923,1,1,0,395.557,75.8129
-395.874,0.846785,0.517013,1,3,0,396.505,160.558
-395.43,0.939576,0.572221,2,7,0,396.26,71.6943
-395.452,0.997073,0.753368,2,3,0,395.455,100.689
-395.452,0.0867407,1.10192,1,1,0,396.308,100.689
-395.449,0.996328,0.294252,2,5,0,395.61,68.9681
-395.499,0.947705,0.430083,2,3,0,395.957,64.0568
-395.571,0.926619,0.572699,1,3,0,395.944,120.326
-395.402,0.984208,0.731769,2,3,0,395.553,80.5472
-395.565,0.90119,1.03697,1,1,0,395.566,119.582
-395.402,1,1.25911,1,1,0,395.448,83.3435
-395.402,0.999913,0.913369,2,5,0,395.403,81.5389
-395.402,1.57751e-008,13.1372,1,1,0,395.416,81.5389
-395.407,0.977542,2.2201,2,3,0,395.438,87.9218
-395.687,0.745639,2.96245,1,1,0,395.756,54.0151
-396.391,0.627946,2.33819,1,1,0,396.675,38.0301
-396.306,0.95516,1.31935,2,3,0,397.376,39.3535
-398.631,0.622826,2.01379,1,1,0,398.659,18.3237
