# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:39:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xucac5fz.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.4\realisation9\exponential_priors_delta_only-20240423003958.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-409.631,1,0.125,1,1,0,487.156,4.02909
-409.631,0,14.3855,0,1,1,409.726,4.02909
-409.631,0,2.43117,0,1,1,409.977,4.02909
-403.334,1,0.239791,1,1,0,407.422,6.4673
-397.463,0.907399,0.324332,2,7,0,403.791,98.3989
-397.516,0.996645,0.384843,1,1,0,397.516,92.7761
-397.555,0.993352,0.643582,1,1,0,397.59,89.1869
-397.886,0.854482,1.12258,1,1,0,398.042,68.0863
-397.43,1,1.3044,1,1,0,397.77,102.421
-397.294,1,2.42897,1,1,0,397.426,130.11
-397.294,0,4.56291,0,1,1,397.944,130.11
-397.624,0.918,0.364911,1,3,0,399.122,268.245
-397.27,1,0.53444,2,3,0,397.591,165.257
-397.419,0.935457,1.01356,2,3,0,397.428,223.13
-397.419,1.04163e-200,1.5658,1,1,0,400.623,223.13
-397.266,0.999644,0.132838,3,15,0,397.532,158.309
-397.272,0.999815,0.252992,3,7,0,397.275,167.521
-397.31,0.993115,0.478585,3,7,0,397.379,124.752
-399.155,0.409281,0.879755,1,1,0,399.16,496.128
-398.897,0.980898,0.27716,2,3,0,399.664,462.103
-401.785,0.361047,0.489512,1,1,0,401.935,816.835
-400.742,1,0.137121,2,3,0,401.812,693.407
-399.873,1,0.255552,1,1,0,400.658,587.346
-399.421,1,0.47151,3,7,0,399.841,29.6566
-398.332,1,0.861233,1,1,0,399.309,51.5135
-397.423,1,1.55734,1,1,0,397.458,224.41
-397.423,0,2.78817,0,1,1,397.518,224.41
-397.276,0.995589,0.297973,2,7,0,397.617,138.525
