# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:40:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\t_q33zwo.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation0\exponential_priors_delta_only-20240423004053.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-369.423,1,0.125,2,3,0,452.94,5.48733
-369.423,0,14.3855,0,1,1,369.822,5.48733
-369.423,0,2.43117,0,1,1,369.689,5.48733
-368.264,0.95367,0.239791,2,3,0,368.942,3.08022
-368.264,0.228517,0.28412,1,3,0,368.424,3.08022
-367.429,0.998163,0.044286,3,11,0,368.601,4.34353
-367.252,1,0.0701892,2,3,0,367.425,4.18029
-367.27,0.931069,0.120478,1,3,0,368.072,3.46719
-367.221,1,0.17429,1,1,0,367.311,3.50563
-367.221,0.314137,0.321409,1,1,0,367.307,3.50563
-367.114,0.998371,0.0688212,1,3,0,367.271,3.62265
-367.432,0.869981,0.129509,1,3,0,367.994,4.34566
-367.412,1,0.163567,1,1,0,367.512,4.32952
-367.412,6.71421e-011,0.311829,1,1,0,368.414,4.32952
-368.17,0.997361,0.026234,3,9,0,368.224,4.8326
-368.304,0.998419,0.0502009,2,3,0,368.346,4.9085
-367.101,0.950279,0.0958926,1,3,0,369.739,3.97348
-367.059,0.998376,0.157055,1,3,0,367.103,3.77696
-367.113,0.943591,0.29589,1,1,0,367.134,3.62526
-367.113,0.00811617,0.468669,1,1,0,367.242,3.62526
-367.058,0.993861,0.0453366,2,7,0,367.53,3.7878
-367.102,0.99268,0.0841311,1,3,0,367.173,3.64268
-367.363,0.920223,0.154101,1,1,0,367.363,3.40626
-367.363,0.0835233,0.226456,1,1,0,368.597,3.40626
-367.35,1,0.0296712,1,1,0,367.363,3.41402
-367.144,0.979068,0.055219,2,5,0,368.269,4.04787
-367.192,0.998261,0.0958597,3,7,0,367.224,4.11196
-367.192,0.893766,0.174028,1,1,0,367.495,4.11196
-367.062,0.998508,0.233827,1,3,0,367.113,3.75387
-367.086,0.346932,0.417511,2,3,0,367.108,3.93832
-368.093,0.890811,0.123965,2,3,0,368.105,4.78837
-367.1,1,0.164501,2,3,0,367.874,3.64668
-367.71,0.471014,0.291576,1,1,0,368.094,3.24691
-367.09,0.94155,0.124582,1,3,0,368.164,3.94839
-367.086,1,0.187795,1,1,0,367.099,3.93831
-368.744,0.0635088,0.327934,1,1,0,370.022,2.97391
-368.665,1,0.0493236,1,1,0,368.774,2.98984
-367.067,0.877675,0.0862622,1,3,0,370.438,3.72722
-367.067,0.999319,0.109229,2,5,0,367.076,3.8809
-367.229,0.960296,0.187889,1,3,0,367.229,4.15594
-367.591,0.680755,0.290394,1,1,0,367.647,3.29379
-367.101,1,0.220987,1,1,0,367.302,3.97213
-367.101,3.60132e-022,0.374133,1,1,0,368.092,3.97213
-367.49,0.98866,0.0529236,2,7,0,367.729,4.39227
-368.255,0.970125,0.0873508,2,5,0,368.354,3.08253
-367.437,1,0.1368,1,1,0,368.027,3.36556
-367.499,0.984881,0.228843,2,3,0,367.527,3.33485
-367.499,0.00885677,0.366469,1,1,0,367.737,3.33485
-367.517,0.97811,0.0566258,2,7,0,368.531,4.41308
-367.32,0.999373,0.0894862,2,3,0,367.553,4.2485
-367.291,1,0.147751,1,1,0,367.357,4.22054
-367.098,1,0.242661,2,3,0,367.159,3.6503
-367.217,0.780428,0.395908,1,1,0,367.467,3.50916
-367.217,3.45603e-024,0.386369,1,1,0,369.587,3.50916
-367.222,0.9997,0.0628304,1,1,0,367.228,3.50449
-367.203,1,0.102322,3,7,0,367.233,3.52144
-367.958,0.861065,0.165711,2,3,0,367.988,4.70811
-367.166,0.918922,0.195032,2,3,0,368.629,4.07887
-367.578,0.779012,0.260749,1,1,0,367.684,4.45819
-367.088,1,0.254381,1,1,0,367.324,3.94294
-367.218,0.806622,0.40479,1,1,0,367.403,4.14363
-367.182,1,0.41858,1,1,0,367.424,4.09945
-367.374,0.463343,0.660397,1,1,0,368.588,4.29745
-367.374,0.00049054,0.322611,1,1,0,367.664,4.29745
-367.361,0.974976,0.0584051,2,7,0,369.032,3.40742
-367.436,0.998791,0.0875906,3,7,0,367.446,3.36622
-367.065,0.984903,0.137577,1,3,0,367.522,3.86833
-367.065,0.000119476,0.208728,1,1,0,370.493,3.86833
-368.032,0.982843,0.0392897,3,11,0,368.976,4.75238
-367.06,0.988944,0.059473,2,7,0,368.979,3.83764
-367.09,0.995706,0.0907625,1,3,0,367.118,3.9482
-367.083,0.943973,0.139828,2,3,0,367.516,3.93056
-367.114,0.9878,0.192646,1,1,0,367.122,3.99806
-367.114,1.22065e-007,0.289477,1,1,0,368.454,3.99806
-367.969,0.971051,0.0572722,2,7,0,368.527,4.71459
-368.052,0.996134,0.0833248,1,1,0,368.074,4.76432
-367.595,1,0.127054,1,1,0,367.998,4.47032
-367.89,0.920371,0.194405,1,1,0,368.02,4.66635
-367.313,0.80577,0.252426,1,3,0,367.464,3.43721
-367.127,1,0.260014,1,1,0,367.168,4.02025
-367.795,0.311842,0.393877,2,3,0,368.611,3.21648
-367.079,0.995342,0.152332,1,3,0,367.794,3.92138
-367.61,0.767362,0.22829,1,1,0,367.619,4.48104
-367.343,0.945239,0.21802,2,3,0,367.63,4.26952
-367.343,7.69327e-011,0.294645,1,1,0,368.76,4.26952
-367.306,1,0.0633966,1,1,0,367.342,4.23484
-367.071,0.969357,0.0955027,1,3,0,367.947,3.71283
-368.128,0.811113,0.135114,1,3,0,368.262,3.11551
-370.474,0.399962,0.140738,1,1,0,370.662,2.71167
-370.616,0.985544,0.0669297,1,1,0,370.852,2.69501
-370.13,1,0.0973183,2,3,0,370.926,2.75441
-368.249,1,0.144928,2,7,0,369.58,4.87754
