# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:42:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\0t72mz79.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation1\exponential_priors_delta_only-20240423004220.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-345.058,0.666681,0.125,2,3,0,429.568,6.16502
-345.058,0,7.84743,0,1,1,345.571,6.16502
-345.058,0,1.10819,0,1,1,345.237,6.16502
-343.102,1,0.0986498,2,3,0,345.067,5.68691
-340.859,1,0.125139,1,1,0,343.154,5.1508
-340.859,0.530212,0.187757,1,1,0,345.065,5.1508
-339.954,1,0.0738361,3,7,0,340.851,4.93409
-337.895,1,0.126844,1,1,0,339.789,4.42519
-335.332,1,0.227999,1,3,0,335.687,2.81702
-335.332,1.65716e-009,0.421001,1,1,0,335.365,2.81702
-334.929,0.987908,0.0333953,2,5,0,336.311,2.96883
-335.604,0.921452,0.0608508,2,5,0,336.731,3.74869
-335.59,0.998466,0.090582,3,7,0,335.67,2.75211
-335.144,1,0.172309,1,1,0,335.601,2.87617
-335.144,0.00787306,0.328718,1,1,0,335.15,2.87617
-334.785,1,0.0288589,3,13,0,335.157,3.07893
-335.395,0.95696,0.0556072,2,5,0,336.13,3.66678
-336.481,0.915917,0.0933278,2,3,0,336.781,4.03744
-335.454,1,0.137505,1,1,0,336.28,3.69095
-335.454,0.0720842,0.259639,1,1,0,335.5,3.69095
-335.939,0.995403,0.0305413,2,5,0,336.028,3.8669
-334.874,0.969177,0.0571228,2,5,0,337.364,3.00205
-335.218,0.938432,0.0979842,2,3,0,335.495,2.85117
-335.096,1,0.152403,2,3,0,335.162,3.52843
-335.096,0.000484316,0.281067,1,1,0,335.237,3.52843
-335.121,0.999751,0.0295111,2,3,0,335.131,3.54157
-335.074,0.97032,0.0546132,2,7,0,336.413,2.90223
-336.047,0.747144,0.0921027,3,7,0,337.811,3.90275
-335.677,1,0.0827068,1,1,0,336.021,3.7759
-334.902,1,0.149587,1,1,0,335.429,3.40944
-334.938,0.960908,0.2679,1,1,0,335.149,3.43469
-334.754,1,0.427328,1,1,0,334.836,3.24266
-334.754,0,0.751536,0,1,1,336.032,3.24266
-334.789,0.986019,0.0905228,1,3,0,334.899,3.07431
-334.789,0.124219,0.153917,1,1,0,336.566,3.07431
-334.955,0.992505,0.0269156,3,15,0,335.784,3.44591
-334.754,0.993782,0.0465917,2,5,0,335.316,3.12858
-334.786,0.984119,0.080219,1,3,0,334.945,3.29906
-337.087,0.647938,0.13359,1,3,0,337.411,4.21061
-335.681,0.993171,0.0936894,2,3,0,337.322,3.77722
-335.239,1,0.158186,1,1,0,335.666,3.59884
-334.799,1,0.269558,1,1,0,334.82,3.06322
-334.799,3.97639e-012,0.455699,1,1,0,336.563,3.06322
-335.13,0.967838,0.0643695,2,5,0,335.469,3.54601
-334.956,0.923598,0.100803,1,3,0,336.104,2.95493
-334.781,0.978446,0.140787,2,3,0,335.078,3.29225
-334.781,3.31859e-007,0.223486,1,1,0,336.695,3.29225
-335.357,0.993437,0.0334907,3,11,0,335.397,3.65077
-335.442,0.996484,0.0552786,1,1,0,335.445,3.686
-335.686,0.973804,0.0912648,1,1,0,335.706,3.77895
-335.381,0.950851,0.141856,2,3,0,337.2,3.66091
-334.765,1,0.207709,1,1,0,334.945,3.10821
-334.765,0.00130961,0.339226,1,1,0,335.288,3.10821
-334.836,0.993626,0.0547414,1,3,0,334.903,3.02947
-337.966,0.756165,0.0882786,2,3,0,338.368,2.42344
-336.422,1,0.0822952,1,1,0,337.696,2.60265
-335.336,1,0.133459,1,1,0,336.129,2.81579
-337.748,0.424219,0.215112,2,3,0,337.769,4.3871
-338.39,0.983686,0.094903,2,3,0,338.502,4.55127
-335.428,1,0.146924,2,3,0,337.396,2.79115
-334.864,1,0.234564,1,1,0,335.209,3.00858
-334.864,0.000231521,0.372372,1,1,0,335.017,3.00858
-334.847,0.988493,0.0660117,2,5,0,335.111,3.36436
-334.757,0.988537,0.102384,1,3,0,334.972,3.12189
-336,0.536901,0.157994,2,3,0,336.627,2.67049
-334.818,1,0.0918694,2,3,0,336.017,3.04458
-335.789,0.647393,0.144632,1,1,0,335.805,2.70998
-334.945,0.844742,0.10704,1,3,0,336.85,3.43949
-336.64,0.837917,0.120623,2,3,0,337.044,2.57186
-336.265,1,0.133804,2,3,0,337.084,2.62644
-335.843,1,0.208069,1,3,0,336.06,3.83455
-335.843,8.11756e-065,0.322003,1,1,0,336.496,3.83455
-335.926,0.996048,0.0626134,1,1,0,335.956,3.86269
-334.839,0.962903,0.0962588,1,3,0,336.169,3.35715
-334.886,0.985925,0.137642,1,1,0,334.909,3.39668
-334.886,0.715352,0.205494,1,1,0,334.99,3.39668
-334.938,0.974794,0.176525,1,1,0,335.011,3.43462
-335.381,0.559467,0.256286,1,1,0,335.529,2.80344
-334.754,1,0.161045,2,3,0,335.088,3.24306
-335.051,0.750436,0.245049,1,1,0,335.153,3.5038
-334.759,1,0.226108,1,1,0,334.817,3.11802
-334.759,8.2071e-011,0.342033,1,1,0,335.652,3.11802
-334.778,0.996561,0.0719665,2,5,0,334.815,3.28751
-334.789,0.987718,0.108277,1,3,0,334.902,3.07464
-334.789,0.174353,0.159493,1,1,0,336.15,3.07464
-334.806,0.998719,0.0482747,2,3,0,334.827,3.05646
-336.536,0.884094,0.0726342,2,3,0,336.536,2.58629
-335.895,1,0.0873286,1,1,0,336.474,2.68948
-335.23,1,0.13085,2,3,0,335.756,2.84759
-334.796,0.892528,0.195333,2,3,0,335.011,3.06669
-334.796,0.0136394,0.236937,1,1,0,335.666,3.06669
-334.797,0.998561,0.0545377,2,3,0,334.836,3.06556
-335.643,0.752863,0.0810564,1,3,0,337.881,3.76325
-334.907,0.986286,0.0757761,2,5,0,336.04,2.98129
-334.754,0.986148,0.109523,1,3,0,334.996,3.24147
-334.747,1,0.157747,2,3,0,334.753,3.22132
-334.799,0.952906,0.232362,1,1,0,334.819,3.31567
-334.799,0.00284572,0.312805,1,1,0,334.916,3.31567
-334.814,0.999557,0.0735994,2,3,0,334.815,3.33234
-335.221,0.94147,0.108122,1,3,0,335.259,3.59048
-335.221,8.26887e-015,4.55858,1,1,0,335.225,3.59048
-335.221,0,10.6446,0,1,1,335.958,3.59048
-335.083,0.999718,1.04955,3,7,0,335.266,2.89888
-334.967,0.985261,1.09229,2,3,0,335.291,2.94912
-334.808,1,1.41639,1,1,0,334.927,3.05434
-334.808,0.481678,2.21088,1,1,0,335.295,3.05434
-335.328,0.980777,0.768807,3,7,0,335.451,2.81814
-335.452,0.971246,1.2612,1,1,0,335.55,2.78504
-335.768,0.810037,2.08675,1,1,0,336.244,2.71419
-334.778,1,2.12207,1,1,0,335.233,3.08753
-334.778,0.000348724,3.97724,1,1,0,335.748,3.08753
-334.779,0.999991,0.319022,1,1,0,334.779,3.08662
-334.754,0.999259,0.607896,1,3,0,334.804,3.13002
-334.968,0.937288,1.15727,1,3,0,335.297,3.45447
-334.877,1,1.81177,2,3,0,334.973,3.38975
-334.877,0.00257544,3.43604,1,1,0,335.094,3.38975
-334.782,0.999539,0.300777,3,15,0,335.005,3.29295
-335.136,0.98983,0.574184,3,7,0,335.275,3.54928
-334.781,0.942504,1.05591,1,3,0,335.994,3.08358
-335.079,0.898569,1.67031,1,1,0,335.079,2.90045
-334.954,1,2.30266,2,3,0,334.994,3.44563
-334.954,5.71121e-039,4.2645,1,1,0,335.598,3.44563
-334.841,0.99975,0.416922,3,7,0,335,3.35901
-334.844,0.956142,0.77544,2,5,0,336.075,3.02328
-334.844,0.561776,1.25912,1,3,0,338.213,3.02328
-335.077,0.98731,0.657326,2,7,0,335.249,2.90124
-334.803,0.938642,1.15855,1,3,0,335.669,3.31985
-337.734,0.464603,1.76432,1,3,0,337.82,2.4458
-337.04,1,0.712595,1,1,0,337.685,2.52114
-334.743,1,1.28196,2,3,0,337.023,3.1996
-335.036,0.828071,2.28386,1,1,0,335.044,2.91799
-334.78,1,2.52653,1,1,0,334.913,3.08474
-334.78,0.00733292,4.43392,1,1,0,334.947,3.08474
-334.797,0.999814,0.543496,3,7,0,334.799,3.06505
-334.767,0.997396,0.956408,2,5,0,334.836,3.26958
-334.846,0.976727,1.65726,1,1,0,334.847,3.36379
-334.846,0.080019,2.69731,1,1,0,336.884,3.36379
-334.76,0.999456,0.427686,2,7,0,334.909,3.25675
-334.746,0.999481,0.73996,1,3,0,334.773,3.21575
-336.102,0.765517,1.26953,1,3,0,336.691,2.65289
-334.857,0.844153,1.19521,1,3,0,337.541,3.37334
-334.857,1,1.37196,1,1,0,334.88,3.37323
-337.162,0.340302,2.31748,1,1,0,337.186,4.23101
-335.976,0.993781,0.759248,2,3,0,337.599,3.87923
-334.823,0.985669,1.25862,2,3,0,336.175,3.34111
-334.745,1,2.03067,1,1,0,334.788,3.21228
-334.745,0.00342545,3.36899,1,1,0,336.687,3.21228
-334.755,0.999783,0.504842,2,5,0,334.757,3.2439
-334.797,0.998166,0.83911,3,7,0,334.815,3.31305
-334.774,1,1.37964,2,3,0,334.794,3.28102
-335.952,0.557909,2.26281,1,1,0,335.962,3.87125
-334.753,0.918282,1.30944,2,3,0,337.052,3.23992
-334.935,0.9563,1.7646,1,3,0,334.936,3.43246
-334.921,1,2.58609,1,1,0,335.054,3.42271
-334.884,0.337442,4.16926,1,3,0,334.959,2.99563
-335.066,0.982854,1.47302,2,3,0,335.08,2.90561
-335.156,0.76353,2.27819,2,3,0,335.395,2.87191
-334.752,1,2.13758,1,1,0,334.931,3.23581
-335.855,0.170148,3.40869,1,1,0,336.654,2.69709
-336.199,0.960517,0.851855,1,1,0,336.225,2.63685
-336.217,0.995519,1.2444,1,1,0,336.547,2.63404
-337.024,0.588823,1.95437,1,1,0,337.975,2.5231
-337.024,0.833411,1.25428,1,1,0,337.92,2.5231
-337.806,0.920501,1.37709,2,3,0,338.381,2.4387
-334.787,1,1.82306,1,3,0,336.568,3.30056
-335.198,0.715507,2.85396,1,1,0,335.326,3.57948
-335.198,0.166676,2.41953,1,1,0,335.934,3.57948
-335.825,0.973938,0.639764,2,7,0,336.64,2.70287
-335.36,0.990515,0.946016,3,7,0,336.182,2.80927
-334.928,1,1.4422,1,1,0,335.242,2.9695
-335.351,0.684854,2.23232,2,3,0,335.535,2.8116
-335.351,0.40653,1.78517,1,1,0,336.491,2.8116
-336.324,0.940124,0.804325,2,3,0,336.477,2.61722
-335.303,0.9515,1.09612,3,7,0,337.01,2.82544
-335.23,0.808662,1.52395,1,3,0,336.347,3.59447
-335.029,1,1.57826,1,1,0,335.217,3.49116
-335.16,0.911116,2.40806,1,3,0,335.182,2.87047
-334.788,1,3.05783,1,1,0,334.823,3.30099
-334.788,3.98709e-030,4.63003,1,1,0,335.358,3.30099
-334.751,1,0.947369,2,3,0,334.785,3.23357
-334.772,0.997813,1.43667,2,7,0,334.772,3.09703
-334.792,0.814031,2.1604,2,3,0,335.046,3.3066
-334.792,0.573549,2.25353,1,1,0,335.127,3.3066
-336.204,0.824811,1.46679,2,3,0,336.682,2.63607
-336.377,0.9317,1.56455,1,1,0,336.893,2.60924
-334.748,1,2.05221,1,1,0,335.484,3.2233
-334.752,0.995666,3.06369,1,1,0,334.752,3.13533
-334.808,0.293701,4.51887,2,3,0,334.879,3.32546
-334.808,0.916389,1.7323,1,3,0,335.153,3.32546
-334.831,0.996243,2.19451,2,3,0,334.842,3.03358
-334.869,0.668817,3.22785,1,3,0,334.875,3.38301
-334.758,1,2.54901,1,1,0,334.787,3.12132
-334.886,0.795991,3.76021,1,1,0,335.051,2.99454
-334.886,0.143049,3.77273,1,1,0,334.913,2.99454
-334.911,0.992942,1.12035,3,7,0,335.008,3.41539
-334.765,0.979665,1.62852,2,3,0,334.993,3.1077
-335.822,0.462521,2.30232,1,1,0,335.961,2.70352
-335.769,0.739566,1.25256,2,3,0,338.413,2.71396
-334.746,1,1.13811,2,3,0,335.61,3.21644
-334.949,0.939818,1.66488,2,3,0,335.098,3.44183
-335.463,0.953827,1.08805,2,7,0,335.464,2.78226
-335.463,0,14.3918,0,1,1,335.923,2.78226
-334.856,1,2.37246,1,1,0,335.212,3.01428
-334.856,0.0421472,3.31367,1,1,0,334.871,3.01428
-334.892,0.998844,0.348854,4,15,0,335.02,2.99081
-334.756,0.96877,0.543404,2,7,0,335.741,3.24665
-334.752,0.980818,0.840292,3,7,0,334.99,3.13568
-336.085,0.545381,1.41388,1,1,0,336.086,2.65566
-336.236,0.983811,0.622786,1,1,0,336.315,2.63103
-334.762,1,1.09754,1,3,0,335.98,3.11329
-334.762,0.00045304,2.05925,1,1,0,336.348,3.11329
-334.744,0.99881,0.165086,4,17,0,335.23,3.1666
-334.743,0.999964,0.312674,2,7,0,334.747,3.18567
-334.968,0.960829,0.594542,1,3,0,335.524,2.9488
-335.009,0.990726,0.997472,1,1,0,335.048,2.92976
-334.773,1,1.82847,1,1,0,334.893,3.09474
-334.828,0.871965,3.4254,1,1,0,335.005,3.03628
-334.828,2.02238e-006,4.30408,1,1,0,334.9,3.03628
-334.743,0.991507,0.383812,2,7,0,335.398,3.17887
-334.803,0.997133,0.701129,3,7,0,334.807,3.32015
-335.069,0.864659,1.29074,2,3,0,335.717,3.51359
-334.981,1,1.59074,1,1,0,335.132,3.46256
-334.981,0.141016,2.90593,1,1,0,335.94,3.46256
-334.961,1,0.432838,2,3,0,334.981,3.44994
-334.892,0.931102,0.791745,1,3,0,336.053,2.99033
-335.855,0.686174,1.17755,2,3,0,337.047,3.83846
-334.758,1,0.869312,2,3,0,335.708,3.25191
-335.256,0.853912,1.55761,2,3,0,335.256,3.60658
-335.256,0.00210784,1.83992,1,1,0,337.202,3.60658
-335.066,0.999309,0.206215,4,17,0,335.528,2.90544
-335.213,0.997603,0.367893,3,7,0,335.283,2.85282
-334.928,0.999955,0.647078,3,7,0,335.232,2.96953
-335.124,0.943119,1.13479,1,1,0,335.149,2.88323
-335.04,1,1.69416,2,3,0,335.056,3.49742
-335.04,5.05798e-100,2.92182,1,1,0,337.563,3.49742
-334.743,0.998805,0.360293,3,9,0,335.187,3.18715
-334.775,0.994414,0.621623,2,5,0,334.851,3.0926
-334.772,0.990046,1.05133,1,3,0,334.859,3.27773
-335.846,0.581627,1.74397,1,1,0,335.858,3.83541
-334.824,1,1.01355,2,3,0,335.796,3.34201
-338.573,0.0695562,1.71131,2,3,0,338.581,4.59691
-339.053,0.996288,0.277159,1,3,0,339.233,4.71565
-336.347,0.976402,0.464426,4,15,0,341.409,2.61377
-335.727,1,0.73524,1,1,0,336.265,2.72246
-336.596,0.399661,1.22522,1,3,0,339.114,4.07154
-335.797,0.998053,0.468616,3,15,0,336.565,2.70839
-335.297,1,0.773983,2,3,0,335.721,2.8271
-335.333,0.985448,1.27531,1,1,0,335.538,2.8167
-334.861,1,2.01556,1,1,0,335.156,3.0111
-334.861,0.138467,3.27683,1,3,1,334.877,3.0111
# Adaptation terminated
# Step size = 0.968226
# Diagonal elements of inverse mass matrix:
# 0.0109714
-334.971,0.977188,0.968226,1,1,0,334.975,2.94753
-335.973,0.623309,0.968226,2,7,0,338.206,3.87848
-335.885,0.997998,0.968226,2,7,0,336.01,2.69131
-335.885,0.766519,0.968226,1,1,0,336.727,2.69131
-334.785,1,0.968226,2,3,0,335.691,3.29797
-334.782,1,0.968226,2,7,0,334.786,3.08223
-334.864,0.956152,0.968226,1,3,0,335.111,3.37908
-334.819,1,0.968226,1,1,0,334.86,3.33767
-334.911,0.989992,0.968226,2,7,0,334.94,2.97915
-335.538,0.919307,0.968226,2,7,0,335.609,3.72395
-335.19,1,0.968226,1,1,0,335.493,3.57545
-335.188,0.997566,0.968226,2,7,0,335.214,2.86119
-335.408,0.983425,0.968226,2,3,0,335.457,2.79646
-335.393,0.999161,0.968226,2,7,0,335.425,3.66592
-336.049,0.922504,0.968226,2,3,0,336.548,3.90336
-336.133,0.990006,0.968226,1,1,0,336.288,3.93018
-336.481,0.960174,0.968226,1,1,0,336.57,4.03757
-336.535,0.993998,0.968226,1,1,0,336.751,4.05351
-337.597,0.964765,0.968226,2,3,0,337.607,4.34755
-335.253,0.967387,0.968226,2,7,0,337.436,2.84027
-334.784,0.990247,0.968226,2,3,0,335.34,3.08066
-334.746,0.865253,0.968226,2,3,0,335.975,3.15705
-334.757,0.99522,0.968226,1,3,0,334.78,3.25036
-334.759,0.999623,0.968226,1,1,0,334.761,3.25501
-335.223,0.896382,0.968226,1,3,0,335.59,2.84978
-335.021,1,0.968226,1,1,0,335.197,2.92445
-335.021,0.74368,0.968226,1,3,0,336.941,2.92445
-334.76,0.997732,0.968226,2,3,0,335.044,3.11701
-334.819,0.974991,0.968226,2,7,0,334.95,3.33761
-335.321,0.95649,0.968226,2,7,0,335.325,2.82026
-335.321,0.951155,0.968226,1,1,0,335.561,2.82026
-334.747,0.971622,0.968226,1,3,0,335.556,3.22206
-334.814,0.993055,0.968226,2,7,0,334.815,3.04805
-334.875,0.987634,0.968226,1,1,0,334.878,3.00113
-334.818,0.988765,0.968226,2,3,0,334.994,3.04458
-335.105,0.965422,0.968226,2,7,0,335.132,3.53312
-334.822,0.996664,0.968226,2,3,0,335.153,3.34077
-335.294,0.948968,0.968226,2,3,0,335.389,3.6234
-334.751,0.964359,0.968226,1,3,0,335.684,3.13665
-334.806,0.981459,0.968226,1,3,0,334.894,3.32283
-334.781,1,0.968226,1,1,0,334.803,3.29152
-334.821,0.993166,0.968226,1,1,0,334.821,3.33915
-334.772,0.999066,0.968226,2,7,0,334.823,3.09711
-334.75,0.999126,0.968226,2,3,0,334.781,3.14177
-335.652,0.879195,0.968226,3,7,0,335.813,2.73835
-334.799,0.912867,0.968226,1,3,0,336.32,3.31515
-335.431,0.905775,0.968226,1,3,0,335.596,3.6816
-335.226,0.840648,0.968226,1,3,0,337.376,2.84868
-335.134,0.999941,0.968226,3,7,0,335.204,3.54792
-334.793,0.954531,0.968226,1,3,0,335.624,3.06928
-334.859,0.955067,0.968226,1,3,0,335.13,3.37509
-334.968,0.980669,0.968226,2,3,0,335.095,3.4544
-335.644,0.82293,0.968226,1,3,0,336.999,2.74016
-335,0.999903,0.968226,3,7,0,335.501,2.93376
-334.866,0.97837,0.968226,2,3,0,335.215,3.00772
-335.558,0.74524,0.968226,1,3,0,336.887,3.73133
-334.896,0.913177,0.968226,1,3,0,336.782,2.98798
-335.002,0.887877,0.968226,1,3,0,335.72,3.47571
-334.992,0.99941,0.968226,2,7,0,335.011,2.93738
-335.167,0.962077,0.968226,1,1,0,335.185,2.86811
-334.928,1,0.968226,2,3,0,335.118,2.96964
-335.481,0.931424,0.968226,2,7,0,335.561,3.70155
-335.441,1,0.968226,1,1,0,335.569,3.68566
-334.758,0.977111,0.968226,1,3,0,335.613,3.25262
-337.023,0.653485,0.968226,1,3,0,338.052,2.52322
-336.948,1,0.968226,2,7,0,337.06,4.172
-337.338,0.987034,0.968226,2,3,0,337.494,4.27886
-334.743,0.999682,0.968226,3,7,0,336.938,3.18136
-334.75,0.998205,0.968226,1,3,0,334.755,3.23111
-334.841,0.990256,0.968226,3,7,0,334.841,3.02535
-337.113,0.747182,0.968226,2,7,0,337.171,4.21772
-337.388,0.972926,0.968226,1,1,0,337.593,4.2922
-336.426,1,0.968226,1,1,0,337.299,4.02088
-337.266,0.97106,0.968226,2,3,0,337.293,4.25944
-334.774,0.950239,0.968226,1,3,0,338.362,3.28103
-335.161,0.956772,0.968226,2,3,0,335.209,3.56132
-335.439,0.960744,0.968226,1,1,0,335.447,3.68467
-334.892,0.905902,0.968226,1,3,0,336.537,2.99026
-334.922,0.999171,0.968226,2,7,0,334.922,3.42353
-334.756,1,0.968226,2,3,0,334.918,3.24824
-334.749,0.988923,0.968226,2,3,0,334.852,3.2287
