# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:43:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\c6jp30h1.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation2\exponential_priors_delta_only-20240423004355.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-343.474,1,0.0625,1,1,0,392.127,1.47974
-343.474,0,14.3855,0,1,1,343.481,1.47974
-343.474,0,2.43117,0,1,1,344.322,1.47974
-343.474,5.73631e-046,0.239791,1,1,0,343.49,1.47974
-341.923,1,0.0186273,1,1,0,343.496,1.50015
-339.537,1,0.0257257,1,1,0,341.994,1.53341
-334.175,1,0.0404064,1,1,0,339.35,1.61823
-320.779,1,0.0687243,1,1,0,331.234,1.93836
-309.918,1,0.122801,2,3,0,315.95,2.92322
-309.918,0.777881,0.226075,1,1,0,309.939,2.92322
-309.918,2.70704e-007,0.209697,1,1,0,312.155,2.92322
-309.894,0.999981,0.0168289,3,11,0,309.925,2.98399
-309.903,0.999556,0.0322042,2,7,0,309.929,3.0339
-310.032,0.992662,0.0617518,3,7,0,310.107,2.83192
-310.9,0.738903,0.115791,1,1,0,310.902,2.5905
-310.656,1,0.0985531,2,3,0,310.977,2.63743
-309.901,1,0.18829,1,1,0,310.152,2.95262
-311.088,0.0580604,0.357169,1,1,0,312.796,3.55018
-311.04,1,0.0386925,1,1,0,311.1,3.5372
-309.953,0.962234,0.0738068,1,3,0,311.751,3.10191
-309.939,1,0.124648,1,1,0,309.961,3.08736
-309.939,1.25039e-017,0.233563,1,1,0,312.273,3.08736
-309.901,0.999942,0.0231038,3,15,0,309.959,2.95359
-309.897,0.999097,0.0435016,3,7,0,309.943,2.96695
-310.261,0.8914,0.0808797,2,3,0,311.052,2.73811
-310.02,0.825803,0.109426,2,3,0,311.22,2.83842
-309.9,0.987041,0.122343,2,3,0,310.086,3.02601
-310.029,0.882382,0.214771,1,1,0,310.076,3.16189
-310.029,0.223652,0.279068,1,3,0,310.037,3.16189
-310.062,0.997735,0.0585476,1,1,0,310.062,3.18258
-309.937,0.998994,0.105024,1,3,0,310.033,3.08583
-309.965,0.979883,0.187223,1,1,0,310.004,3.11331
-309.965,0.0707142,0.314014,1,1,0,309.967,3.11331
-311.377,0.964392,0.0460138,3,7,0,311.469,3.62458
-309.988,1,0.0742818,2,3,0,311.227,3.13266
-309.988,0.928408,0.130673,1,1,0,310.144,3.13266
-309.988,0.00499216,0.189007,1,1,0,311.154,3.13266
-309.907,0.999975,0.0248992,3,15,0,309.995,3.04202
-309.903,0.994747,0.0435791,2,7,0,310.136,2.94924
-310.185,0.92876,0.0746126,1,3,0,310.721,3.24777
