# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:45:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ykld48oa.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation3\exponential_priors_delta_only-20240423004525.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-371.75,1,0.125,1,1,0,461.07,5.2875
-371.75,0,14.3855,0,1,1,373.289,5.2875
-371.75,1.46476e-118,2.43117,1,1,0,372.257,5.2875
-371.75,0.776939,0.239791,1,1,0,372.008,5.2875
-372.285,0.891342,0.171477,1,3,0,372.356,4.51791
-376.396,0.17543,0.188656,1,1,0,376.486,3.32703
-376.51,0.997186,0.0250395,2,3,0,376.811,3.30984
-371.743,0.992546,0.0418827,3,9,0,377.779,5.38602
-371.958,0.98916,0.0727572,2,7,0,372.175,6.09792
-371.909,0.996307,0.12911,2,3,0,372.047,6.00769
-371.889,1,0.238747,1,1,0,371.958,5.96638
-371.889,2.40816e-029,0.450961,1,1,0,372.986,5.96638
-371.765,0.999711,0.0366481,3,15,0,371.978,5.61118
-372.013,0.979188,0.0702671,2,5,0,372.812,6.19073
-371.827,0.98478,0.126247,2,3,0,372.262,5.82327
-371.903,0.972963,0.230058,1,1,0,371.927,5.99402
-371.903,2.39976e-024,0.402082,1,1,0,373.587,5.99402
-371.865,0.998476,0.0357702,3,11,0,372.353,4.95494
-372.166,0.978334,0.0681896,1,3,0,372.546,4.6096
-371.921,0.994669,0.121318,2,3,0,372.255,4.86814
-371.985,0.970965,0.22477,1,1,0,372.06,4.78665
-371.985,1.58948e-006,0.384623,1,1,0,373.929,4.78665
-371.859,0.995446,0.0378867,3,15,0,372.751,5.90221
-371.89,0.998335,0.070114,3,7,0,371.984,5.96852
-371.882,1,0.129544,1,1,0,371.903,5.95189
-371.961,0.976689,0.23807,2,3,0,372.106,6.10286
-372.851,0.420213,0.405429,2,3,0,373.33,4.20261
-373.201,0.92179,0.143373,1,1,0,373.348,4.06007
-372.086,1,0.208617,1,1,0,372.803,4.681
-372.086,6.93182e-005,0.374394,1,3,0,375.706,4.681
-372.075,1,0.0430335,2,3,0,372.087,4.69106
-371.743,0.996114,0.0774938,2,7,0,372.261,5.41068
-371.877,0.96987,0.136767,2,3,0,372.048,4.9349
-372.655,0.690414,0.222955,1,1,0,372.705,4.29649
-372.417,1,0.171926,1,1,0,372.729,4.43023
-371.743,1,0.300434,1,1,0,371.959,5.41926
-371.743,0.0013062,0.520363,1,1,0,372.706,5.41926
-371.93,0.974651,0.0673677,2,7,0,373.069,4.85571
-371.943,0.998528,0.10964,1,1,0,371.958,4.83772
-371.749,1,0.18821,1,3,0,371.896,5.29826
-371.764,0.987958,0.321623,1,1,0,371.764,5.6081
-371.764,2.84082e-022,0.528943,1,1,0,372.392,5.6081
-371.771,0.999913,0.0735811,3,15,0,371.772,5.17986
-371.746,0.994536,0.125051,1,3,0,371.837,5.48156
-371.861,0.943393,0.208111,2,3,0,372.01,4.96155
-371.914,0.979713,0.303475,1,3,0,371.928,6.01709
-371.914,0.0153872,0.480628,1,1,0,371.927,6.01709
-371.745,0.99625,0.0743455,2,5,0,372.106,5.33731
-371.75,0.999673,0.122867,2,5,0,371.75,5.52067
-371.899,0.952538,0.203294,2,3,0,372.017,4.89954
-372.058,0.878012,0.298934,1,1,0,372.222,4.70807
-371.849,1,0.367261,1,1,0,372.057,4.98283
-371.849,0.00194986,0.597577,1,1,0,371.881,4.98283
-371.762,0.997337,0.0962222,1,3,0,371.905,5.21923
-371.853,0.984958,0.155938,2,3,0,371.902,4.97621
-371.853,0.104174,0.244147,1,1,0,373.404,4.97621
-372.813,0.980253,0.0515746,3,9,0,373.612,7.1475
-373.616,0.968573,0.0799784,1,3,0,374,7.89099
-374.314,0.959812,0.120158,1,1,0,374.314,8.48626
-371.754,1,0.176142,2,3,0,373.898,5.54661
