# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:46:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\vewn0oj2.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation4\exponential_priors_delta_only-20240423004657.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-384.668,1,0.125,1,1,0,479.271,5.53522
-384.668,0,14.3855,0,1,1,384.733,5.53522
-384.668,0,2.43117,0,1,1,385.99,5.53522
-384.655,1,0.239791,1,1,0,384.666,5.61605
-384.696,0.978091,0.324332,1,1,0,384.705,5.41504
-386.032,0.458829,0.475134,1,3,0,386.033,9.42797
-384.641,0.975982,0.153973,2,5,0,386.263,5.93675
-384.923,0.938689,0.24847,1,3,0,384.995,7.09556
-385.321,0.879972,0.370743,1,1,0,385.395,8.00396
-385.321,0.0226231,0.469711,1,1,0,385.643,8.00396
-385.319,1,0.0400285,1,1,0,385.323,7.99933
-384.976,0.995711,0.0757616,2,7,0,386.02,7.2302
-385.743,0.975321,0.142397,2,7,0,385.775,4.28567
-385.081,1,0.251411,1,1,0,385.587,4.76502
-385.081,0.000402112,0.478627,2,5,1,389.499,4.76502
-384.785,0.998057,0.0409611,2,7,0,385.439,5.17952
-384.742,0.999563,0.078266,2,3,0,384.81,5.27762
-384.673,0.992784,0.149232,3,7,0,384.895,5.51161
-384.785,0.979478,0.276537,2,3,0,384.795,6.69757
-384.785,0.00601652,0.488176,1,1,0,385.063,6.69757
-384.787,0.999982,0.0469132,1,1,0,384.788,6.70609
-385.041,0.990706,0.0886211,2,7,0,385.496,7.38792
-384.88,0.964327,0.161317,3,7,0,386.132,5.01329
-384.71,0.840963,0.269379,2,3,0,385.376,6.41947
-386.263,0.747118,0.312629,2,3,0,386.639,9.8885
-385.966,1,0.276861,1,1,0,386.348,9.29718
