# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:48:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ngqwrdct.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation5\exponential_priors_delta_only-20240423004821.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-367.743,1,0.125,1,1,0,447.192,4.98223
-367.743,0,14.3855,0,1,1,368.742,4.98223
-367.743,0,2.43117,0,1,1,368.906,4.98223
-367.656,1,0.239791,1,1,0,367.771,4.85985
-367.534,1,0.324332,1,1,0,367.547,4.24043
-367.534,0.000921892,0.507206,1,1,0,367.948,4.24043
-367.654,0.993227,0.0405206,3,15,0,368.238,4.04694
-367.631,1,0.067484,2,3,0,367.653,4.07433
-367.56,0.957095,0.120563,1,3,0,368.097,4.68401
-367.526,0.978542,0.193814,2,3,0,367.682,4.58797
-367.526,2.30133e-010,0.339009,1,1,0,368.919,4.58797
-367.504,0.99997,0.0271917,4,17,0,367.543,4.36507
-367.72,0.995734,0.0519579,3,11,0,367.775,3.98055
-367.509,0.992089,0.0982351,3,7,0,367.95,4.33036
-367.523,0.998555,0.183403,2,3,0,367.523,4.57769
-367.647,0.861773,0.347965,1,1,0,367.681,4.05506
-367.647,0.0947916,0.430711,1,1,0,367.716,4.05506
-367.531,1,0.0511569,3,11,0,367.647,4.60584
-367.639,0.989252,0.0977014,1,3,0,367.7,4.83416
-369.204,0.819131,0.179106,1,3,0,369.418,6.24105
-370.858,0.825796,0.195994,1,1,0,370.87,7.40558
-368.215,0.90718,0.218595,1,3,0,370.345,5.46798
-368.215,1.71112e-009,0.309122,1,1,0,369.919,5.46798
-368.226,0.999924,0.0311268,3,7,0,368.264,5.47792
-368.206,1,0.0581762,1,1,0,368.234,5.46049
-367.546,0.974765,0.107647,1,3,0,368.808,4.64957
-367.546,0.694706,0.183563,1,3,0,369.323,4.64957
-367.553,0.983648,0.141283,1,3,0,367.723,4.19624
-368.159,0.657921,0.244254,1,1,0,368.261,3.70258
-367.608,1,0.170205,2,3,0,368.092,4.78065
-367.608,0.475463,0.304498,1,1,0,368.292,4.78065
-367.55,0.972778,0.129811,1,3,0,367.925,4.20231
-367.618,0.983284,0.214236,2,3,0,367.639,4.09146
-367.618,0.168743,0.360672,1,1,0,367.887,4.09146
-367.703,0.99184,0.0695152,2,7,0,367.947,4.92949
-367.572,0.993403,0.119755,3,7,0,367.848,4.15975
-367.827,0.887364,0.205362,1,1,0,367.853,3.89299
-367.988,0.614018,0.265369,2,3,0,368.297,3.79057
-368.605,0.533496,0.169243,1,3,0,370.374,5.79105
-368.616,0.999863,0.0885024,2,3,0,368.664,5.79984
-367.578,0.973353,0.152045,1,3,0,368.739,4.72216
-367.708,0.943466,0.242395,1,1,0,367.74,4.93621
-367.644,1,0.356196,1,1,0,367.821,4.84185
-367.538,1,0.598593,1,1,0,367.691,4.62616
-367.538,0.00137854,0.998373,1,1,0,368.062,4.62616
-367.516,0.999545,0.144654,2,7,0,367.539,4.29766
-367.516,0.529795,0.241619,1,1,0,367.908,4.29766
-369.337,0.784669,0.129433,3,7,0,370.042,3.32464
-368.99,1,0.128544,1,1,0,369.5,3.41185
-367.688,1,0.212787,1,1,0,368.388,4.01112
-367.573,1,0.349823,1,1,0,367.71,4.15908
-367.573,0.000333096,0.571273,1,1,0,367.987,4.15908
-367.584,0.999865,0.0905955,3,7,0,367.586,4.14088
-368.158,0.920023,0.148219,2,7,0,368.179,5.41743
