# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:49:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\d5cdp8m1.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation6\exponential_priors_delta_only-20240423004927.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-362.436,1,0.0625,2,3,0,415.455,1.57698
-362.436,0,14.3855,0,1,1,362.439,1.57698
-362.436,0,2.43117,0,1,1,362.456,1.57698
-362.436,9.02262e-025,0.239791,2,3,0,362.682,1.57698
-361.981,1,0.0186273,2,3,0,362.633,1.58449
-362.462,0.981903,0.0257257,1,1,0,363.007,1.57655
-346.167,1,0.0382284,3,7,0,361.541,1.97001
-347.534,0.780804,0.0649601,1,1,0,348.583,1.92109
-339.415,1,0.0582546,2,3,0,347.802,2.34625
-341.016,0.538568,0.10686,1,1,0,341.842,2.22346
-340.169,1,0.0464557,1,1,0,340.973,2.2838
-339.568,1,0.0879116,1,1,0,340.584,2.33274
-338.475,1,0.167405,2,3,0,338.859,3.77284
-338.475,0,0.319114,0,1,1,340.498,3.77284
-337.609,0.999155,0.0268435,2,5,0,338.71,3.55358
-337.609,0.898174,0.0516461,1,3,0,340.813,3.55358
-337.603,1,0.0724551,1,1,0,337.711,3.55191
-337.514,0.99756,0.138416,2,3,0,337.61,2.57559
-337.514,0.127018,0.260386,1,3,0,337.632,2.57559
-337.621,0.995277,0.0354586,3,9,0,338.044,3.55704
-337.758,0.99087,0.0664834,1,1,0,337.8,3.59447
-336.896,1,0.121896,2,3,0,337.559,3.32092
-336.505,1,0.227403,1,1,0,336.538,2.88805
-336.505,0.00322121,0.419991,1,2,1,336.507,2.88805
-336.45,0.999153,0.0434311,2,7,0,336.554,2.99617
-336.862,0.953291,0.0803695,3,7,0,337.043,3.30709
-337.451,0.846008,0.129282,1,1,0,337.5,3.50827
-336.778,0.447186,0.152649,2,3,0,340.019,3.27026
-336.707,1,0.0591982,1,1,0,336.774,3.23617
-336.952,0.929775,0.107369,2,3,0,337.43,3.34315
-338.272,0.58895,0.159088,1,1,0,338.423,3.72463
-337.583,0.967478,0.0928019,2,3,0,339.019,3.54642
-337.02,1,0.151401,2,3,0,337.798,2.67764
-337.02,0.0183885,0.267282,1,1,0,337.051,2.67764
-336.637,1,0.0346668,4,15,0,337.025,3.19799
-336.967,0.849505,0.0613548,1,3,0,340.097,2.69129
-336.677,0.995996,0.0726655,3,7,0,337.132,2.78712
-336.538,1,0.125396,2,3,0,336.645,2.8613
-337.912,0.28981,0.216773,1,1,0,338,3.63494
-338.09,0.990592,0.0607955,1,1,0,338.12,3.68001
-337.771,1,0.102312,2,3,0,338.185,3.59801
-337.642,1,0.17491,2,3,0,337.662,3.56282
-337.642,0.0762735,0.296634,1,1,0,340.44,3.56282
-336.45,0.990679,0.0507627,2,7,0,338.272,2.99576
-336.503,0.98989,0.0842259,1,3,0,336.54,3.09794
-336.492,1,0.138458,1,1,0,336.515,3.08672
-336.46,1,0.231596,1,1,0,336.461,2.94752
-336.46,0.000573927,0.384583,1,1,0,336.718,2.94752
-336.591,0.982764,0.0582412,1,3,0,336.749,2.82813
-336.584,1,0.0930432,1,1,0,336.615,2.83229
-336.719,0.763516,0.153812,2,3,0,337.087,3.24206
-337.377,0.784409,0.145166,1,1,0,337.433,3.48629
-337.096,1,0.143919,1,1,0,337.489,3.39543
-337.033,1,0.234829,1,1,0,337.663,3.37308
-337.033,6.04596e-230,0.380726,1,1,0,337.491,3.37308
-336.648,0.993425,0.0626256,2,3,0,337.234,3.2045
-336.45,0.995093,0.100228,1,3,0,336.69,2.98852
-336.456,0.997134,0.160056,1,1,0,336.456,3.02419
-336.456,9.68542e-006,0.255268,1,1,0,337.205,3.02419
-336.934,0.977013,0.0439623,2,7,0,337.409,2.70019
-336.583,1,0.0671863,2,3,0,336.938,2.83262
-338.74,0.540142,0.107449,1,3,0,340.552,3.83362
-338.213,1,0.0624968,2,3,0,338.712,3.71028
-336.473,1,0.0994197,2,3,0,337.984,3.05996
-336.497,0.987756,0.157297,1,1,0,336.508,3.09143
-336.497,0.0375743,0.241116,1,1,0,336.725,3.09143
-336.674,0.988858,0.0482371,3,7,0,336.97,3.2187
-336.451,0.978844,0.0742318,1,3,0,336.982,2.9786
-336.455,0.999468,0.111298,2,3,0,336.456,3.02396
-336.61,0.909259,0.173484,1,1,0,336.621,3.18187
-336.451,1,0.222825,1,1,0,336.484,2.98
-336.501,0.882653,0.344715,1,1,0,336.577,3.0963
-336.501,1.08891e-017,0.416338,1,1,0,336.561,3.0963
-336.873,0.905841,0.0815345,1,3,0,337.627,2.71799
-336.92,0.98692,0.103816,1,1,0,337.021,2.70425
-337.29,0.703858,0.155532,2,3,0,337.616,2.61721
-336.549,0.985325,0.130713,1,3,0,337.186,3.13901
-336.549,0.151169,0.194141,1,1,0,337.967,3.13901
-336.911,0.967099,0.0538289,1,3,0,337.278,3.32715
-336.869,1,0.0771121,1,1,0,336.94,3.31017
-338.336,0.805565,0.117506,1,3,0,338.343,3.74009
-338.218,1,0.121382,1,1,0,338.707,3.71164
-336.474,1,0.183783,1,1,0,337.23,3.06188
-336.487,0.979794,0.277145,1,1,0,336.538,3.07959
-336.487,0,0.400208,1,1,0,338.74,3.07959
-336.468,1,0.0859871,1,1,0,336.484,3.05324
-336.51,0.994218,0.129352,2,3,0,336.513,3.10526
-336.45,1,0.191699,1,1,0,336.47,2.99369
-336.861,0.518701,0.286214,1,1,0,337.171,3.30656
-336.477,1,0.170134,2,3,0,336.676,2.91859
-336.477,0.0458567,0.253206,1,1,0,336.912,2.91859
-336.83,0.95446,0.0619216,1,3,0,337.155,2.7312
-336.457,0.94479,0.0846585,2,3,0,337.424,3.02912
-336.457,0.898494,0.113348,1,3,0,336.853,3.02912
-336.457,0.0269471,0.13885,1,1,0,339.857,3.02912
-336.726,0.992983,0.0336649,2,7,0,336.935,2.76729
-336.461,0.950916,0.0492706,2,7,0,338.199,3.03852
-336.697,0.964349,0.0665173,1,3,0,336.954,3.23125
-338.331,0.847225,0.091802,2,3,0,338.523,3.73888
-338.68,0.95283,0.102026,1,1,0,338.889,3.82004
-339.8,0.479629,2.19621,1,1,0,339.821,2.31319
-339.8,0,12.2659,0,1,1,342.068,2.31319
-336.461,1,1.56608,1,1,0,338.174,3.03801
-336.461,0.140658,1.89044,1,1,0,337.37,3.03801
-336.514,0.999167,0.240714,3,11,0,336.63,3.10969
-336.478,0.998489,0.358196,3,9,0,336.684,2.91664
-336.46,0.999784,0.588617,2,7,0,336.487,2.94715
-336.46,0.999899,1.03236,1,1,0,336.462,2.94597
-336.464,0.997851,1.87865,1,1,0,336.471,2.93904
-336.464,0.00288,3.46757,1,1,0,336.841,2.93904
-336.695,0.996597,0.278086,3,11,0,336.973,3.23014
-336.573,0.998849,0.520026,1,3,0,336.75,3.15722
-336.756,0.985515,0.983734,3,7,0,336.772,3.26002
-336.813,0.993876,1.78419,2,3,0,336.877,3.28598
-336.813,1.40115e-016,3.31104,1,1,0,337.112,3.28598
-336.455,0.999855,0.280968,3,15,0,336.844,2.96189
-336.996,0.977269,0.535593,2,7,0,337.197,2.68371
-337.079,0.984307,0.94602,1,1,0,337.153,2.66305
-336.531,1,1.69459,1,1,0,336.833,2.86641
-336.531,0.0663818,3.15576,1,1,0,336.624,2.86641
-336.528,1,0.359857,2,3,0,336.532,2.86908
-336.486,0.989615,0.672752,3,7,0,336.84,3.07871
-336.452,1,1.20797,1,3,0,336.481,3.00695
-336.995,0.658473,2.2143,1,1,0,337.052,3.35936
-337.035,0.702358,1.50182,2,3,0,338.823,3.37407
-337.018,1,1.16254,2,3,0,337.142,3.36772
-337.018,0.155796,2.10058,1,1,0,337.547,3.36772
-336.584,0.997522,0.350902,4,15,0,337.596,3.16512
-336.472,0.995802,0.629897,1,3,0,336.688,3.05942
-336.708,0.966068,1.11443,2,3,0,336.778,3.23667
-340.343,0.231678,1.80034,1,1,0,340.348,4.17108
-339.516,1,0.392623,2,3,0,340.341,4.00217
-339.236,1,0.695446,1,1,0,339.566,3.94266
-336.761,1,1.2204,2,3,0,338.597,2.7545
-336.933,0.85251,2.12225,1,1,0,337.271,2.70042
-338.587,0.202991,2.48213,1,1,0,338.631,3.7988
-338.533,1,0.531976,1,1,0,338.638,3.7863
-342.757,0.775875,0.918932,2,3,0,343.051,4.6363
-341.965,1,0.885059,1,1,0,342.875,4.48636
-338.717,1,1.51,1,1,0,341.399,3.8284
-337.143,1,2.55536,1,1,0,338.519,3.41166
-337.143,1.62726e-018,4.2904,1,3,1,337.3,3.41166
-337.259,0.999236,0.591139,3,7,0,337.262,3.44949
-336.482,0.999907,0.993558,3,7,0,337.146,2.91254
-336.557,0.881114,1.66007,2,3,0,336.748,3.1457
-336.95,0.745242,2.06067,1,1,0,336.953,2.69585
-336.95,0.15106,1.83486,2,3,0,338.183,2.69585
-336.945,1,0.391852,2,3,0,336.963,2.69725
-336.622,1,0.649522,2,3,0,336.938,2.81228
-336.937,0.976944,1.06915,2,3,0,336.937,2.69958
-338.115,0.572847,1.65554,2,3,0,338.87,3.6862
-336.454,0.913536,0.989392,1,3,0,339.406,2.96301
-336.485,0.990507,1.3148,1,3,0,336.501,3.07697
-336.762,0.828352,2.07954,1,1,0,336.818,3.26324
-336.747,1,2.25307,1,1,0,336.991,3.25608
-336.747,7.75528e-075,3.60761,1,1,0,337.755,3.25608
-336.803,0.997118,0.594625,1,1,0,336.804,3.28166
-336.467,0.993633,0.948079,3,7,0,336.875,2.93425
-336.467,0.546198,1.4912,1,1,0,337.242,2.93425
-336.451,0.997857,0.861344,1,3,0,336.495,3.00578
-336.482,0.991265,1.36063,1,3,0,336.489,2.91145
-336.762,0.811218,2.10678,1,1,0,336.763,3.2629
-336.7,1,2.18887,1,1,0,336.92,3.23279
-336.7,0.0019435,3.42679,1,3,0,336.7,3.23279
-336.519,0.995877,0.616752,1,3,0,336.817,3.11391
-336.457,0.991099,0.958905,1,3,0,336.617,2.95439
-339.949,0.364355,1.46831,1,3,0,339.949,2.30107
-336.551,1,0.590304,2,7,0,340.02,2.85248
-337.154,0.800547,0.91905,3,7,0,338.863,3.41523
-336.963,1,0.936086,1,1,0,337.148,3.34705
-336.517,1,1.44661,1,1,0,336.819,3.11231
-336.577,0.950319,2.22508,1,1,0,336.577,2.83623
-336.577,0.0217399,3.07388,1,1,0,336.761,2.83623
-337.004,0.976151,0.62557,2,3,0,337.005,2.68169
-336.87,1,0.913983,1,1,0,337.014,2.7188
-339.021,0.388903,1.39633,1,1,0,339.125,2.38329
-339.058,0.996419,0.615286,1,1,0,339.265,2.37964
-337.62,1,0.930971,1,1,0,338.773,2.55784
-336.891,0.893988,1.41285,2,3,0,338.234,3.31891
-336.511,1,1.72776,1,1,0,336.738,3.10684
-336.511,0.119944,2.60319,1,1,0,336.675,3.10684
-336.477,1,0.685139,2,3,0,336.513,3.06644
-336.65,0.979048,1.03268,2,3,0,336.693,3.20583
-338.038,0.78193,1.48802,1,3,0,338.039,3.66718
-339.521,0.719815,1.45478,1,1,0,339.683,4.00311
-336.811,1,1.26093,1,3,0,339.171,3.28532
-336.811,0.222288,1.8803,1,1,0,337.675,3.28532
-336.45,0.999405,0.62602,3,7,0,336.858,2.98611
-336.856,0.913523,0.93193,1,3,0,337.249,3.30478
-338.124,0.833303,1.17358,1,3,0,338.158,3.68845
-336.69,0.999225,1.26654,1,3,0,337.855,3.22726
-336.508,0.980718,1.86866,1,3,0,336.588,2.88512
-336.508,0.00353521,2.65353,1,1,0,337.917,2.88512
-336.529,0.996419,0.602687,2,3,0,336.583,2.86791
-336.952,0.948762,0.882799,3,7,0,337.207,2.69544
-336.46,0.985665,1.17968,1,3,0,337.022,3.03634
-337.404,0.607719,1.68348,1,1,0,337.404,2.59528
-336.82,0.508792,1.19444,2,3,0,341.474,2.73447
-336.567,0.999971,0.708892,2,5,0,336.831,3.15287
-336.451,0.976295,1.03584,2,3,0,336.795,3.00166
-336.451,2.61159e-017,2.89046,1,1,0,336.953,3.00166
-336.451,1.11655e-038,6.74942,1,1,0,337.124,3.00166
-336.548,0.97363,0.665488,2,3,0,336.698,2.85418
-336.606,0.990655,0.646077,1,1,0,336.609,2.82052
-336.477,1,0.846528,1,3,0,336.571,2.91784
-336.456,1,1.31798,1,3,0,336.465,3.02609
-336.658,0.678886,2.23705,1,1,0,336.852,2.79536
-336.451,1,1.47069,1,1,0,336.52,2.97733
-336.451,1.69455e-020,2.6792,1,1,0,337.344,2.97733
-336.519,0.999349,0.21176,3,9,0,336.533,2.87588
-336.474,0.999429,0.395056,2,7,0,336.542,2.9227
-336.846,0.888478,0.745334,2,3,0,337.288,3.30019
-337.219,0.966467,0.99573,2,3,0,337.284,3.43686
-336.494,1,1.70323,1,1,0,336.8,3.08804
-336.494,1.12088e-040,3.22742,1,1,0,336.75,3.08804
-336.451,0.999875,0.274391,2,5,0,336.506,2.99942
-336.578,0.974178,0.524169,1,3,0,336.802,2.83568
-336.901,0.961292,0.919158,2,3,0,336.907,3.32301
-336.901,0.533032,1.53917,1,1,0,337.029,3.32301
-336.948,0.974353,0.706266,2,3,0,337.348,3.3415
-336.872,1,1.22455,2,3,0,336.98,2.718
-336.879,0.333415,2.27118,1,3,0,337.005,3.31391
-336.839,1,0.590965,1,1,0,336.904,3.29751
-336.574,0.978938,1.09244,2,3,0,336.936,3.15824
-336.574,0.0262292,1.88143,1,1,0,336.757,3.15824
-336.466,0.998764,0.211103,2,7,0,336.724,3.04817
-336.597,0.997104,0.386578,3,7,0,336.597,2.82495
-336.45,0.995077,0.697559,1,3,0,336.648,2.98732
-336.45,0.393192,1.23935,1,1,0,337.057,2.98732
-336.627,0.970545,0.413778,2,5,0,337.237,3.19205
-336.645,0.93445,0.683869,1,3,0,337.388,2.80136
-336.645,0.277768,1.01624,1,1,0,338.161,2.80136
-336.636,1,0.255834,1,1,0,336.646,2.80514
-336.894,0.985567,0.453617,2,3,0,336.925,2.71154
-336.465,0.997722,0.76697,1,3,0,336.861,2.93696
-336.465,0.629865,1.32766,1,3,0,336.936,2.93696
-337.022,0.720806,0.872677,2,3,0,338.443,3.36936
-336.755,1,0.730549,1,1,0,336.983,3.25965
-336.755,0.69381,1.25612,1,3,0,337.476,3.25965
-336.968,0.940934,0.981366,1,1,0,337.026,3.34903
-336.968,0.525187,1.43785,1,1,0,337.23,3.34903
-336.993,0.997005,0.737403,2,7,0,337.005,2.68458
-336.581,1,1.23784,1,1,0,336.849,2.83383
-336.581,0.194238,2.07743,1,1,0,336.613,2.83383
-336.452,0.988609,0.477975,1,3,0,336.773,2.97406
-336.542,0.975495,0.779549,1,3,0,336.596,3.13408
-336.542,0.0496706,1.22307,2,3,0,339.512,3.13408
-336.88,0.997315,0.205634,4,15,0,337.091,2.71586
-336.901,0.997865,0.34081,2,3,0,336.983,2.70949
-336.527,1,0.56164,2,3,0,336.888,2.86981
# Adaptation terminated
# Step size = 0.761007
# Diagonal elements of inverse mass matrix:
# 0.016529
-336.451,0.996413,0.761007,1,3,0,336.552,3.00388
-336.499,0.987659,0.761007,1,3,0,336.528,2.89316
-336.638,0.937085,0.761007,1,3,0,336.926,3.19876
-336.95,0.969992,0.761007,2,7,0,336.981,2.69588
-337.097,0.963598,0.761007,1,1,0,337.183,2.65892
-337.1,0.999749,0.761007,2,3,0,337.254,2.65823
-336.453,0.98048,0.761007,1,3,0,337.237,3.01441
-336.624,0.964639,0.761007,1,3,0,336.675,3.19028
-336.453,1,0.761007,2,3,0,336.592,2.96657
-336.472,0.993395,0.761007,1,3,0,336.496,3.0588
-336.86,0.930275,0.761007,1,3,0,336.943,3.3062
-336.613,0.932283,0.761007,1,3,0,337.549,2.81658
-339.161,0.41818,0.761007,2,7,0,342.302,3.92649
-336.452,0.940801,0.761007,2,3,0,340.203,3.01229
-337.609,0.761306,0.761007,1,3,0,338.179,3.55366
-337.17,1,0.761007,1,1,0,337.568,3.42072
-337.637,0.976862,0.761007,2,3,0,337.66,3.56143
-339.475,0.871983,0.761007,2,7,0,339.635,2.34092
-338.268,1,0.761007,1,1,0,339.404,2.46624
-336.906,1,0.761007,2,3,0,337.912,2.70828
-336.455,0.998879,0.761007,2,3,0,336.924,2.96022
-337.036,0.853928,0.761007,1,3,0,337.423,3.37411
-336.932,1,0.761007,2,3,0,337.076,3.33529
-336.61,0.937021,0.761007,1,3,0,337.669,2.81804
-336.786,0.95951,0.761007,1,1,0,336.794,2.74567
-337.067,0.932901,0.761007,1,1,0,337.096,2.66606
-337.283,0.9819,0.761007,2,3,0,337.386,2.61859
-336.451,0.98191,0.761007,1,3,0,337.415,3.0056
-336.699,0.943408,0.761007,1,3,0,336.809,2.77785
-337.031,0.974119,0.761007,2,3,0,337.041,2.67478
-337.37,0.657079,0.761007,2,7,0,339.66,3.48405
-337.543,0.974189,0.761007,1,1,0,337.648,3.53496
-338.491,0.875011,0.761007,1,1,0,338.498,3.77664
-337.636,1,0.761007,1,1,0,338.391,3.56128
-336.536,0.972581,0.761007,1,3,0,337.672,3.12849
-336.481,0.985151,0.761007,1,3,0,336.671,2.91268
-336.455,0.965623,0.761007,2,3,0,336.74,3.02138
-336.535,0.985116,0.761007,1,3,0,336.55,3.1279
-336.532,1,0.761007,1,1,0,336.55,3.12583
-338.219,0.813025,0.761007,2,3,0,338.379,3.71177
-336.499,0.96109,0.761007,1,3,0,338.498,3.09414
-336.813,0.964886,0.761007,2,7,0,336.813,2.73645
-336.49,1,0.761007,2,3,0,336.746,3.08376
-336.48,0.996495,0.761007,2,3,0,336.532,3.07099
-336.568,0.990467,0.761007,2,7,0,336.571,2.84182
-336.661,0.978769,0.761007,1,1,0,336.67,2.79399
-336.632,0.931728,0.761007,1,3,0,337.245,3.19506
-336.492,0.995333,0.761007,2,3,0,336.683,3.08595
-336.554,0.925335,0.761007,2,3,0,337.178,2.85026
-337.042,0.814201,0.761007,1,3,0,337.851,3.3765
-336.535,0.990448,0.761007,1,3,0,336.999,3.12826
-336.468,0.999863,0.761007,2,7,0,336.523,2.93218
-336.778,0.884617,0.761007,2,3,0,337.28,3.2706
-336.49,0.974986,0.761007,2,3,0,337.086,2.90255
-336.784,0.897694,0.761007,1,3,0,337.167,3.27297
-336.831,0.991836,0.761007,1,1,0,336.879,3.29384
-337.775,0.757795,0.761007,1,3,0,339.511,2.53352
-336.812,1,0.761007,1,1,0,337.53,2.73684
-336.482,0.986793,0.761007,2,3,0,336.916,2.91248
-336.454,0.996515,0.761007,1,3,0,336.507,3.01756
-338.822,0.567751,0.761007,1,3,0,340.187,3.852
-338.238,1,0.761007,1,1,0,338.86,3.71635
-337.684,1,0.761007,1,1,0,338.222,3.57441
-336.71,0.991117,0.761007,2,7,0,337.53,2.77332
-337.024,0.782103,0.761007,1,3,0,338.207,3.36985
-337.53,0.922852,0.761007,1,1,0,337.538,3.53123
-336.516,0.936019,0.761007,1,3,0,338.359,2.87848
-337.709,0.676226,0.761007,1,3,0,338.969,3.58121
-336.558,0.970888,0.761007,1,3,0,337.726,3.14655
-336.462,0.998729,0.761007,2,3,0,336.571,3.0401
-336.461,1,0.761007,2,7,0,336.462,2.94525
-336.451,0.838049,0.761007,2,3,0,337.817,3.0021
-336.451,1,0.761007,1,1,0,336.451,3.00182
-338.256,0.783495,0.761007,2,3,0,338.294,3.72084
-336.725,0.98734,0.761007,2,7,0,337.986,2.76774
-336.581,0.966339,0.761007,2,3,0,337.028,2.83381
-336.533,1,0.761007,1,1,0,336.579,2.86469
-336.521,0.969514,0.761007,1,3,0,336.761,3.11618
-336.472,0.989964,0.761007,1,3,0,336.623,2.92524
-336.469,1,0.761007,1,1,0,336.474,2.93073
-336.628,0.945879,0.761007,1,3,0,336.817,3.19295
-336.73,0.981689,0.761007,1,1,0,336.742,3.24786
-336.454,1,0.761007,2,3,0,336.679,2.96551
-337.211,0.901458,0.761007,2,3,0,337.396,2.6335
-336.775,1,0.761007,1,1,0,337.117,2.74945
-336.735,1,0.761007,1,1,0,336.821,2.76372
-336.881,0.965294,0.761007,1,1,0,336.917,2.71547
-336.543,1,0.761007,2,7,0,336.815,3.13469
-336.534,1,0.761007,1,1,0,336.555,3.12689
-336.485,0.995792,0.761007,2,3,0,336.582,3.07718
-336.455,0.99595,0.761007,1,3,0,336.517,2.95968
-336.47,0.994345,0.761007,1,3,0,336.498,3.05551
-336.646,0.97096,0.761007,1,3,0,336.668,3.20338
-337.01,0.964909,0.761007,2,7,0,337.038,2.68023
-336.641,0.935546,0.761007,2,3,0,337.565,2.80297
-336.927,0.97797,0.761007,2,3,0,336.932,2.70224
-336.897,1,0.761007,1,1,0,337.017,2.71081
-337.39,0.960662,0.761007,2,3,0,337.42,2.59792
-336.473,0.979419,0.761007,2,3,0,337.555,2.92405
-336.532,0.986488,0.761007,2,3,0,336.592,2.86601
-336.603,0.983948,0.761007,1,1,0,336.608,2.8219
-336.805,0.953533,0.761007,1,1,0,336.81,2.7392
-337.572,0.941283,0.761007,2,3,0,337.575,2.5658
-337.572,0.683485,0.761007,1,1,0,338.632,2.5658
-336.853,1,0.761007,2,7,0,337.479,3.30324
-336.481,0.968105,0.761007,1,3,0,337.164,2.91337
-336.492,0.985019,0.761007,1,3,0,336.597,3.08558
-336.45,0.998818,0.761007,1,3,0,336.501,2.99042
-336.451,0.999933,0.761007,1,3,0,336.451,2.98308
-336.626,0.956854,0.761007,1,3,0,336.719,3.19162
-336.955,0.946575,0.761007,2,3,0,337.204,3.3442
-337.027,0.988087,0.761007,1,1,0,337.097,3.37112
-336.772,1,0.761007,1,1,0,336.993,3.26791
-337.028,0.957232,0.761007,1,1,0,337.037,3.37139
-336.928,1,0.761007,1,1,0,337.069,3.33371
-336.763,0.886823,0.761007,2,7,0,338.003,2.75358
-336.641,1,0.761007,1,1,0,336.753,2.8032
-336.536,1,0.761007,1,1,0,336.62,2.86271
-336.561,0.994459,0.761007,1,1,0,336.574,2.84617
-336.877,0.856874,0.761007,1,3,0,337.548,3.31335
-336.913,0.997839,0.761007,2,7,0,336.914,2.70606
-336.913,0.7539,0.761007,1,1,0,337.722,2.70606
-337.253,0.917573,0.761007,1,1,0,337.302,2.62484
-336.631,1,0.761007,2,7,0,337.13,3.19432
-336.486,0.974727,0.761007,2,7,0,336.837,2.90758
-336.513,0.975299,0.761007,2,7,0,336.652,3.10877
-336.978,0.929701,0.761007,1,3,0,337.034,3.35282
-336.478,0.989065,0.761007,1,3,0,336.99,3.06839
-336.487,0.989667,0.761007,1,3,0,336.578,2.90668
-336.764,0.906774,0.761007,2,3,0,337.143,3.26375
