# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:50:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ydvg91xc.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation7\exponential_priors_delta_only-20240423005055.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-357.217,1,0.125,1,1,0,447.604,6.2745
-357.217,0,14.3855,0,1,1,357.601,6.2745
-357.217,0,2.43117,0,1,1,357.222,6.2745
-349.916,0.333333,0.239791,2,3,0,352.963,3.4691
-349.922,0.993872,0.0482795,4,15,0,350.238,3.42285
-349.934,0.999457,0.06824,3,7,0,349.943,3.5558
-350.359,0.904289,0.109858,1,3,0,350.707,3.0921
-350.26,1,0.14103,2,3,0,350.431,3.13321
-350.26,0.241591,0.253756,1,1,0,350.442,3.13321
-350.218,0.992103,0.0427432,3,7,0,350.787,3.15278
-349.926,0.949342,0.0778761,1,3,0,350.933,3.53272
-350.308,0.920316,0.125506,1,3,0,350.385,3.90292
-350.429,0.952037,0.185755,1,1,0,350.596,3.97238
-349.928,1,0.304516,1,1,0,350.083,3.53818
-349.928,1.39676e-009,0.579116,1,1,0,349.942,3.53818
-350.338,0.985468,0.0494398,2,7,0,350.633,3.92075
-350.046,0.979084,0.090759,2,3,0,350.699,3.70875
-352.455,0.581178,0.162383,2,3,0,352.772,4.77706
-351.415,0.996212,0.086383,2,3,0,352.69,4.40763
-350.026,0.858512,0.161865,2,3,0,351.394,3.68907
-349.933,0.994065,0.19936,1,3,0,349.971,3.39134
-349.933,0.0881066,0.36562,1,1,0,350.041,3.39134
-349.953,0.99651,0.0466484,2,7,0,350.114,3.5946
-349.97,0.999415,0.0864428,2,3,0,349.97,3.62057
-350.071,0.898497,0.159925,2,3,0,350.389,3.23806
-350.071,0.0637545,0.21952,1,1,0,351.112,3.23806
