# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:52:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\dp401uwj.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation8\exponential_priors_delta_only-20240423005211.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-376.219,1,0.125,3,7,0,458.065,5.25625
-376.219,0,14.3855,0,1,1,377.065,5.25625
-376.219,0,2.43117,0,1,1,376.458,5.25625
-375.652,0.99183,0.239791,2,3,0,375.9,3.72835
-375.652,0.0543593,0.31685,1,1,0,376.74,3.72835
-375.293,0.996075,0.029524,3,11,0,376.407,4.22738
-375.295,0.999867,0.0459888,3,11,0,375.303,4.1743
-375.358,0.992411,0.0783546,2,7,0,375.465,3.99484
-375.892,0.812772,0.136882,2,7,0,376.647,5.01923
-375.895,0.999874,0.139589,2,3,0,375.994,5.02128
-375.864,0.816314,0.261081,1,3,0,375.89,3.61664
-375.583,1,0.276027,1,1,0,375.642,4.74737
-375.583,0.00232766,0.523815,1,3,1,375.727,4.74737
-375.593,0.999945,0.0435219,2,3,0,375.595,4.75781
-376.077,0.986458,0.0836428,3,7,0,376.268,5.15684
-376.217,0.992654,0.153613,2,3,0,376.327,5.25542
-375.526,1,0.286044,1,3,0,375.617,3.81487
-375.526,0.000120013,0.540925,1,1,0,375.563,3.81487
-375.305,0.997847,0.0490044,2,7,0,375.7,4.31135
-375.345,0.98407,0.0926981,1,3,0,375.563,4.01677
-375.537,0.934596,0.166771,1,1,0,375.541,3.80643
-375.537,0.889627,0.256923,1,1,0,375.802,3.80643
-375.537,0.037057,0.344629,1,1,0,375.935,3.80643
-375.35,0.994449,0.0386128,3,9,0,376.213,4.43701
-375.294,0.995774,0.0709071,2,5,0,375.514,4.23541
-375.315,0.98903,0.12941,2,3,0,375.379,4.35002
-375.315,0.645192,0.229414,1,1,0,375.817,4.35002
-375.297,0.946794,0.153357,2,3,0,375.697,4.26859
-376.923,0.492291,0.239101,1,3,0,376.925,5.7007
-375.468,0.965865,0.105472,1,3,0,377.867,4.61845
-376.156,0.901179,0.172538,1,3,0,376.157,5.21275
-375.428,1,0.234854,1,1,0,375.877,4.56507
-375.428,4.28293e-087,0.415064,1,1,0,377.066,4.56507
-375.34,1,0.050236,4,15,0,375.426,4.02526
-375.82,0.943353,0.0890618,1,3,0,376.141,3.6376
-375.72,0.762377,0.134798,1,3,0,377.343,4.87657
-375.817,0.987977,0.126405,1,1,0,375.848,4.95904
-375.396,0.983069,0.212734,2,3,0,375.672,4.5181
-375.396,0.287551,0.350676,1,1,0,375.422,4.5181
-375.863,0.949276,0.0974282,1,3,0,376.127,4.99606
-375.862,1,0.147166,1,1,0,375.969,4.99499
-375.862,0.00964371,0.250914,1,1,0,377.219,4.99499
-375.406,0.999988,0.0359501,4,15,0,375.875,4.53397
-375.374,0.991014,0.0614266,2,7,0,375.88,3.97007
-375.598,0.975571,0.101864,3,7,0,375.799,4.76227
-375.585,1,0.161487,1,1,0,375.663,4.74972
-375.315,1,0.269826,1,1,0,375.383,4.08445
-375.315,1.86819e-014,0.447593,1,1,0,376.265,4.08445
-375.391,0.98979,0.0676203,3,7,0,375.725,3.94729
-375.435,0.99328,0.109732,1,1,0,375.439,3.89659
-375.78,0.86138,0.178353,1,1,0,375.822,3.65704
-376.527,0.729037,0.211469,2,3,0,376.878,5.4583
-378.014,0.78066,0.183863,1,1,0,378.044,6.32307
-377.426,1,0.18042,1,1,0,378.203,5.99284
-376.075,0.711175,0.293006,1,3,0,376.171,3.52893
-376.606,0.33974,0.244637,2,3,0,378.078,3.36103
-375.318,0.989185,0.0881649,3,7,0,377.022,4.07424
-377.48,0.718614,0.139039,2,7,0,377.693,3.16548
-377.477,1,0.118931,3,7,0,377.548,6.02184
-375.8,1,0.190674,2,3,0,376.854,3.64705
-375.8,0.000774045,0.303937,1,1,0,377.745,3.64705
-375.825,0.998974,0.0534683,1,1,0,375.835,3.63507
-375.84,0.936341,0.0851856,2,5,0,377.059,4.97791
-376.297,0.981382,0.117783,3,7,0,376.303,3.4519
-375.628,0.937741,0.178825,1,3,0,376.594,4.7919
-376.302,0.73998,0.245991,1,1,0,376.46,5.31263
-376.692,0.84222,0.220901,2,3,0,376.755,3.33839
-375.638,1,0.246802,1,1,0,376.353,3.73665
-375.638,0.0745721,0.384429,1,1,0,375.657,3.73665
-375.336,0.992373,0.0851065,2,7,0,375.822,4.03461
-375.302,0.994127,0.130566,2,3,0,375.396,4.29856
-375.655,0.751091,0.200102,2,3,0,376.207,4.81762
-375.523,0.804142,0.1846,2,3,0,377.095,3.81687
-375.474,1,0.190095,1,1,0,375.581,3.85836
-375.311,1,0.292249,1,1,0,375.335,4.33552
-375.959,0.327745,0.447287,1,1,0,376.622,5.07062
-375.312,0.991989,0.174422,1,3,0,375.816,4.33844
-376.28,0.421837,0.262187,1,1,0,376.42,3.45715
-376.28,0.817823,0.124971,1,1,0,376.944,3.45715
-375.348,0.950879,0.132321,2,3,0,376.654,4.01071
-376.075,0.723324,0.182398,1,1,0,376.086,3.52906
-375.439,1,0.159789,1,1,0,375.859,3.89295
-375.293,1,0.241616,1,1,0,375.345,4.23145
-375.373,0.897638,0.363885,1,1,0,375.42,4.47965
-375.373,6.91981e-028,0.447106,1,1,0,375.876,4.47965
-375.362,1,0.0960138,1,1,0,375.375,4.45939
-375.324,1,0.144362,1,1,0,375.354,4.375
-375.3,1,0.216228,1,1,0,375.315,4.28876
-375.3,0.449811,0.32266,1,1,0,375.577,4.28876
-375.398,0.976839,0.168109,2,3,0,375.449,3.93887
-375.398,0.20453,0.239449,1,1,0,376.151,3.93887
-377.31,0.916345,0.0790422,3,7,0,377.872,3.19858
-376.421,0.943248,0.100483,3,7,0,378.44,3.41334
-377.469,0.907479,0.134048,2,3,0,377.626,3.16754
-376.043,1,0.16686,1,1,0,377.066,3.54124
-375.294,1,0.246149,1,1,0,375.536,4.24261
-375.723,0.486816,0.361896,1,1,0,376.069,3.68719
-376.314,0.683316,0.20618,1,1,0,376.627,3.44629
-376.022,0.692703,0.169188,1,3,0,377.547,5.11728
-375.84,0.860896,0.141455,1,3,0,377.624,3.62758
-375.84,2.39544e-009,2.57278,1,1,0,378.977,3.62758
-375.84,6.58267e-007,6.00761,1,2,1,376.543,3.62758
-375.917,0.965257,0.592347,2,3,0,376.537,3.59311
-376.314,0.979956,0.56238,2,3,0,376.417,3.44622
-375.366,0.964814,0.713528,2,7,0,376.939,3.98171
-375.983,0.772845,0.997901,1,3,0,377.262,5.08864
-375.667,1,0.841203,3,7,0,375.997,3.71904
-375.426,1,1.48123,2,3,0,375.773,4.56282
-375.426,0.0678747,2.70163,1,1,0,375.558,4.56282
-375.298,0.998391,0.264737,3,15,0,375.809,4.14828
-375.294,0.998488,0.492626,2,7,0,375.364,4.24473
-375.314,0.995552,0.926303,2,3,0,375.338,4.34767
-375.479,0.930529,1.732,1,1,0,375.484,4.63177
-375.479,1.49893e-006,2.63913,1,1,0,376.206,4.63177
-375.356,0.998392,0.220583,5,31,0,376.157,4.44904
-376.288,0.967551,0.420304,2,5,0,377.218,5.30311
-376.516,0.989063,0.724168,1,1,0,376.518,5.45137
-376.945,0.822219,1.32461,2,3,0,378.941,3.27686
-375.376,1,1.44986,1,1,0,376.261,3.96794
-375.376,0.17508,2.70682,1,1,0,375.647,3.96794
-375.454,0.996135,0.427899,1,3,0,375.512,3.87716
-375.47,0.99806,0.790769,1,1,0,375.483,3.8621
-376.172,0.862609,1.45543,2,3,0,376.224,3.49359
-376.12,1,1.78911,1,1,0,376.7,3.51245
-375.426,0.666681,3.25706,2,3,0,375.426,4.5628
-375.854,0.758982,2.26498,1,1,0,375.999,4.98887
-375.854,0.00737477,2.05871,2,3,0,387.173,4.98887
-375.293,0.998788,0.227014,5,31,0,376.54,4.21094
-375.321,0.99901,0.411004,2,7,0,375.362,4.06698
-375.968,0.916345,0.737243,1,3,0,376.527,3.57107
-375.31,0.998477,1.04434,2,3,0,376.004,4.0992
-375.928,0.665245,1.83845,1,1,0,375.986,3.58836
-376.042,0.956598,1.30674,1,1,0,376.251,3.54142
-375.569,1,2.03424,1,1,0,375.996,3.7829
-375.603,0.917295,3.52749,1,1,0,376.324,3.75953
-375.603,4.48001e-006,4.87827,1,1,0,375.681,3.75953
-375.664,0.998411,0.61319,2,3,0,375.668,3.72087
-375.843,0.876154,1.055,2,3,0,376.76,3.62617
-375.483,1,1.31483,1,1,0,375.745,3.8502
-375.32,1,2.23919,1,1,0,375.352,4.36414
-375.294,1,3.78266,1,1,0,375.294,4.18186
-375.294,1.23656e-007,6.33997,1,1,0,375.806,4.18186
-375.463,0.985666,0.872044,2,3,0,375.463,3.86895
-375.35,0.982314,1.41492,2,3,0,375.552,4.43742
-375.39,0.989575,2.26093,1,3,0,375.39,3.94889
-375.39,0.0770854,3.65265,1,3,1,375.39,3.94889
-375.393,0.99973,0.642775,1,1,0,375.399,3.94443
-375.558,0.964483,1.06612,1,1,0,375.559,3.79051
-375.484,1,1.61408,1,1,0,375.614,3.84963
-375.484,0.00267041,2.64339,2,3,0,377.035,3.84963
-375.47,1,0.409814,2,3,0,375.485,3.8621
-375.303,0.991398,0.672727,3,7,0,375.785,4.12499
-376.153,0.777557,1.0753,1,3,0,376.986,5.21114
-376.396,0.98802,1.04209,2,7,0,376.398,3.42108
-376.419,0.985197,1.63797,1,1,0,377.062,3.41422
-375.437,1,2.54324,1,1,0,375.945,3.89449
-375.439,0.333521,4.06093,1,3,1,375.571,4.58095
-375.534,0.974228,1.43549,1,1,0,375.561,4.69544
-375.534,0.0706861,2.1584,1,1,0,376.143,4.69544
-375.457,0.993951,0.431953,2,7,0,376.076,3.87483
-375.438,1,0.679899,2,3,0,375.461,3.89389
-375.362,1,1.07858,1,1,0,375.423,3.98784
-377.684,0.146513,1.70168,2,3,0,378.128,6.13854
-376.038,0.999922,0.417378,4,15,0,377.751,3.54321
-375.34,0.995361,0.658397,3,7,0,376.289,4.41464
-375.518,0.944623,1.02306,1,3,0,375.887,3.82121
-375.406,1,1.41911,2,3,0,375.482,4.53402
-377.445,0.345536,2.20624,1,1,0,377.517,6.00366
-375.849,0.97179,0.855411,2,5,0,378.066,4.98475
-375.726,0.965905,1.25052,2,3,0,376.388,4.88215
-375.671,1,1.79824,2,3,0,375.776,3.71668
-375.671,0.199541,2.76506,1,1,0,375.719,3.71668
-375.929,0.963343,0.807431,2,3,0,376.205,3.58765
-375.651,0.835539,1.15077,2,3,0,377.155,4.81417
-376.077,0.925761,1.25766,1,1,0,376.082,5.1572
-375.902,1,1.65027,1,1,0,376.204,5.02635
-375.339,1,2.51009,1,1,0,375.602,4.41351
-375.339,0.0899667,3.80163,1,3,0,375.34,4.41351
-375.386,0.994883,0.922869,2,3,0,375.415,4.50213
-375.786,0.944072,1.38451,2,3,0,375.959,3.6543
-375.407,1,1.87001,1,3,0,375.589,4.53567
-375.979,0.419053,2.81286,1,1,0,376.294,3.56665
-375.363,0.981826,1.34295,1,3,0,376.047,4.46101
-375.363,0.451363,1.94469,1,1,0,376.369,4.46101
-375.356,1,0.997379,1,1,0,375.369,4.44888
-376.794,0.686694,1.49286,1,3,0,376.87,3.31285
-375.883,1,1.21521,2,7,0,376.566,5.01222
-375.774,1,1.81033,2,3,0,375.957,3.66031
-375.774,0.270155,2.687,1,1,0,375.8,3.66031
-376.767,0.767301,0.988831,2,3,0,378.182,3.31953
-375.783,1,0.942933,3,7,0,376.583,3.65551
-377.765,0.390031,1.39604,1,1,0,377.938,3.11386
-377.014,1,0.654004,1,1,0,377.688,3.26126
-376.09,1,0.966389,1,1,0,376.825,3.5234
-375.383,1,1.4231,1,1,0,375.811,3.95808
-378.073,0.0619879,2.08862,1,1,0,379.117,3.06275
-378.484,0.965363,0.539449,1,1,0,378.554,3.00054
-375.308,1,0.743371,2,7,0,378.329,4.32714
-376.488,0.860962,1.08855,2,3,0,376.507,5.43387
-375.31,1,1.23271,2,3,0,376.35,4.3336
-375.494,0.972126,0.89777,1,3,0,375.539,4.65029
-375.494,0,12.2767,0,1,1,375.498,4.65029
-375.494,0.43799,2.04384,1,1,0,376.268,4.65029
-375.555,0.995511,0.642111,1,1,0,375.556,4.71826
-375.548,1,0.927844,2,3,0,375.594,4.711
-375.406,1,1.52603,1,1,0,375.532,4.53313
-375.406,3.8009e-006,2.68379,1,1,0,375.649,4.53313
-375.562,0.998944,0.218077,3,13,0,375.711,3.78748
-376.174,0.988251,0.393145,3,7,0,376.232,3.49305
-376.818,0.899921,0.701715,1,1,0,376.827,3.30699
-376.027,1,0.959071,2,7,0,376.804,5.12083
-375.435,1,1.80848,2,3,0,375.583,3.89623
-375.435,2.77899e-027,3.41147,1,1,0,377.386,3.89623
-375.302,0.998225,0.278932,2,7,0,375.618,4.12961
-375.324,0.998117,0.527477,1,3,0,375.337,4.0596
-375.348,0.994303,0.992096,1,1,0,375.351,4.01166
-376.042,0.520735,1.83158,1,1,0,376.3,3.54179
-375.467,0.984648,0.789801,2,3,0,376.213,3.86552
-376.07,0.773648,1.4084,2,3,0,376.189,3.53086
-375.421,1,1.32062,1,1,0,375.805,3.91125
-375.421,0.150317,2.43548,1,1,0,375.586,3.91125
-375.526,0.994774,0.360689,3,9,0,375.741,4.68678
-375.471,1,0.656006,1,1,0,375.523,4.62248
-375.471,0.681647,1.1996,1,3,0,376.977,4.62248
-375.571,0.921218,0.867716,1,3,0,376.403,3.78111
-375.37,0.992802,1.25157,2,3,0,375.665,4.47517
-375.537,0.859566,2.19759,1,1,0,375.672,4.69885
-375.537,1.41568e-027,2.62904,1,1,0,376.525,4.69885
-375.45,0.996577,0.286216,3,11,0,376.033,3.88187
-375.793,0.982538,0.507017,2,3,0,375.796,3.6506
-375.326,0.944126,0.856103,1,3,0,376.292,4.38149
-375.294,0.986585,1.2911,2,3,0,375.377,4.24636
-375.294,0.853254,2.1684,1,1,0,375.319,4.24636
-375.294,4.95535e-009,2.52895,1,1,0,376.19,4.24636
-375.33,0.998724,0.306552,2,7,0,375.382,4.39224
-375.346,0.999296,0.530991,2,3,0,375.352,4.42848
-376.213,0.905835,0.913133,2,3,0,376.259,5.25229
-375.621,1,1.22243,1,1,0,376.085,4.78549
-375.621,0.00548712,2.07483,1,1,0,376.115,4.78549
-375.629,0.999863,0.276877,2,3,0,375.645,4.7931
-375.642,0.999835,0.471225,2,3,0,375.651,4.80571
