# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:53:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\x5_htrpi.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.6\realisation9\exponential_priors_delta_only-20240423005321.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-415.639,1,0.0625,1,1,0,467.307,1.53334
-415.639,0,14.3855,0,1,1,416.439,1.53334
-415.639,0,2.43117,0,1,1,416.11,1.53334
-415.639,2.58128e-017,0.239791,2,3,0,415.865,1.53334
-417.28,0.971498,0.0186273,1,1,0,417.301,1.51023
-409.795,0.987373,0.0236299,2,3,0,418.71,1.62493
-393.225,1,0.0356253,2,3,0,409.035,2.0157
-388.968,1,0.060466,1,1,0,392.872,2.17735
-384.237,1,0.107911,1,1,0,388.871,2.42507
-384.806,0.271045,0.198539,2,7,0,387.061,12.485
-384.56,0.999932,0.0370712,3,7,0,385.52,12.1908
-384.372,0.998628,0.0701556,1,1,0,384.567,11.9724
-384.415,1,0.133108,1,1,0,384.636,12.0223
-384.011,0.705112,0.253992,2,3,0,384.029,2.43972
-375.522,0.924858,0.192791,2,3,0,379.399,3.85455
-375.522,0.06608,0.291012,1,1,0,376.473,3.85455
-375.423,0.999806,0.031176,4,17,0,375.595,4.641
-375.431,0.999787,0.059895,1,1,0,375.431,4.65405
-376.314,0.921795,0.114176,3,7,0,377.318,3.44489
-376.314,0.696736,0.170676,1,1,0,377.1,3.44489
-375.924,1,0.129717,1,1,0,376.273,3.6012
-375.325,1,0.24298,2,3,0,375.563,4.1491
-376.771,0.150656,0.450656,1,1,0,377.348,5.87049
-376.846,0.998471,0.0700857,1,1,0,376.859,5.92472
-377.418,0.988232,0.129543,2,3,0,377.423,6.32102
-375.315,0.446014,0.230197,2,3,0,376.747,4.36134
