# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:54:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\n8xwq2p6.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation0\exponential_priors_delta_only-20240423005448.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-286.941,1,0.0625,3,7,0,343.231,1.67112
-286.941,0,14.3855,0,1,1,287.444,1.67112
-286.941,0,2.43117,0,1,1,286.966,1.67112
-286.941,1.1854e-027,0.239791,1,1,0,287.177,1.67112
-287.181,0.998212,0.0186273,2,3,0,287.335,1.66591
-276.679,0.995112,0.025589,4,15,0,288.688,3.10507
-275.403,1,0.0395888,2,3,0,276.691,2.94276
-275.858,0.950095,0.0673109,1,1,0,275.971,3.00373
-276.081,0.945004,0.102796,1,1,0,276.738,3.03219
-275.184,1,0.158939,1,3,0,275.234,2.12565
-275.184,5.5857e-024,0.297444,1,1,0,275.887,2.12565
-274.502,0.991259,0.0238614,1,3,0,275.724,2.19487
-273.579,0.979272,0.0443781,2,5,0,275.257,2.58028
-273.481,0.999714,0.0797391,2,7,0,273.559,2.41643
-273.481,0.0605847,0.152628,1,1,0,274.752,2.41643
-273.451,0.999918,0.0158534,3,11,0,273.505,2.48896
-273.505,0.995378,0.0306666,2,7,0,273.706,2.54263
-273.49,0.996515,0.0581319,2,5,0,273.558,2.4102
-273.484,1,0.109747,2,3,0,273.487,2.52803
-273.484,3.60806e-012,0.207601,1,1,0,274.718,2.52803
-273.483,1,0.0197338,2,3,0,273.484,2.5269
-274.203,0.973534,0.0375509,2,7,0,274.434,2.74794
-274.148,1,0.0654719,1,1,0,274.27,2.73677
-273.484,1,0.122208,1,1,0,273.842,2.52777
-273.484,0.254948,0.225806,1,1,0,273.787,2.52777
-273.473,1,0.049144,2,3,0,273.483,2.51819
-273.456,1,0.0906153,2,3,0,273.468,2.44177
-273.456,0.168962,0.165392,1,1,0,273.997,2.44177
-273.878,0.978319,0.0295337,2,7,0,274.747,2.67553
-273.839,0.976498,0.0507482,2,3,0,274.37,2.66531
-274.51,0.86282,0.0859923,1,1,0,274.515,2.80529
-273.633,1,0.106078,1,1,0,274.219,2.60208
-276.186,0.0236708,0.188699,1,1,0,277.557,2.04967
-276.098,1,0.0244858,1,1,0,276.218,2.0556
-273.813,0.914027,0.0436613,1,3,0,277.795,2.30179
-273.698,1,0.0615265,1,1,0,273.804,2.32917
-273.623,1,0.107903,2,3,0,273.678,2.59831
-273.62,1,0.187567,1,1,0,273.824,2.59703
-273.62,1.48401e-052,0.323245,1,1,0,273.745,2.59703
-273.554,0.999853,0.0431775,2,3,0,273.63,2.56918
-273.783,0.905677,0.0745772,2,3,0,274.563,2.3083
-274.825,0.816364,0.100845,2,3,0,274.991,2.85746
-273.939,0.922939,0.108649,2,3,0,275.358,2.69048
-273.858,1,0.152193,1,3,0,273.877,2.2922
-273.858,6.57902e-006,0.256342,1,1,0,273.901,2.2922
-273.494,1,0.0373756,3,7,0,273.85,2.40712
-273.864,0.858672,0.0630937,2,3,0,275.029,2.29106
-273.775,1,0.0752506,1,1,0,273.894,2.31029
-273.694,0.984721,0.125472,2,3,0,273.848,2.62311
-273.659,1,0.200339,1,1,0,273.957,2.61117
-273.659,3.9544e-039,0.329491,1,1,0,273.676,2.61117
-273.646,0.997855,0.0517763,3,7,0,273.778,2.34391
-273.546,1,0.084906,1,1,0,273.63,2.37993
-273.564,0.986758,0.139012,1,3,0,273.579,2.57401
-273.564,1.962e-006,0.21936,1,1,0,273.89,2.57401
-273.454,0.996855,0.0362085,3,15,0,273.721,2.44417
-274.039,0.861362,0.0586017,1,3,0,275.056,2.71362
-274.06,0.997037,0.0694607,1,1,0,274.143,2.71818
-274.114,0.980557,0.111322,1,1,0,274.346,2.72969
-274.163,0.958364,0.170982,1,1,0,274.793,2.74001
-274.163,4.74984e-036,0.248718,1,1,0,274.453,2.74001
-273.984,0.951377,0.0437315,2,5,0,275.807,2.26848
-273.593,1,0.0628582,3,7,0,273.96,2.58652
-274.648,0.666867,0.0999912,2,3,0,276.029,2.82882
-274.469,0.795793,0.0769801,1,3,0,277.779,2.19885
-274.726,0.933619,0.0784156,1,1,0,274.927,2.16977
-274.228,1,0.107213,2,3,0,274.77,2.75308
-274.228,0.0114689,0.168199,1,1,0,274.629,2.75308
-274.223,0.995055,0.0324681,2,3,0,274.499,2.75209
-274.596,0.923103,0.0504777,2,5,0,276.161,2.18403
-273.87,0.999612,0.067183,3,7,0,274.638,2.6735
-273.666,0.744809,0.104513,2,3,0,275.12,2.61363
-273.461,0.988055,0.0954973,1,3,0,273.668,2.43525
-273.448,1,0.144099,1,1,0,273.452,2.48239
-273.448,0.443566,0.221853,1,1,0,273.55,2.48239
-273.447,1,0.109417,1,1,0,273.448,2.47486
-274.667,0.339685,0.167922,1,1,0,274.868,2.83194
-274.327,1,0.0677225,2,3,0,274.658,2.77207
-273.583,1,0.103716,2,3,0,274.081,2.58229
-273.583,0.309129,0.158159,1,1,0,273.794,2.58229
-273.517,0.957262,0.0608333,1,3,0,274.129,2.394
-274.053,0.8131,0.0851005,2,3,0,274.804,2.25691
-273.601,1,0.0893371,1,1,0,273.918,2.3586
-273.473,1,0.135182,1,1,0,273.547,2.42282
-273.473,7.99619e-027,0.203739,1,1,0,277.113,2.42282
-273.526,0.997344,0.0439123,2,5,0,273.55,2.55464
-273.528,0.985026,0.065924,3,7,0,273.713,2.3882
-274.075,0.821122,0.0962836,1,1,0,274.078,2.25319
-274.59,0.795984,0.102389,1,1,0,274.826,2.18465
-274.59,0.131184,0.103721,1,1,0,277.081,2.18465
-273.521,0.992251,0.029757,2,5,0,275.105,2.39192
-273.854,0.967571,0.0438999,2,5,0,274.3,2.66927
-273.549,0.93934,0.0616104,3,7,0,274.916,2.56684
-273.456,1,0.0817648,2,3,0,273.529,2.4415
-273.456,0.0503618,0.121199,1,1,0,275.476,2.4415
-273.455,1,0.0307088,1,1,0,273.456,2.44285
-273.606,0.979627,0.0455487,1,3,0,273.804,2.35688
-274.347,0.937152,0.0648516,3,7,0,274.405,2.77592
-274.033,1,0.0851591,1,1,0,274.346,2.71226
-274.868,0.75309,0.125129,2,3,0,275.121,2.86414
-274.868,1.04304e-033,3.74339,1,3,1,274.884,2.86414
-274.868,0,8.74106,0,1,1,275.6,2.86414
-274.76,1,0.861863,1,1,0,274.967,2.84705
-274.238,1,0.897633,1,1,0,274.7,2.75495
-274.701,0.905901,1.2141,1,1,0,274.787,2.83748
-273.558,0.864072,1.43419,2,3,0,275.782,2.57102
-273.492,0.652423,1.59804,2,3,0,274.496,2.534
-274.031,0.88536,0.958015,2,3,0,274.75,2.26042
-275.15,0.698025,1.20923,1,1,0,275.209,2.12867
-275.678,0.970587,0.861877,2,3,0,275.815,2.08556
-273.475,1,1.47045,1,1,0,274.702,2.421
-274.008,0.500506,2.7759,1,1,0,274.205,2.70669
-274.027,0.996596,1.08942,1,1,0,274.13,2.7109
-273.764,1,2.04963,1,3,0,273.828,2.31276
-273.764,4.46475e-005,3.88536,1,1,0,275.485,2.31276
-273.778,0.998841,0.330526,2,3,0,273.842,2.30947
-273.628,0.978046,0.629715,2,5,0,274.332,2.60032
-273.449,0.993367,1.11798,1,3,0,273.68,2.45624
-273.449,0.873751,2.06422,1,1,0,273.509,2.45624
-273.449,0.0680328,2.63719,1,1,0,273.818,2.45624
-273.611,0.990693,0.303983,4,15,0,274.775,2.35503
-273.459,0.990249,0.556125,1,3,0,273.864,2.43742
-273.456,0.971697,1.00656,3,7,0,273.661,2.44203
-273.533,0.563002,1.70976,2,3,0,274.357,2.55878
-273.453,0.993966,0.886681,3,7,0,273.627,2.49339
-273.707,0.894422,1.59342,1,1,0,273.707,2.62725
-273.707,0.181069,2.13885,1,1,0,274.072,2.62725
-273.509,0.992909,0.385261,2,7,0,274.244,2.54473
-273.536,0.99561,0.685287,3,7,0,273.68,2.38445
-273.776,0.975799,1.21636,2,3,0,273.779,2.30988
-274.186,0.40107,2.02559,2,3,0,274.581,2.23635
-273.491,0.994944,0.70221,2,5,0,274.36,2.53304
-273.772,0.96636,1.2265,2,3,0,273.798,2.31096
-273.453,1,1.96677,1,1,0,273.578,2.44678
-273.453,0.000593305,3.4217,1,1,0,273.86,2.44678
-274.534,0.976356,0.426227,4,15,0,274.876,2.80949
-273.457,0.992337,0.699397,2,5,0,274.731,2.44002
-273.983,0.861476,1.1868,1,3,0,274.226,2.70095
-273.983,0.665523,1.42718,1,1,0,274.987,2.70095
-273.777,1,1.03848,1,1,0,273.963,2.64842
-273.849,0.964802,1.76944,1,1,0,274.022,2.66807
-273.849,0.272685,2.73782,1,3,0,273.864,2.66807
-273.495,0.930655,0.749747,1,3,0,275.146,2.40677
-274.673,0.800575,1.06573,1,3,0,274.829,2.17543
-274.376,1,1.09483,1,1,0,274.764,2.21035
-273.473,1,1.82851,1,1,0,273.862,2.42265
-273.473,9.52515e-015,3.03163,1,1,0,275.45,2.42265
-273.486,0.994359,0.450276,4,15,0,273.765,2.41266
-273.452,1,0.738363,2,3,0,273.483,2.44832
-273.628,0.972527,1.21872,2,3,0,273.653,2.60024
-274.072,0.780564,1.87263,1,1,0,274.199,2.7207
-273.452,1,1.82508,1,1,0,273.715,2.44836
-273.69,0.697491,2.96412,1,1,0,273.83,2.62192
-273.609,1,2.37747,1,1,0,273.805,2.59275
-273.609,2.36995e-027,3.83017,1,1,0,273.911,2.59275
-273.664,0.994924,0.626108,2,5,0,273.797,2.33857
-273.691,0.998228,0.999314,2,3,0,273.726,2.33112
-273.447,1,1.59745,1,3,0,273.575,2.47327
-273.447,1.78141e-065,2.54883,1,1,0,281.937,2.47327
-273.447,1,0.43636,3,9,0,273.447,2.46742
-273.494,0.990234,0.69761,1,3,0,273.595,2.535
-274.57,0.81168,1.08539,1,3,0,274.82,2.81557
-274.57,0.744058,1.13674,1,1,0,275.973,2.81557
-273.999,1,1.02705,1,1,0,274.481,2.7045
-273.958,1,1.61555,1,1,0,274.197,2.69498
-273.958,0.39094,2.52802,1,1,0,274.938,2.69498
-273.871,1,1.07035,1,1,0,273.998,2.67364
-273.871,0.256121,1.6701,1,1,0,276.058,2.67364
-273.808,1,0.537914,1,1,0,273.869,2.65692
-273.694,1,0.838239,1,1,0,273.798,2.62318
-273.694,0.472994,1.29989,1,3,0,276.567,2.62318
-273.464,0.999443,0.670184,3,7,0,273.728,2.43166
-273.539,0.972791,1.03431,1,3,0,273.672,2.5615
-274.265,0.766098,1.50407,1,1,0,274.268,2.76028
-273.51,0.985664,1.42664,2,3,0,274.297,2.39758
-273.51,0.280854,2.11774,1,1,0,274.039,2.39758
-273.448,0.984264,0.750039,3,7,0,273.832,2.459
-273.447,0.977347,1.10924,2,3,0,273.603,2.46502
-273.701,0.921516,1.61142,2,3,0,273.71,2.3285
-273.701,0.318855,2.0861,1,1,0,274.057,2.3285
-273.881,0.986875,0.813046,3,7,0,274.022,2.28755
-273.527,0.962395,1.19861,1,3,0,274.118,2.55514
-274.286,0.786468,1.6775,2,3,0,274.293,2.76434
-273.708,1,1.65783,1,1,0,274.13,2.62752
-273.708,1.42458e-006,2.4847,1,1,0,274.783,2.62752
-273.797,0.992545,0.532598,2,3,0,273.928,2.65383
-273.46,0.953484,0.787908,1,3,0,274.525,2.43616
-273.583,0.940751,1.0773,2,3,0,273.877,2.58211
-273.548,1,1.43332,1,1,0,273.602,2.56644
-273.448,1,2.12936,1,1,0,273.483,2.47866
-273.59,0.763885,3.15208,1,1,0,273.729,2.36235
-273.59,0.059554,2.97656,1,1,0,273.664,2.36235
-273.666,0.897878,0.747727,1,3,0,275.083,2.61388
-274.086,0.971271,0.913523,3,7,0,274.134,2.25155
-274.533,0.951243,1.27746,2,3,0,274.691,2.19127
-273.592,1,1.71614,2,3,0,274.009,2.36181
-273.527,1,2.51649,1,1,0,273.527,2.55514
-273.549,0.311724,3.67805,2,3,0,273.652,2.37856
-273.549,0.248899,1.51728,1,1,0,275.03,2.37856
-273.636,0.982012,0.562166,2,5,0,274.09,2.60323
-273.636,2.85343e-030,3.18508,1,1,0,275.233,2.60323
-273.636,0,7.43736,0,1,1,274.148,2.60323
-273.935,0.964494,0.733319,2,3,0,274.214,2.68943
-274.721,0.983411,0.694805,3,7,0,274.75,2.84069
-276.077,0.87359,0.890159,3,7,0,278.075,2.05702
-278.098,0.652812,0.948794,1,1,0,278.219,1.94412
-278.118,0.998543,0.549893,1,1,0,278.418,1.94321
-276.736,1,0.953739,1,1,0,278.146,2.0154
-276.088,1,1.72859,1,1,0,278.037,2.05627
-276.088,3.77435e-008,3.20526,1,1,0,276.119,2.05627
-276.178,0.998667,0.254561,1,1,0,276.184,2.05019
-275.822,1,0.479405,2,3,0,276.171,2.07489
-276.336,0.90801,0.911428,1,1,0,276.602,2.03993
-273.71,0.906352,1.29901,1,3,0,276.735,2.62821
-274.329,0.739916,1.84187,1,1,0,274.462,2.77256
-274.217,1,1.55674,1,1,0,274.55,2.75089
-273.518,1,2.94141,1,1,0,273.543,2.39323
-273.518,4.28266e-018,5.51432,1,1,0,273.707,2.39323
-273.944,0.983345,0.494894,2,5,0,274.244,2.6916
-273.586,0.962285,0.887959,2,3,0,274.501,2.58328
-273.586,0.871006,1.48355,1,1,0,273.878,2.58328
-274.586,0.600569,1.87762,1,1,0,274.666,2.81833
-273.54,0.999509,1.07176,2,7,0,274.399,2.38242
-273.481,0.997971,1.97003,2,3,0,273.508,2.52532
-273.481,0.00685879,3.56908,1,1,0,274.181,2.52532
-273.48,0.995828,0.377148,3,11,0,273.801,2.41734
-274.363,0.881604,0.682111,1,3,0,275.466,2.21208
-274.03,1,0.886283,1,1,0,274.325,2.26058
-273.659,1,1.59447,1,1,0,273.943,2.34013
-273.659,4.45993e-005,2.84057,1,1,0,275.203,2.34013
-273.928,0.99794,0.324125,4,15,0,274.044,2.2787
-273.852,1,0.576308,1,1,0,273.926,2.29355
-273.489,0.935751,1.0207,2,3,0,274.528,2.53137
-274.305,0.804721,1.5085,1,3,0,274.386,2.21972
-273.529,0.696253,1.56537,2,3,0,275.248,2.388
-273.447,0.999076,1.22052,1,3,0,273.533,2.47582
-273.447,0.087646,2.10486,1,1,0,274.285,2.47582
-274.242,0.988803,0.340109,3,11,0,274.447,2.7558
-274.266,0.998921,0.571987,1,1,0,274.294,2.7605
-273.451,0.965207,0.979186,1,3,0,274.681,2.48984
-273.473,0.987414,1.52666,2,3,0,273.5,2.42266
-273.473,0.298861,2.4999,1,1,0,273.715,2.42266
-273.47,0.999794,0.730372,3,7,0,273.486,2.51519
-273.475,0.998702,1.2307,1,1,0,273.48,2.52018
-275.629,0.273261,2.05254,1,1,0,275.709,2.9736
-275.813,0.992809,0.579038,1,1,0,275.846,2.99797
-274.788,0.975802,0.95001,2,3,0,276.433,2.85164
-274.082,1,1.48575,1,1,0,274.685,2.72291
-274.082,0.488622,2.4466,1,1,0,274.125,2.72291
-273.548,0.943505,1.18909,1,3,0,274.562,2.37903
# Adaptation terminated
# Step size = 1.19414
# Diagonal elements of inverse mass matrix:
# 0.00474502
-273.548,0.737715,1.19414,1,3,0,274.684,2.37903
-273.868,0.971388,1.19414,2,3,0,273.868,2.29026
-273.529,0.950832,1.19414,1,3,0,274.182,2.55659
-273.807,0.957902,1.19414,1,3,0,273.81,2.65682
-273.449,0.768564,1.19414,2,3,0,275.828,2.48372
-273.585,0.98154,1.19414,2,3,0,273.604,2.36415
-273.9,0.920497,1.19414,1,1,0,273.902,2.28397
-273.733,1,1.19414,1,1,0,273.898,2.32033
-273.707,1,1.19414,1,1,0,273.787,2.32682
-273.532,0.959236,1.19414,1,3,0,273.986,2.55785
-273.475,0.988936,1.19414,1,3,0,273.627,2.42076
-273.971,0.857362,1.19414,1,3,0,274.326,2.69801
-273.836,1,1.19414,1,1,0,273.995,2.66453
-273.642,0.871022,1.19414,2,3,0,275.259,2.3451
-273.766,0.989303,1.19414,2,3,0,273.793,2.31232
-274.534,0.93604,1.19414,2,3,0,274.541,2.19104
-273.764,1,1.19414,1,1,0,274.328,2.31283
-273.525,1,1.19414,1,1,0,273.702,2.38972
-273.555,0.967249,1.19414,1,3,0,273.772,2.56949
-274.825,0.824832,1.19414,2,3,0,275.228,2.85752
-274.393,1,1.19414,1,1,0,274.836,2.78429
-273.82,1,1.19414,1,1,0,274.279,2.66026
-273.452,1,1.19414,2,3,0,273.76,2.44944
-273.491,0.932131,1.19414,2,3,0,273.88,2.53286
-273.526,0.992029,1.19414,1,1,0,273.53,2.55488
-273.515,0.981917,1.19414,1,3,0,273.696,2.39493
-273.731,0.980967,1.19414,2,3,0,273.731,2.32086
-274.205,0.757412,1.19414,2,7,0,275.317,2.74854
-274.205,0.770231,1.19414,1,3,0,275.753,2.74854
-273.447,1,1.19414,2,3,0,274.121,2.47105
-273.447,0.76086,1.19414,1,3,0,274.673,2.47105
-273.448,0.928657,1.19414,2,3,0,273.933,2.4789
-273.489,0.88346,1.19414,2,3,0,274.224,2.53173
-273.489,0.900365,1.19414,1,3,0,273.964,2.53173
-273.447,0.927161,1.19414,2,3,0,273.992,2.4613
-273.508,0.983628,1.19414,1,3,0,273.536,2.54434
-275.07,0.829825,1.19414,2,3,0,275.311,2.1359
-274.231,1,1.19414,1,1,0,274.919,2.22983
-273.726,1,1.19414,1,1,0,274.106,2.32193
-273.636,1,1.19414,1,1,0,273.733,2.34705
-273.847,0.873372,1.19414,2,3,0,274.566,2.29454
-273.948,0.822192,1.19414,1,3,0,275.043,2.69262
-274.062,0.977073,1.19414,1,1,0,274.141,2.71868
-274.993,0.945259,1.19414,2,3,0,274.996,2.88344
-273.871,0.97799,1.19414,1,3,0,274.78,2.67359
-273.489,0.853827,1.19414,2,3,0,275.125,2.41054
-273.467,1,1.19414,1,1,0,273.485,2.42818
-273.471,0.999112,1.19414,1,1,0,273.475,2.42475
-273.647,0.941199,1.19414,1,3,0,273.815,2.60695
-274.45,0.886329,1.19414,1,3,0,274.47,2.79463
-273.877,1,1.19414,2,3,0,274.341,2.67527
-273.476,0.974567,1.19414,1,3,0,274.08,2.42001
-273.488,0.987558,1.19414,1,3,0,273.57,2.53084
-273.462,0.893506,1.19414,2,3,0,274.298,2.43426
-273.728,0.921516,1.19414,1,3,0,273.911,2.63383
-273.728,0.860639,1.19414,1,3,0,274.557,2.63383
