# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:57:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\2y2_bhqu.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation1\exponential_priors_delta_only-20240423005711.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-272.287,1,0.0625,1,1,0,325.074,1.66125
-272.287,0,14.3855,0,1,1,273.81,1.66125
-272.287,0,2.43117,0,1,1,272.32,1.66125
-272.287,9.80298e-029,0.239791,1,3,0,272.36,1.66125
-263.18,1,0.0186273,4,15,0,272.328,2.04781
-263.09,0.998862,0.0257257,2,3,0,263.284,2.05684
-262.02,0.981811,0.0402659,3,7,0,263.958,2.25607
-262.027,0.998838,0.0647119,1,1,0,262.031,2.252
-262.019,1,0.115143,1,1,0,262.044,2.25671
-262.684,0.345678,0.211911,1,1,0,263.099,2.5455
-262.621,1,0.0501052,1,1,0,262.712,2.53367
-261.986,0.943011,0.0948096,2,3,0,262.954,2.33017
-262.26,0.795874,0.150846,1,1,0,262.317,2.45347
-262.26,0.154973,0.151694,1,1,0,262.555,2.45347
-262.357,0.997929,0.0207726,1,3,0,262.426,2.47805
-262.492,0.994299,0.0398788,2,3,0,262.549,2.50805
-262.025,0.963334,0.0753359,1,3,0,262.844,2.25281
-263.419,0.357889,0.128635,1,1,0,263.63,2.02551
-263.829,0.994385,0.0348466,3,15,0,263.836,2.71351
-263.997,0.993352,0.065413,2,3,0,264.19,2.73414
-263.021,1,0.121332,1,1,0,264.034,2.60188
-262.476,0.333333,0.227401,2,3,0,262.665,2.13492
-262.476,0.921492,0.0597793,1,1,0,262.895,2.13492
-262.074,0.968811,0.0888855,1,3,0,262.611,2.39073
-262.183,0.908359,0.150527,1,1,0,262.184,2.19463
-262.183,3.47688e-028,0.212634,1,1,0,266.103,2.19463
-261.984,0.981276,0.0227864,2,7,0,263.748,2.28987
-262.158,0.979161,0.0399245,2,7,0,262.505,2.20141
-262.462,0.829545,0.0688974,1,3,0,263.52,2.50183
-262.966,0.90526,0.0779443,1,1,0,262.981,2.59327
-262.245,0.640733,0.108279,2,3,0,264.485,2.1792
-263.34,0.626852,0.0729327,2,7,0,265.314,2.6489
-263.154,1,0.047628,1,1,0,263.355,2.62214
-262.506,1,0.0848742,1,1,0,263.033,2.5111
-262.393,1,0.149838,1,3,0,262.404,2.14911
-262.393,3.82206e-005,0.262123,1,1,0,264.457,2.14911
-261.991,0.991334,0.033468,2,7,0,262.845,2.33699
-262.669,0.885915,0.0574068,1,3,0,263.245,2.54276
-262.067,0.998577,0.0744788,2,7,0,262.541,2.23257
-262.171,0.957532,0.128244,2,3,0,262.179,2.42725
-262.171,1.74605e-008,0.197394,1,1,0,262.742,2.42725
-262.262,0.997185,0.0272632,1,3,0,262.3,2.45388
-262.373,0.991713,0.0465438,1,1,0,262.373,2.48186
-262.491,0.976215,0.0777699,1,1,0,262.547,2.50796
-262.491,0.605431,0.124151,1,3,0,263.435,2.50796
-262.352,1,0.0796774,1,1,0,262.513,2.47694
-262.165,1,0.133792,1,1,0,262.377,2.42506
-262.215,0.294273,0.223017,2,3,0,262.354,2.18628
-262.922,0.718718,0.068379,2,7,0,264.747,2.58624
-262.658,1,0.0583175,1,1,0,262.906,2.54075
-264.086,0.665461,0.0967073,1,1,0,264.135,2.74483
-264.078,0.992201,0.0727709,2,7,0,264.163,1.97393
-263.928,1,0.117514,2,3,0,264.037,2.72572
-263.928,1.33799e-082,0.191995,1,1,0,267.172,2.72572
-262.207,0.999783,0.0313615,3,7,0,263.962,2.43821
-262.161,1,0.0513076,1,1,0,262.207,2.424
-261.992,0.989375,0.0834516,1,3,0,262.208,2.27828
-261.992,0.174671,0.131707,1,1,0,262.785,2.27828
-262.144,0.989519,0.0333248,3,15,0,262.411,2.41811
-262.155,0.998933,0.0525972,1,1,0,262.168,2.42181
-262.292,0.966344,0.0842882,1,1,0,262.313,2.4619
-262.171,0.949741,0.125011,2,3,0,262.341,2.4273
-262.171,0.0921261,0.17795,1,1,0,263.271,2.4273
-261.979,0.998424,0.0390734,2,5,0,262.247,2.30746
-261.984,0.998895,0.0619393,1,3,0,261.989,2.32717
-262.285,0.885577,0.0977602,2,3,0,262.473,2.17036
-261.983,1,0.120466,1,1,0,262.109,2.32447
-261.983,0.0938997,0.188869,1,1,0,262.185,2.32447
-261.982,0.99806,0.0433723,3,7,0,262.045,2.32152
-262.463,0.904889,0.0677513,1,3,0,262.714,2.50188
-263.107,0.951749,0.0866655,2,3,0,263.136,2.61513
-262.463,1,0.121877,1,1,0,263.042,2.50206
-262.463,0.0157687,0.188694,1,1,0,262.511,2.50206
-262.188,0.997086,0.0383305,2,7,0,262.58,2.43239
-262.254,0.991914,0.0590641,1,1,0,262.262,2.45173
-262.711,0.955322,0.0896497,2,3,0,262.734,2.10062
-262.028,1,0.125797,1,1,0,262.348,2.25142
-262.028,6.34313e-005,0.19249,1,1,0,263.664,2.25142
-262.012,0.987932,0.0394096,3,7,0,262.481,2.26113
-262.043,0.973142,0.0589448,1,3,0,262.293,2.37537
-262.217,0.954957,0.0852639,1,1,0,262.218,2.44137
-263.509,0.721263,0.118541,1,3,0,263.529,2.01776
-262.285,1,0.103697,1,1,0,263.041,2.17033
-262.13,1,0.1568,1,1,0,262.141,2.41305
-262.03,0.333333,0.236155,2,3,0,262.048,2.24977
-262.341,0.920101,0.097139,2,3,0,262.47,2.47415
-262.099,0.993865,0.125155,2,3,0,262.231,2.22011
-262.099,0.00339109,0.185382,1,1,0,263.146,2.22011
-262.76,0.970239,0.0410758,2,7,0,262.906,2.55898
-263.209,0.953323,0.0582391,1,1,0,263.211,2.63027
-262.746,1,0.0797091,1,1,0,263.183,2.55661
-262.002,1,0.118809,1,1,0,262.383,2.34782
-261.983,1,0.176456,1,1,0,261.995,2.32462
-261.983,5.29875e-014,0.261153,1,1,0,265.836,2.32462
-262.064,0.980012,0.0596925,1,3,0,262.195,2.23363
