# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 23:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\bswouh20.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation2\exponential_priors_delta_only-20240423005926.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-195.385,1,0.0625,1,1,0,245.332,1.59815
-195.385,0,14.3855,0,1,1,195.392,1.59815
-195.385,0,2.43117,0,1,1,196.233,1.59815
-195.385,3.22993e-053,0.239791,1,1,0,195.4,1.59815
-194.789,1,0.0186273,1,1,0,195.425,1.61031
-193.984,1,0.0257257,1,1,0,194.917,1.62752
-192.047,1,0.0404064,1,1,0,194.073,1.67329
-186.354,1,0.0687243,1,1,0,190.4,1.87772
-185.314,1,0.122801,1,3,0,185.674,2.46572
-185.314,1.71465e-031,0.226075,2,3,0,185.335,2.46572
-185.274,1,0.0179176,1,1,0,185.318,2.46134
-185.314,0.974996,0.0339435,2,3,0,186.138,2.46582
-185.235,1,0.0599137,2,3,0,185.488,2.45698
-185.235,0.0344686,0.11473,1,1,0,189.674,2.45698
-184.059,0.999736,0.0108065,3,9,0,185.422,2.27066
-184.26,0.992923,0.0209487,2,5,0,184.632,2.31798
-185.357,0.922716,0.0395836,3,7,0,187.118,2.47049
-184.897,1,0.0599882,1,1,0,185.336,2.4164
-183.986,0.995491,0.114426,1,3,0,184.311,2.11976
-183.986,0.000190134,0.213467,1,1,0,184.831,2.11976
-183.934,0.999908,0.0202982,2,5,0,183.998,2.1432
-184.234,0.97574,0.0386053,2,5,0,184.465,2.31276
-184.648,0.824047,0.067731,1,3,0,185.76,2.00546
-185.986,0.633681,0.0757881,1,1,0,186.092,1.89903
-185.295,1,0.048927,1,1,0,185.919,1.94631
-185.64,0.964086,0.0906668,2,3,0,185.659,2.50026
-185.64,5.49382e-010,0.15022,1,1,0,186.754,2.50026
-185.054,0.998779,0.0164573,4,15,0,186.181,2.43583
-184.543,1,0.0302205,2,3,0,185.041,2.36716
-183.974,1,0.055122,2,3,0,184.514,2.24112
-184.469,0.79569,0.0995445,1,1,0,184.493,2.35534
-183.913,1,0.102206,1,1,0,184.197,2.20516
-183.913,0.665853,0.181866,1,1,0,183.922,2.20516
-183.992,0.93332,0.131283,1,1,0,183.996,2.11781
-183.992,9.19532e-007,0.193544,1,1,0,185.312,2.11781
-184.568,0.985979,0.0243702,3,9,0,184.789,2.37096
-184.06,0.992934,0.0415057,1,3,0,184.782,2.27077
-184,1,0.0713696,2,3,0,184.058,2.25165
-183.902,1,0.123913,1,1,0,183.934,2.18027
-183.902,0.00080812,0.213312,1,1,0,184.179,2.18027
-183.941,0.994076,0.0290744,2,5,0,184.15,2.22538
-184.15,0.950468,0.0494309,3,7,0,184.735,2.07729
-184.01,1,0.0747849,2,3,0,184.121,2.11187
-184.01,0.56215,0.127109,1,1,0,184.36,2.11187
-183.904,1,0.0731132,2,3,0,184.007,2.19195
-184.891,0.496623,0.123314,1,1,0,184.962,2.41572
-184.183,0.833631,0.0609874,2,7,0,186.587,2.07078
-184.141,0.929371,0.0685025,2,3,0,184.795,2.079
-183.902,1,0.0965475,2,3,0,184.026,2.17619
-183.902,0.99841,0.16013,1,3,0,183.902,2.18515
-183.902,0.0405328,0.26277,1,1,0,183.995,2.18515
-184.005,0.982091,0.0454704,3,7,0,184.249,2.25322
-183.927,0.921282,0.0719415,2,3,0,184.572,2.14744
-184.921,0.703996,0.0982984,2,3,0,184.958,2.41946
-184.921,0.793523,0.0812103,1,1,0,185.7,2.41946
-184.247,1,0.0824863,2,3,0,184.751,2.31549
-183.934,1,0.133767,1,1,0,184.085,2.22124
-183.934,0.242838,0.215605,1,3,0,183.934,2.22124
-184.654,0.827662,0.063361,1,3,0,185.197,2.00479
-184.461,1,0.0694754,1,1,0,184.71,2.02779
-185.559,0.571041,0.111414,1,3,0,185.69,2.49198
-186.494,0.839555,0.0691358,1,1,0,186.626,2.58051
-183.998,1,0.0776049,2,3,0,186.12,2.11582
-183.998,0.736136,0.123299,1,1,0,184.232,2.11582
-183.97,1,0.110129,1,1,0,184.027,2.12581
-183.97,0.481304,0.173666,1,3,0,183.978,2.12581
-183.903,0.837903,0.08988,2,3,0,184.392,2.18885
-183.903,0.366945,0.0999984,1,1,0,184.763,2.18885
-184.353,0.92609,0.0410478,2,5,0,185.217,2.33563
-184.567,0.971462,0.0551308,1,1,0,184.58,2.37077
-183.942,0.887259,0.081148,2,3,0,185.486,2.22584
-184.144,0.936838,0.0998242,2,3,0,184.16,2.29276
-184.24,0.916114,0.135755,1,1,0,184.24,2.06058
-184.24,0.115905,0.176322,1,3,0,184.24,2.06058
-183.914,0.982939,0.0443453,1,3,0,184.507,2.15785
-184.501,0.69409,0.066186,2,3,0,186.297,2.36055
-184.033,0.998971,0.0547699,2,3,0,184.53,2.26264
-184.033,0.862638,0.0839828,1,1,0,184.346,2.26264
-183.936,1,0.0975212,2,3,0,184.002,2.2224
-184.715,0.452625,0.148756,1,1,0,185.024,2.39225
-184.164,1,0.076124,1,1,0,184.579,2.29764
-184.163,1,0.115759,2,3,0,184.171,2.29729
-184.163,0.0450269,0.175309,1,1,0,184.184,2.29729
-184.139,1,0.0407129,1,1,0,184.171,2.29167
-185.111,0.884102,0.0617071,2,3,0,185.447,2.44265
-184.037,1,0.0743897,1,3,0,184.87,2.26398
-185.024,0.57322,0.11198,1,1,0,185.14,2.43223
-183.914,0.983488,0.0739008,2,3,0,185.112,2.20571
-185.134,0.473864,0.107366,1,1,0,185.147,1.95918
-184.371,1,0.0588532,1,1,0,184.983,2.04006
-184.029,1,0.0880047,1,1,0,184.262,2.10622
-184.264,0.803002,0.131117,1,1,0,184.466,2.05648
-184.341,0.975988,0.134385,1,3,0,184.344,2.33347
-184.341,4.86082e-005,0.190369,1,1,0,184.369,2.33347
-183.993,0.999626,0.0435764,2,5,0,184.32,2.11752
-183.928,0.963702,0.0646077,2,3,0,184.292,2.21743
-183.959,0.977764,0.089328,2,3,0,184.028,2.23458
-184.408,0.690005,0.12639,1,1,0,184.427,2.03486
-184.408,0.651364,0.105208,1,1,0,185.033,2.03486
-187.752,0.595619,0.0817277,2,3,0,187.812,1.81098
-187.752,1.95849e-037,3.67893,1,1,0,187.794,1.81098
-187.752,1.2547e-106,8.59055,1,1,0,188.135,1.81098
-183.941,1,0.847022,2,3,0,187.129,2.2252
-183.947,0.982708,0.882176,1,3,0,184.101,2.1362
-183.908,0.996949,1.13568,1,3,0,183.959,2.19954
-185.138,0.448949,1.75617,1,1,0,185.2,2.44584
-184.918,1,0.552219,1,1,0,185.13,2.41912
-184.141,0.895622,0.959898,1,3,0,186.156,2.07901
-184.111,1,1.25155,2,3,0,184.205,2.08555
-184.111,1.03223e-005,2.31547,1,1,0,186.204,2.08555
-184.755,0.993421,0.18378,3,13,0,185.884,2.39768
-185.022,0.993969,0.340601,3,7,0,185.381,2.43204
-186.335,0.85655,0.636285,2,5,0,188.668,1.87877
-186.505,0.97083,0.773466,1,1,0,186.844,1.86949
-184.909,1,1.3458,1,1,0,186.173,1.97895
-184.909,0.00563573,2.55365,2,3,0,184.909,1.97895
-184.902,1,0.22578,2,3,0,184.919,1.97964
-184.982,0.998677,0.431853,2,3,0,185.001,1.97234
-184.501,1,0.816193,2,3,0,184.909,2.02268
-184.385,1,1.53524,1,1,0,184.724,2.03806
-184.385,0.00414456,2.86075,1,3,0,184.385,2.03806
-183.921,0.998853,0.277895,3,9,0,184.582,2.15175
-183.97,0.995827,0.518781,1,3,0,184.002,2.12585
-184.16,0.916593,0.950443,1,3,0,184.551,2.29672
-184.001,0.985109,1.37214,2,3,0,184.247,2.25175
-184.001,0.108583,2.3949,1,1,0,184.104,2.25175
-184.09,0.996305,0.34576,1,3,0,184.178,2.27921
-183.999,0.999052,0.624375,2,5,0,184.123,2.11533
-183.995,0.921252,1.12501,2,3,0,184.399,2.11663
-184.252,0.847481,1.61918,1,1,0,184.338,2.05859
-185.896,0.268306,1.89265,1,1,0,185.899,2.52569
-186.534,0.983217,0.457684,2,3,0,186.689,2.58404
-185.707,0.967763,0.777158,3,7,0,187.312,1.91677
-184.608,1,1.25536,2,3,0,185.78,2.37692
-184.608,0.000323426,2.1916,1,1,0,185.148,2.37692
-184.778,0.996987,0.273735,1,3,0,184.848,2.40082
-183.965,0.997674,0.475598,2,5,0,184.943,2.12814
-183.936,1,0.82061,1,1,0,183.96,2.14207
-184.036,0.955942,1.41232,2,3,0,184.084,2.10422
-184.592,0.564994,2.1544,1,1,0,184.647,2.37461
-184.633,0.988234,1.21448,1,1,0,184.839,2.38053
