# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:02:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\g11hsscw.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation3\exponential_priors_delta_only-20240423010213.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-317.82,1,0.0625,1,1,0,368.718,1.54732
-317.82,0,14.3855,0,1,1,318.326,1.54732
-317.82,0,2.43117,0,1,1,318.622,1.54732
-317.82,1.8978e-026,0.239791,2,3,0,319.292,1.54732
-308.009,0.988056,0.0186273,3,7,0,320.084,1.73801
-306.607,1,0.0248257,1,1,0,307.961,1.77427
-304.961,1,0.0389554,1,1,0,306.653,1.82146
-300.658,1,0.0662161,1,1,0,304.275,1.98123
-298.52,1,0.118277,2,3,0,299.773,3.42202
-295.219,1,0.217706,1,1,0,296.5,2.76856
-295.219,1.91357e-128,0.407602,1,1,0,295.313,2.76856
-295.174,0.999962,0.0326867,4,15,0,295.233,2.52094
-295.12,0.999305,0.0624216,3,7,0,295.205,2.55264
-295.233,0.950652,0.119251,1,1,0,295.252,2.49564
-295.233,0.118704,0.195446,1,1,0,295.504,2.49564
-295.091,0.991909,0.0242685,2,7,0,296.015,2.57753
-295.143,0.995783,0.0456671,1,3,0,295.173,2.53758
-295.475,0.958212,0.0864193,2,7,0,295.48,2.86452
-295.661,0.909197,0.144825,1,1,0,295.889,2.91731
-295.133,1,0.208049,1,1,0,295.163,2.54362
-295.133,2.22334e-017,0.389901,1,1,0,295.9,2.54362
-295.434,0.974292,0.0376305,1,3,0,295.918,2.43429
-295.673,0.965188,0.0657553,1,1,0,295.677,2.38267
-296.336,0.744371,0.110922,1,1,0,296.555,2.28411
-295.601,0.823468,0.0981938,1,3,0,297.442,2.90109
-295.079,0.949995,0.109232,2,3,0,295.901,2.66677
-295.401,0.76922,0.173622,1,1,0,295.469,2.84066
-295.314,1,0.16482,1,3,0,295.334,2.46755
-295.314,0.00409064,0.297835,1,3,1,295.342,2.46755
-295.386,0.963511,0.034057,2,7,0,297.166,2.83539
-295.305,0.996639,0.0558782,3,7,0,295.568,2.47036
-298.059,0.398745,0.0994949,2,3,0,299.96,3.35511
-297.794,1,0.0350573,1,1,0,298.055,3.31529
-295.071,0.983606,0.0626285,2,5,0,297.705,2.64851
-295.31,0.919122,0.106123,2,3,0,295.513,2.80775
-295.138,0.98804,0.150496,1,3,0,295.2,2.5408
-295.156,0.963397,0.254035,1,1,0,295.323,2.53023
-295.156,3.38518e-008,0.399003,1,1,0,295.157,2.53023
-295.081,0.997783,0.0524016,1,3,0,295.202,2.58973
-295.081,0.977496,0.0902881,2,3,0,295.231,2.67036
-295.081,0.123378,0.146557,1,1,0,296.049,2.67036
-295.087,0.999834,0.0276539,1,3,0,295.09,2.67838
-295.09,0.999823,0.0475187,1,1,0,295.09,2.68176
-295.852,0.930415,0.0809963,2,3,0,295.868,2.35153
-295.624,1,0.115508,2,3,0,295.748,2.90731
-295.069,1,0.194188,1,1,0,295.217,2.6408
-295.069,6.8413e-012,0.324046,1,1,0,295.417,2.6408
-295.094,0.9964,0.0484355,1,3,0,295.138,2.68671
-295.192,0.963988,0.0803109,1,3,0,295.378,2.51284
-295.286,0.955529,0.122444,1,1,0,295.342,2.47667
-295.286,0.597213,0.181937,1,1,0,295.333,2.47667
-295.137,1,0.1162,1,1,0,295.244,2.54146
-295.137,0.287216,0.190498,1,1,0,295.337,2.54146
-295.616,0.922451,0.0597452,2,3,0,296.119,2.39371
-295.316,0.898501,0.0817742,2,3,0,296.725,2.80996
-296.266,0.864259,0.105537,2,3,0,296.719,2.29273
-295.378,1,0.125609,1,1,0,295.966,2.44873
-295.131,1,0.202535,1,1,0,295.305,2.54515
-295.131,0.000547595,0.32463,1,1,0,295.163,2.54515
-295.07,0.996486,0.0558936,1,3,0,295.188,2.61195
-295.175,0.981422,0.0890547,2,3,0,295.217,2.52066
-295.175,0.082834,0.136491,1,1,0,296.727,2.52066
-296.364,0.975172,0.0291579,3,9,0,296.942,3.0735
-297,0.962489,0.0441404,2,3,0,297.552,3.18834
-296.595,1,0.0646957,2,3,0,296.999,3.11723
-295.257,1,0.102328,1,3,0,296.275,2.78625
-295.333,0.945762,0.161001,1,3,0,295.338,2.46187
-295.082,1,0.224567,1,1,0,295.095,2.67158
-295.068,1,0.349975,1,1,0,295.068,2.62504
-295.068,0,0.542743,0,1,1,296.825,2.62504
-296.909,0.61154,0.103437,1,3,0,296.997,2.22235
-295.076,1,0.0716053,2,3,0,296.622,2.66073
-295.509,0.577951,0.111172,2,3,0,297.726,2.41633
-295.068,0.921824,0.0720509,2,3,0,296.337,2.63527
-296.72,0.666347,0.0948544,1,3,0,296.95,2.24122
-295.123,0.86548,0.0739803,1,3,0,298.119,2.71229
-295.099,0.995209,0.0866072,2,3,0,295.175,2.69166
-295.236,0.937272,0.131495,1,1,0,295.249,2.77671
-297.416,0.10178,0.176975,1,1,0,297.871,2.17706
-296.47,0.994927,0.0447575,2,3,0,297.621,2.26835
-295.068,0.845837,0.0676976,2,3,0,298.469,2.63864
-295.648,0.882041,0.0759314,1,3,0,296.046,2.9139
-295.533,1,0.0913478,1,1,0,295.697,2.88187
-295.533,0.000951474,0.13821,1,1,0,299.281,2.88187
-295.506,0.996409,0.029687,3,7,0,295.905,2.87382
-296.142,0.960358,0.0446573,1,3,0,296.506,3.0289
-299.131,0.829297,0.062414,2,3,0,299.199,3.50726
-295.103,0.970145,0.067582,2,5,0,298.753,2.69531
-295.076,0.759726,0.0957483,2,3,0,296.8,2.66116
-295.071,0.940754,0.0905454,2,3,0,295.467,2.64835
-295.162,0.974097,0.120767,1,3,0,295.166,2.5274
-295.162,0.260637,0.171098,1,1,0,295.711,2.5274
-295.182,0.999704,0.0631589,3,7,0,295.183,2.7499
-295.136,0.983938,0.0938407,2,3,0,295.335,2.72198
-295.461,0.855452,0.134916,1,1,0,295.492,2.86008
-295.461,0.127344,0.152319,1,1,0,297.86,2.86008
-295.082,0.980206,0.0447091,2,7,0,296.316,2.67092
-295.204,0.963538,0.063729,1,3,0,295.528,2.5075
-295.628,0.828959,0.0878388,1,3,0,296.368,2.90851
-297.299,0.780021,0.0944373,1,3,0,297.317,3.23781
-297.299,1.51298e-007,2.97041,2,5,1,297.606,3.23781
-297.299,0,6.93611,0,1,1,297.362,3.23781
-298.219,0.97884,0.683896,2,3,0,298.22,3.37869
-299.471,0.975511,0.67323,3,7,0,299.688,2.04071
-295.636,0.953044,0.8456,3,7,0,299.825,2.91068
-295.129,0.955763,1.14313,1,3,0,295.722,2.54668
-295.075,1,1.68675,1,1,0,295.103,2.60081
-295.451,0.473804,2.99744,1,1,0,295.836,2.85685
-295.28,1,1.05178,1,1,0,295.431,2.79563
-295.28,0.349757,1.94625,1,1,0,295.431,2.79563
-295.07,0.999862,0.466886,3,7,0,295.292,2.64637
-295.102,0.990709,0.881916,1,3,0,295.137,2.5673
-295.102,0.158315,1.62499,2,3,0,296.082,2.5673
-295.074,0.999675,0.220138,3,13,0,295.17,2.65799
-295.068,0.999973,0.421484,3,15,0,295.076,2.62289
-295.068,0.99992,0.80449,1,3,0,295.069,2.63277
-295.23,0.910191,1.52591,1,1,0,295.231,2.49688
-295.23,0.00135793,2.18387,1,1,0,296.766,2.49688
-295.253,0.99971,0.198116,1,3,0,295.263,2.48796
-295.39,0.993884,0.375935,1,3,0,295.451,2.44564
-295.641,0.96683,0.694637,1,1,0,295.641,2.38886
-295.101,0.871801,1.17382,2,3,0,296.23,2.69343
-295.1,1,1.48893,1,1,0,295.118,2.69292
-295.1,0.00258472,2.73148,1,1,0,296.236,2.69292
-295.089,0.999882,0.280063,1,3,0,295.111,2.68042
-295.245,0.956617,0.515913,2,5,0,296.244,2.49083
-295.267,0.998699,0.832263,2,3,0,295.292,2.48318
-295.168,0.987284,1.49907,2,3,0,295.273,2.52426
-295.168,0.037713,2.59001,1,1,0,295.32,2.52426
-295.17,0.99555,0.322063,2,7,0,295.541,2.74321
-295.097,0.996627,0.571337,2,7,0,295.272,2.5712
-295.33,0.954963,1.00693,1,3,0,295.335,2.46276
-295.459,0.969107,1.57154,2,3,0,295.477,2.42804
-295.459,0.0959961,2.52877,1,1,0,295.464,2.42804
-295.478,0.99915,0.399158,1,1,0,295.487,2.42348
-295.08,0.940012,0.697322,2,5,0,296.164,2.6689
-295.08,0.786872,1.03483,1,3,0,296.084,2.6689
-295.696,0.911125,1.02672,2,3,0,295.85,2.37836
-296.1,0.490234,1.40167,2,3,0,297.308,3.02
-296.508,0.989776,0.651351,2,3,0,296.509,3.10109
-295.551,1,1.0834,1,1,0,296.297,2.88692
-295.075,1,1.83474,1,1,0,295.258,2.66018
-295.075,1.91056e-012,3.08289,1,1,0,295.636,2.66018
-295.515,0.925228,0.432878,2,5,0,298.053,2.41501
-295.486,0.996025,0.606945,3,7,0,295.748,2.86781
-295.143,0.837628,1.00645,2,3,0,297.312,2.53759
-295.068,0.999482,1.12895,1,3,0,295.132,2.63728
-295.068,4.73497e-007,1.86596,1,1,0,297.831,2.63728
-295.068,0.99703,0.281248,4,15,0,295.444,2.62195
-295.075,0.999294,0.463254,3,7,0,295.095,2.65962
-295.335,0.948827,0.761906,3,7,0,295.716,2.46127
-295.069,0.961621,1.10599,2,3,0,295.549,2.61698
-295.069,0.138902,1.64573,1,1,0,295.951,2.61698
-295.275,0.994178,0.363843,2,5,0,295.362,2.79366
-295.096,0.999943,0.584483,2,7,0,295.262,2.68885
-295.214,0.979516,0.945549,2,3,0,295.283,2.76649
-295.214,0.96682,1.4515,1,1,0,295.322,2.76649
-295.214,0.13256,2.15369,1,1,0,296.231,2.76649
-295.18,0.999049,0.490746,3,7,0,295.285,2.74891
-295.228,0.993567,0.78356,1,1,0,295.232,2.77302
-296.15,0.751251,1.22897,1,1,0,296.151,3.03062
-296.699,0.96166,1.12493,2,3,0,296.853,3.13595
-295.156,1,1.63301,1,1,0,295.942,2.73459
-295.164,0.405874,2.56536,1,3,0,295.19,2.52616
-295.982,0.8763,1.10952,2,3,0,296.046,2.9944
-295.756,1,1.33184,1,1,0,296.128,2.94148
-295.121,1,2.07822,1,1,0,295.207,2.5517
-295.121,3.38311e-026,3.22669,1,1,0,296.953,2.5517
-295.289,0.994341,0.601753,3,7,0,295.306,2.79925
-295.115,0.971157,0.924902,1,3,0,295.557,2.55651
-295.131,0.992323,1.34792,1,1,0,295.152,2.54494
-295.131,0.0367797,2.04447,1,1,0,296.075,2.54494
-296.865,0.93613,0.427277,2,7,0,297.473,3.16534
-296.86,0.990385,0.57813,2,3,0,297.376,3.16444
-295.068,1,0.87137,2,3,0,296.558,2.61959
-295.068,0.845598,1.3336,1,3,0,295.421,2.61959
-295.068,0.324805,1.48592,1,1,0,295.859,2.61959
-295.081,0.998185,0.578376,1,3,0,295.097,2.58938
-295.474,0.898556,0.877941,1,3,0,295.877,2.86391
-295.072,0.986198,1.08762,1,3,0,295.483,2.60553
-295.244,0.901763,1.60031,1,1,0,295.244,2.78037
-295.244,0.191464,1.98493,1,1,0,295.463,2.78037
-295.134,0.950586,0.606885,2,5,0,296.273,2.54336
-295.106,0.98296,0.830318,3,7,0,295.296,2.69795
-295.069,0.998657,1.20639,1,3,0,295.1,2.61656
-295.069,0.0366886,1.80061,1,1,0,297.156,2.61656
-295.677,0.985679,0.417419,3,15,0,295.678,2.92155
-296.268,0.93375,0.608308,2,3,0,296.935,3.05467
-295.068,0.93365,0.799801,1,3,0,297.283,2.61941
-295.068,0.90017,1.04871,1,3,0,295.435,2.61941
-296.809,0.629921,1.28726,1,3,0,296.958,3.15546
-295.117,1,0.946577,2,3,0,296.461,2.5547
-295.241,0.943404,1.3998,2,3,0,295.297,2.49261
-295.241,0.294817,1.85544,1,1,0,295.862,2.49261
-295.079,0.974091,0.732093,1,3,0,295.54,2.66605
-295.075,1,1.02754,1,1,0,295.079,2.65929
-296.734,0.444878,1.50855,2,3,0,296.734,3.14224
-297.217,0.951105,0.794466,1,1,0,297.279,3.22455
-296.787,1,1.06397,2,3,0,297.392,3.15161
-295.59,1,1.55411,2,3,0,296.263,2.39907
-295.115,0.972861,0.565715,1,3,0,296.135,2.55656
-295.115,1.03576e-046,7.74628,1,1,0,295.281,2.55656
-295.07,0.551444,1.29013,2,3,0,297.895,2.61256
-295.091,0.997644,0.548517,1,3,0,295.118,2.57819
-295.084,0.986743,0.815164,3,7,0,295.259,2.67395
-295.389,0.868173,1.30751,2,3,0,295.761,2.83657
-295.389,0.274409,1.54858,1,1,0,297.622,2.83657
-295.083,0.999192,0.295193,3,11,0,295.54,2.673
-296.61,0.92618,0.536528,2,5,0,297.357,2.25277
-295.931,0.926883,0.790126,3,7,0,298.118,2.98311
-296.22,0.939607,1.17697,1,1,0,296.358,3.04485
-295.56,0.966,1.83254,2,3,0,295.805,2.40525
-295.56,5.26108e-006,3.10142,1,1,0,295.846,2.40525
-295.636,0.998534,0.253174,2,3,0,295.679,2.38986
-295.705,0.998711,0.478269,2,3,0,295.713,2.3767
-296.503,0.950067,0.899136,2,3,0,296.509,2.2646
-296.427,1,1.44508,1,1,0,297.155,2.27334
-295.078,1,2.6888,1,1,0,295.374,2.59407
-295.078,7.06379e-020,4.95777,1,1,0,296.457,2.59407
-295.088,0.999533,0.44803,1,3,0,295.092,2.58128
-295.157,0.968954,0.829315,1,3,0,295.392,2.73549
-295.359,0.783696,1.38876,2,3,0,296.083,2.4542
-295.071,0.83198,1.33975,2,3,0,295.983,2.60954
-295.19,0.82566,1.48839,2,3,0,295.515,2.75438
-295.292,0.95232,1.62099,1,1,0,295.352,2.80044
