# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:04:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\61gma996.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation4\exponential_priors_delta_only-20240423010429.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-341.103,1,0.0625,4,23,0,400.199,1.68508
-341.103,0,14.3855,0,1,1,341.128,1.68508
-341.103,0,2.43117,0,1,1,341.556,1.68508
-341.103,2.9485e-016,0.239791,2,3,0,341.469,1.68508
-342.261,0.977315,0.0186273,1,1,0,342.262,1.66153
-341.824,1,0.0240434,1,1,0,342.56,1.67028
-338.752,1,0.0376951,1,1,0,341.717,1.7371
-323.145,1,0.064039,2,3,0,337.041,2.63976
-322.978,1,0.114351,1,1,0,323.124,2.7031
-322.974,1,0.210446,1,1,0,323.159,2.70487
-322.974,1.85965e-013,0.39399,1,1,0,324.613,2.70487
-322.96,1,0.0315964,1,1,0,322.974,2.71188
-322.831,1,0.0603528,2,7,0,322.957,2.94497
-323.097,0.929971,0.115567,2,3,0,323.323,3.12215
-322.978,1,0.177611,1,1,0,323.149,3.06152
-322.978,8.1101e-010,0.338556,1,1,0,323.004,3.06152
-323.838,0.99464,0.0295654,4,15,0,323.855,3.37301
-324.358,0.982543,0.0559335,2,3,0,324.468,3.50668
-323.523,1,0.101249,1,1,0,324.224,3.28006
-323.976,0.719485,0.19165,1,1,0,323.977,2.46443
-323.654,0.69267,0.155732,2,3,0,324.362,2.51877
-323.941,0.889677,0.117403,1,1,0,324.231,2.46985
-323.208,0.831646,0.15855,2,3,0,323.804,2.62065
-323.039,1,0.180064,1,1,0,323.306,2.67718
-323.039,2.80543e-006,0.331609,1,1,0,323.344,2.67718
-323.051,0.999632,0.0347209,1,1,0,323.053,2.67261
