# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:06:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\5euvcdp1.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation5\exponential_priors_delta_only-20240423010625.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-315.339,1,0.0625,2,3,0,366.866,1.52981
-315.339,0,14.3855,0,1,1,315.767,1.52981
-315.339,0,2.43117,0,1,1,317.982,1.52981
-315.339,2.44666e-033,0.239791,2,3,0,316.389,1.52981
-316.122,0.98144,0.0186273,1,1,0,316.32,1.51877
-316.744,0.974705,0.0243409,1,1,0,317.366,1.5102
-310.972,1,0.0353292,1,1,0,316.334,1.59715
-289.433,1,0.0599551,2,7,0,308.808,2.96926
-288.988,0.929047,0.106991,2,3,0,289.87,2.74253
-288.988,1.14888e-012,0.157325,1,1,0,294.969,2.74253
-289.224,0.998336,0.0124626,3,15,0,289.779,2.5439
-289.169,0.99974,0.0234952,1,3,0,289.251,2.56342
-289.02,1,0.0448818,2,7,0,289.161,2.64209
-289.063,0.990285,0.0860549,1,1,0,289.065,2.61183
-288.981,1,0.159878,1,1,0,289.009,2.70703
-288.981,0.0503202,0.304956,1,1,0,289.075,2.70703
-288.981,0.999965,0.0311134,2,7,0,288.983,2.7183
-289.037,0.990261,0.0598046,3,7,0,289.172,2.7981
-290.982,0.670916,0.110761,1,3,0,291.079,3.30302
-288.983,0.940644,0.0779035,2,7,0,292.073,2.72695
-288.99,0.978504,0.12331,2,3,0,289.032,2.67725
-288.99,0.371507,0.216847,1,1,0,289.1,2.67725
-289.321,0.91382,0.0637803,1,3,0,289.994,2.93291
-289.002,0.980613,0.0926923,1,3,0,289.451,2.66061
-289.002,0.162928,0.162346,1,1,0,289.677,2.66061
-289.357,0.976403,0.0272407,3,11,0,290.789,2.94505
