# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:08:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\9ho5sgse.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation6\exponential_priors_delta_only-20240423010844.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-228.168,1,0.0625,1,1,0,280.499,1.68079
-228.168,0,14.3855,0,1,1,228.211,1.68079
-228.168,0,2.43117,0,1,1,228.239,1.68079
-228.168,4.50982e-032,0.239791,1,2,1,228.563,1.68079
-222.378,0.99457,0.0186273,3,7,0,229.049,1.92009
-222.232,0.997854,0.0253126,2,3,0,222.542,1.93091
-222.967,0.942987,0.0394799,2,3,0,223.454,1.88155
-225.144,0.648343,0.056208,1,1,0,225.185,1.77837
-222.577,1,0.033196,2,3,0,225.064,1.90621
-222.712,0.990225,0.0607281,2,3,0,223.047,1.89736
-224.218,0.582541,0.110042,2,3,0,224.389,1.81706
-223.227,1,0.0556508,1,1,0,224.228,1.86657
-220.865,1,0.106119,1,1,0,221.869,2.24014
-220.865,3.72525e-050,0.202696,1,1,0,223.138,2.24014
-220.843,0.999968,0.0170931,3,7,0,220.874,2.23078
-220.836,1,0.0330634,1,1,0,220.843,2.22741
-220.812,0.985651,0.0636488,1,3,0,220.968,2.13385
-222.038,0.463802,0.116491,1,1,0,222.039,2.44542
-222.168,0.981852,0.0435331,2,5,0,222.792,1.9358
-220.8,1,0.0785572,1,3,0,221.783,2.14227
-220.8,0.819462,0.148406,1,1,0,220.821,2.14227
-220.8,0.0125166,0.162827,1,1,0,221.516,2.14227
-220.804,0.999981,0.0167597,3,7,0,220.804,2.13936
-220.972,0.993256,0.0316464,2,5,0,221.044,2.27426
-220.807,0.999922,0.0580133,2,3,0,220.977,2.21112
-220.807,0.191045,0.107324,1,1,0,222.548,2.21112
