# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:11:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fe5_rq8r.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation7\exponential_priors_delta_only-20240423011128.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-359.542,1.69989e-020,0.125,1,1,0,359.564,1
-359.542,0,2.33506,0,1,1,359.927,1
-359.542,9.68932e-211,0.230236,1,1,0,359.548,1
-350.192,1,0.0166944,1,1,0,359.21,1.03675
-343.301,1,0.0186273,1,1,0,350.217,1.06661
-332.109,1,0.0257257,1,1,0,343.021,1.12132
-304.303,1,0.0404064,1,1,0,327.644,1.31018
-276.505,1,0.0687243,1,1,0,295.243,1.71603
-267.592,1,0.122801,1,1,0,271.066,2.59295
-267.592,4.45918e-031,0.226075,1,1,0,268.302,2.59295
-267.218,0.999694,0.0179176,3,9,0,267.698,2.4902
-267.487,0.983578,0.0339108,1,3,0,267.757,2.56871
-267.106,0.996056,0.0614959,3,7,0,267.562,2.31592
-267.869,0.657499,0.116299,1,1,0,267.912,2.14492
-267.059,0.986333,0.0764238,1,3,0,267.936,2.37213
-267.059,0.98592,0.140381,1,1,0,267.066,2.37213
-267.059,0.00112909,0.256204,1,1,0,267.49,2.37213
-267.061,0.993717,0.0229477,4,15,0,267.805,2.36267
-267.138,0.996376,0.0432681,2,7,0,267.147,2.29921
-267.217,0.951706,0.0815674,2,3,0,267.487,2.26878
-267.063,1,0.133388,1,1,0,267.116,2.39203
-267.167,0.796129,0.249798,1,1,0,267.323,2.46946
-267.167,4.38191e-017,0.254803,1,1,0,267.502,2.46946
-267.139,0.998573,0.0256994,4,15,0,267.386,2.29873
-267.301,0.995587,0.047924,3,7,0,267.306,2.51846
-268.499,0.880103,0.0877108,2,3,0,268.664,2.0761
