# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:14:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ml2cybj1.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation8\exponential_priors_delta_only-20240423011419.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-415.562,0.0390369,0.125,3,7,0,415.825,1
-415.562,0,2.50682,0,1,1,415.562,1
-415.562,2.56886e-172,0.252425,1,1,0,416.36,1
-326.244,1,0.0185246,3,7,0,413.597,1.7945
-325.411,1,0.0208251,1,1,0,326.237,1.81627
-324.617,1,0.0289011,1,1,0,325.537,1.83805
-318.48,0.967551,0.0455365,2,3,0,325.664,2.05864
-317.017,1,0.0701482,1,1,0,318.68,2.13458
-312.638,1,0.12537,1,1,0,314.829,2.6073
-312.638,0.013735,0.230828,1,1,0,312.804,2.6073
-312.73,0.995216,0.019107,3,13,0,313.658,3.02
-312.569,0.998138,0.0356512,1,3,0,312.826,2.95578
-312.666,0.996266,0.0676752,2,3,0,312.668,2.99649
-313.112,0.83768,0.128015,1,1,0,313.202,3.13392
-313.112,0.164024,0.147461,1,1,0,314.292,3.13392
-313.519,0.996718,0.021108,2,5,0,313.606,3.23015
-313.65,0.99846,0.0403511,2,3,0,313.655,3.25805
-312.585,0.998297,0.0770567,3,7,0,313.471,2.62562
-312.585,0.16729,0.145944,2,3,0,313.706,2.62562
-312.936,0.995169,0.0225364,2,5,0,313.106,2.52962
-312.378,0.936418,0.0423988,2,7,0,314.983,2.78668
-312.452,0.984961,0.0664275,1,3,0,312.538,2.8897
-313.503,0.788936,0.119189,1,3,0,313.504,3.22653
-312.763,1,0.119851,2,3,0,313.318,3.03135
-312.763,2.86601e-006,0.221487,1,1,0,313.156,3.03135
-312.81,0.999146,0.0232707,2,3,0,312.844,3.04707
-312.751,0.992096,0.0430781,3,7,0,313.309,3.02754
-312.853,0.985238,0.0773873,1,1,0,312.882,3.06075
-313.721,0.785512,0.135069,2,3,0,313.89,3.27286
-312.949,0.861892,0.134546,2,3,0,314.127,2.52685
-312.386,1,0.165224,1,1,0,312.585,2.7545
-312.386,4.239e-006,0.294242,1,1,0,313.15,2.7545
-313.025,0.96591,0.0351034,2,7,0,314.051,3.11078
-313.15,0.994795,0.0572507,3,7,0,313.369,3.14366
-312.449,0.943853,0.100002,1,3,0,313.362,2.69104
-312.471,0.978087,0.151416,1,3,0,312.484,2.90281
-312.471,0.141381,0.249024,1,1,0,313.034,2.90281
-313.863,0.948663,0.0465949,2,7,0,313.953,2.38568
-314.218,0.936775,0.0711376,1,1,0,314.374,2.34595
-314.223,0.999358,0.104674,2,3,0,314.907,2.34545
-314.223,0.730109,0.179372,1,3,0,314.329,2.34545
-314.223,0.602045,0.155063,1,3,0,314.44,2.34545
-312.382,0.844166,0.0976121,2,3,0,315.381,2.8077
-312.587,0.894259,0.112605,2,3,0,312.855,2.96361
-313.32,0.68317,0.146589,1,1,0,313.446,3.18511
-312.699,1,0.113587,2,3,0,313.165,3.00892
-312.699,0.0174129,0.190259,1,1,0,313.092,3.00892
-312.69,0.986241,0.0297641,3,11,0,313.848,2.59094
-312.468,0.997196,0.0483293,2,7,0,312.789,2.67877
-312.976,0.814428,0.0799992,1,3,0,313.922,3.09724
-312.566,0.983366,0.085481,2,3,0,313.186,2.95402
