# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:16:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\me3lcwr6.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=0.8\realisation9\exponential_priors_delta_only-20240423011607.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-301.873,1,0.0625,1,1,0,354.068,1.61525
-301.873,0,14.3855,0,1,1,302.22,1.61525
-301.873,0,2.43117,0,1,1,302.012,1.61525
-301.873,4.18843e-027,0.239791,2,5,0,302.406,1.61525
-300.9,1,0.0186273,1,1,0,301.857,1.63505
-299.972,1,0.0257257,1,1,0,301.005,1.65496
-295.883,1,0.0404064,1,1,0,299.573,1.75792
-291.456,1,0.0687243,1,1,0,295.089,1.91784
-286.664,1,0.122801,1,1,0,288.706,2.4328
-286.664,0.0132773,0.226075,1,1,0,287.029,2.4328
-286.965,0.995782,0.0186859,3,15,0,287.317,2.63354
-286.666,1,0.0349289,3,7,0,286.963,2.48628
-286.684,0.990772,0.0666981,1,3,0,286.758,2.40857
-286.687,0.998632,0.12402,1,1,0,286.702,2.40639
-286.687,0.00317348,0.236014,1,1,0,287.217,2.40639
-286.671,0.999946,0.0204634,3,7,0,286.696,2.42246
-286.732,0.997553,0.0395176,3,7,0,286.775,2.37767
-287.107,0.857283,0.0752679,1,3,0,287.783,2.67302
-286.879,0.940003,0.0929981,2,3,0,287.69,2.6056
-286.879,0.173117,0.147082,1,1,0,287.459,2.6056
-286.808,0.999385,0.0234923,1,3,0,286.939,2.57883
-286.795,1,0.0445566,1,1,0,286.811,2.57314
-286.677,0.988575,0.0838326,1,3,0,286.892,2.41537
-286.677,0.44536,0.151051,1,1,0,287.035,2.41537
-286.706,0.997685,0.056341,2,3,0,286.714,2.39251
-286.971,0.93777,0.103593,2,3,0,287.062,2.63537
-286.971,0.104909,0.159125,1,1,0,287.402,2.63537
-286.831,0.9982,0.0233952,2,5,0,287.193,2.58816
-287.332,0.95838,0.0427641,1,3,0,287.773,2.72556
-287.771,0.944757,0.0693297,1,1,0,287.777,2.81058
-287.503,1,0.107418,2,3,0,287.926,2.76063
-287.503,0.0796012,0.19198,1,1,0,287.529,2.76063
-287.208,0.9976,0.0284798,1,3,0,287.682,2.69765
-286.671,0.998704,0.0506381,2,5,0,287.203,2.49401
-286.769,0.980488,0.0894609,1,3,0,286.771,2.56146
-287.925,0.398183,0.149285,1,1,0,287.98,2.15368
-287.492,1,0.0540925,1,1,0,287.877,2.20629
-286.818,1,0.0945346,2,3,0,287.419,2.58274
-286.97,0.88472,0.163778,1,1,0,287.148,2.63498
-286.97,0.0546426,0.209709,1,1,0,286.989,2.63498
-287.113,0.998573,0.0327578,3,7,0,287.12,2.67444
-287.048,1,0.0562759,1,1,0,287.124,2.65741
-286.961,1,0.0962374,1,1,0,287.094,2.63239
-286.659,1,0.163272,1,1,0,286.761,2.47267
-286.659,0.15064,0.274864,1,1,0,286.792,2.47267
-287.602,0.827503,0.0578432,1,3,0,288.877,2.77974
-286.875,1,0.0641001,2,3,0,287.605,2.60431
-286.804,1,0.107394,2,3,0,286.852,2.34662
-286.804,0.17992,0.178632,1,1,0,287.04,2.34662
-286.847,0.980481,0.0421472,2,7,0,287.38,2.59432
-286.657,0.992047,0.0668946,1,3,0,286.97,2.46174
-286.657,0.441234,0.108404,1,3,0,288.283,2.46174
-286.666,0.995849,0.048466,3,7,0,286.767,2.42888
-286.658,0.994658,0.078878,2,3,0,286.707,2.46819
-286.741,0.971948,0.127207,1,3,0,286.741,2.37303
-286.842,0.651352,0.193587,1,3,0,286.864,2.59248
-286.872,0.992009,0.141635,1,3,0,286.894,2.32468
-287.847,0.0785461,0.224133,2,3,0,288.317,2.82368
-286.749,0.824407,0.0455769,2,7,0,293.719,2.36929
-286.844,0.954552,0.049713,3,7,0,287.893,2.33328
-287.045,0.847655,0.0722377,1,3,0,288.088,2.65645
-286.864,1,0.0825915,1,1,0,287.018,2.60029
-286.743,0.9823,0.131546,2,3,0,286.85,2.54817
-286.743,0.000149455,0.200498,1,1,0,290.002,2.54817
-286.665,0.997656,0.0363698,2,7,0,286.882,2.42993
-286.667,0.999062,0.0574232,2,5,0,286.68,2.48872
-286.661,1,0.090459,1,1,0,286.666,2.47792
-287.046,0.760597,0.142048,1,1,0,287.062,2.28139
-286.856,0.790186,0.133776,2,3,0,287.233,2.59759
-286.856,0.190879,0.134147,1,1,0,287.789,2.59759
-286.867,0.994501,0.0383985,2,5,0,287.167,2.32595
-286.727,0.962164,0.0592789,3,7,0,287.511,2.53886
-286.898,0.982927,0.0851875,2,7,0,286.898,2.31707
-286.911,0.997399,0.127268,2,3,0,286.977,2.31349
-287.217,0.640089,0.195024,1,1,0,287.84,2.24865
-287.217,0.0631184,0.143651,1,1,0,288.88,2.24865
-287.149,1,0.0329474,3,7,0,287.215,2.26086
-286.724,0.989664,0.0507547,1,3,0,287.368,2.3815
-287.272,0.826026,0.0762434,1,3,0,288.046,2.71219
-287.783,0.970209,0.0822609,2,3,0,287.807,2.81269
-287.632,1,0.118107,1,1,0,288.1,2.78537
-286.682,1,0.179222,1,1,0,286.844,2.41043
-286.682,0.0541142,0.270851,1,1,0,286.72,2.41043
-286.66,0.995301,0.0638992,1,3,0,286.734,2.47532
-286.769,0.973779,0.0957634,1,3,0,286.774,2.56138
-286.769,0.830611,0.137114,1,1,0,286.994,2.56138
-286.769,0.071223,0.148374,1,1,0,287.578,2.56138
-287.107,0.9743,0.0372416,1,3,0,287.559,2.67296
-287.164,0.966272,0.053328,2,3,0,287.763,2.68717
-287.005,0.871001,0.0749533,1,3,0,288.543,2.29027
-289.559,0.57582,0.0876519,1,3,0,289.561,2.02045
