# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:18:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\_hkkvn7y.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation0\exponential_priors_delta_only-20240423011820.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-165.297,1,0.0625,2,7,0,218.12,1.76866
-165.297,0,14.3855,0,1,1,165.299,1.76866
-165.297,0,2.43117,0,1,1,165.571,1.76866
-165.297,3.9211e-040,0.239791,1,1,0,165.456,1.76866
-164.941,0.9998,0.0186273,3,7,0,165.377,1.78646
-163.38,0.975688,0.0257104,2,7,0,166.619,2.18266
-163.802,0.977976,0.0374848,2,3,0,163.915,2.23374
-162.869,1,0.0594569,2,3,0,163.609,1.98871
-163.088,0.879182,0.106093,2,3,0,163.109,2.13591
-164.432,0.293063,0.13327,1,1,0,165.139,2.295
-164.414,1,0.026664,2,3,0,164.482,2.29342
-165.178,0.911894,0.05049,1,1,0,165.208,2.35604
-165.018,1,0.0729712,1,1,0,165.695,2.3437
-166.517,0.140851,0.139612,1,1,0,166.988,1.71723
-162.837,0.984297,0.018303,2,5,0,168.181,2.00311
-163.43,0.922403,0.0337113,1,3,0,164.351,1.89424
-162.817,0.859778,0.0511055,2,3,0,164.939,2.01795
-162.867,0.990502,0.0637846,1,3,0,162.868,1.98958
-162.875,0.997532,0.11816,1,3,0,162.877,2.08237
-162.875,2.71621e-024,0.22173,1,1,0,163.294,2.08237
-162.845,0.999557,0.0210655,1,3,0,162.904,2.06927
-163.019,0.988284,0.0400105,2,3,0,163.02,2.12192
-164.354,0.758923,0.0728037,1,3,0,164.36,2.28805
-162.947,1,0.0673742,1,3,0,164.082,2.10474
-162.947,0.00509311,0.125123,1,1,0,163.864,2.10474
-163.09,0.998774,0.0134039,2,5,0,163.103,2.13639
-163.296,0.991292,0.0249036,1,3,0,163.4,2.17063
-162.81,0.999108,0.0448452,2,5,0,163.257,2.03266
-162.81,0.999958,0.0817295,1,1,0,162.81,2.03146
-162.81,0.0305847,0.147817,1,1,0,163.249,2.03146
-163.601,0.985845,0.0186148,3,9,0,164.101,1.87728
-163.645,0.996831,0.0324811,1,1,0,163.682,1.87319
-163.428,1,0.0578464,1,1,0,163.679,1.89441
-162.814,1,0.102921,1,1,0,163.062,2.02157
-162.814,0.000202516,0.181418,1,1,0,163.343,2.02157
-162.81,0.999415,0.0228672,2,7,0,162.848,2.03443
-163.14,0.935759,0.0403555,1,3,0,163.716,2.1456
-163.128,1,0.0598592,1,1,0,163.198,2.14344
-163.693,0.638005,0.104069,2,3,0,163.917,2.22162
-163.299,0.907553,0.0712961,2,3,0,164.524,1.90906
-162.82,1,0.0971334,1,1,0,163.025,2.05284
-162.82,1.32002e-008,0.166121,1,1,0,163.811,2.05284
