# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:21:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\__odq4d_.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation1\exponential_priors_delta_only-20240423012120.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-125.021,1,0.0625,1,1,0,167.167,1.58672
-125.021,0,14.3855,0,1,1,125.104,1.58672
-125.021,0,2.43117,0,1,1,125.103,1.58672
-125.021,1.92747e-067,0.239791,1,1,0,125.256,1.58672
-125.164,0.995359,0.0186273,1,1,0,125.248,1.58281
-124.42,1,0.0253723,1,1,0,125.143,1.60404
-124.125,1,0.0398363,1,1,0,124.802,1.6131
-120.247,1,0.0677387,1,3,0,122.855,1.86993
-120.247,0.0050354,0.121023,1,1,0,121.699,1.86993
-120.263,0.999865,0.0096236,2,7,0,120.28,1.86187
-120.508,0.995263,0.0179324,3,9,0,120.659,1.97599
-120.251,0.999419,0.0334668,3,7,0,120.543,1.86769
-120.251,0.9006,0.0637976,1,3,0,120.564,1.86769
-122.956,0.0538283,0.0894309,2,3,0,125.329,2.18225
-120.315,0.999248,0.00895996,5,31,0,123.96,1.93648
-120.281,0.998863,0.0173634,4,15,0,120.504,1.92547
-120.336,0.96109,0.0334576,2,5,0,121.095,1.83962
-120.342,0.998461,0.0570801,1,1,0,120.366,1.83815
-120.342,0.632931,0.108414,1,1,0,120.449,1.83815
-120.236,0.970142,0.068036,2,3,0,120.486,1.90014
-120.236,0.0345382,0.117722,1,1,0,121.403,1.90014
-120.232,0.999911,0.0127098,3,15,0,120.253,1.88548
-120.309,0.996978,0.0241618,2,7,0,120.355,1.8464
-120.339,0.945943,0.0450863,2,3,0,120.872,1.83888
-120.339,0.562813,0.0718991,1,1,0,121.2,1.83888
-120.455,0.995112,0.0380816,3,7,0,120.5,1.81713
