# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:24:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\6sg612i1.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation2\exponential_priors_delta_only-20240423012447.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-11.9474,1,0.0625,1,1,0,56.5192,1.68644
-11.9474,0,14.3855,0,1,1,11.999,1.68644
-11.9474,0,2.43117,0,1,1,12.808,1.68644
-11.9474,7.12136e-085,0.239791,1,1,0,12.2303,1.68644
-12.124,0.998082,0.0186273,2,3,0,12.1266,1.67806
-12.062,1,0.025579,2,3,0,12.1996,1.68095
-11.8068,0.972238,0.0401698,3,7,0,12.8039,2.05357
-10.352,1,0.0626597,1,3,0,11.4135,1.89829
-10.4814,0.874433,0.111864,1,1,0,10.4937,1.79825
-10.4814,0.0042179,0.138464,1,1,0,10.6874,1.79825
-10.2883,0.994512,0.0111138,3,13,0,11.694,1.8655
-11.3906,0.97578,0.0207036,3,9,0,11.3942,1.71677
-11.2015,1,0.0366888,2,3,0,11.4182,1.72901
-10.5867,1,0.0704086,1,1,0,11.0329,1.7836
-10.5867,1.75427e-005,0.134981,1,1,0,12.7061,1.7836
-10.4576,0.99466,0.0116305,3,11,0,11.648,1.9222
-10.533,0.998014,0.0221843,2,3,0,10.541,1.93493
-10.8186,0.986426,0.0424945,3,7,0,10.8209,1.75903
-10.4014,1,0.077999,1,1,0,10.6647,1.81253
-10.4014,0.555957,0.14795,1,1,0,10.7298,1.81253
-10.4073,0.997281,0.0739892,1,1,0,10.4596,1.81134
-10.4073,3.92812e-006,0.13813,1,1,0,11.4634,1.81134
-10.3505,0.999628,0.0137247,3,7,0,10.4597,1.82466
-10.3808,0.990984,0.025933,2,5,0,10.6472,1.906
