# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:34:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\s1zemivl.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation5\exponential_priors_delta_only-20240423013451.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-195.671,1,0.0625,1,1,0,251.732,1.7561
-195.671,0,14.3855,0,1,1,195.697,1.7561
-195.671,0,2.43117,0,1,1,196.238,1.7561
-195.671,2.57333e-032,0.239791,1,3,1,195.749,1.7561
-195.353,1,0.0186273,1,1,0,195.671,1.76739
-195.094,1,0.0257257,1,1,0,195.428,1.77696
-193.593,1,0.0404064,1,1,0,194.934,1.84092
-192.965,1,0.0687243,1,1,0,193.941,1.87383
-190.879,1,0.122801,1,1,0,191.389,2.28151
-190.879,2.278e-008,0.226075,1,1,0,190.887,2.28151
-190.758,0.997793,0.0179176,2,7,0,191.144,2.24838
-190.71,0.999983,0.0337077,2,3,0,190.762,2.23126
-190.664,0.982588,0.0643699,2,7,0,190.841,2.13142
-190.664,0.0880256,0.116677,1,1,0,191.788,2.13142
-190.641,0.999775,0.0129861,5,31,0,190.735,2.14969
-190.686,0.993998,0.0251478,3,7,0,190.948,2.1203
-190.976,0.896919,0.0476152,1,3,0,192.047,2.30273
-190.675,0.999825,0.0666015,2,7,0,190.91,2.12552
-190.892,0.841166,0.126871,1,1,0,190.894,2.28458
-191.049,0.834758,0.148706,1,1,0,191.074,2.03614
-191.049,0.0225648,0.170749,1,1,0,191.119,2.03614
-191.273,0.995907,0.0177384,3,7,0,191.482,2.00606
-191.394,0.992371,0.0332343,1,1,0,191.399,1.99225
-191.064,0.934117,0.0610248,2,3,0,192.124,2.03393
-191.89,0.784526,0.0938128,2,3,0,192.099,1.94596
-190.784,1,0.0934067,1,1,0,191.415,2.08734
-190.784,5.21202e-019,0.17129,1,1,0,194.585,2.08734
-191.767,0.984189,0.0187447,2,5,0,191.958,1.95625
-191.692,1,0.0330139,3,7,0,191.799,1.96292
-190.666,1,0.0601724,2,3,0,191.685,2.13047
-190.666,0.196577,0.108586,1,1,0,191.67,2.13047
-190.659,1,0.0218899,2,3,0,190.666,2.1344
-190.965,0.975767,0.0394458,2,5,0,191.165,2.30031
-191.169,0.961074,0.0659871,1,1,0,191.192,2.33791
-190.931,0.99144,0.105288,2,3,0,191.157,2.05575
-190.937,0.989904,0.180594,1,1,0,191.462,2.05472
-190.937,3.67027e-021,0.305887,1,3,1,190.938,2.05472
-191.458,0.969601,0.0396307,2,3,0,191.507,1.98545
-190.757,0.960824,0.0639277,2,3,0,191.794,2.09476
-190.659,1,0.100093,1,1,0,190.721,2.13459
-190.659,0.0627559,0.171858,1,1,0,190.908,2.13459
-190.646,0.997973,0.0278161,2,7,0,190.76,2.19515
-190.984,0.950952,0.0475741,2,5,0,191.262,2.30421
-190.695,0.978076,0.0718536,2,3,0,191.169,2.22487
-190.643,0.997296,0.115298,2,3,0,190.666,2.14685
-190.643,0.0808141,0.192562,1,1,0,190.778,2.14685
-190.636,0.999874,0.0346754,2,7,0,190.648,2.15721
-193.266,0.52549,0.0583254,1,3,0,195.596,2.57223
-192.256,1,0.0313564,2,3,0,193.274,2.47627
-192.435,0.956283,0.0524036,3,7,0,193.386,2.49457
-190.768,1,0.0784479,1,3,0,192.03,2.25164
-190.793,0.98036,0.12938,1,1,0,190.909,2.25923
-190.793,2.89159e-010,0.202489,1,1,0,191.062,2.25923
-190.794,0.999986,0.0326859,2,3,0,190.802,2.25947
-191.71,0.776565,0.0536626,1,3,0,193.806,1.96131
-191.172,1,0.0525741,1,1,0,191.625,2.01873
-190.634,1,0.0854985,1,3,0,190.978,2.16075
-190.644,0.990955,0.138187,1,1,0,190.644,2.19251
-190.644,0.307012,0.217557,1,1,0,190.652,2.19251
