# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:41:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\v67zxpl7.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation7\exponential_priors_delta_only-20240423014158.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-160.685,1,0.0625,2,7,0,215.097,1.84338
-160.685,0,14.3855,0,1,1,161.475,1.84338
-160.685,0,2.43117,0,1,1,160.688,1.84338
-160.685,4.96039e-011,0.239791,1,2,1,161.007,1.84338
-160.269,0.992784,0.0186273,2,5,0,161.266,1.88783
-160.283,0.999415,0.0251782,1,1,0,160.293,1.886
-160.143,0.971034,0.0394527,2,5,0,160.803,2.09648
-160.129,0.937582,0.0612927,1,3,0,160.828,1.90859
-160.085,0.997902,0.0899142,2,3,0,160.215,1.91626
-160.085,0.00450834,0.16419,1,1,0,160.267,1.91626
-160.391,0.996121,0.0131939,2,7,0,160.616,1.87281
-161.012,0.988226,0.024699,3,7,0,161.147,1.81695
-161.399,0.944793,0.0454943,1,1,0,161.456,1.79088
-159.914,0.990909,0.0733609,1,3,0,161.169,2.03584
-159.878,1,0.13668,1,1,0,159.88,1.98368
-159.878,6.0052e-012,0.260965,1,1,0,160.309,1.98368
-160.282,0.987393,0.0228306,2,7,0,160.636,1.88613
-160.466,0.94305,0.0423277,2,5,0,161.115,2.14658
-160.252,1,0.068125,1,1,0,160.469,2.11542
-160.252,0.0246974,0.129361,1,1,0,162.451,2.11542
-160.867,0.990657,0.0132878,3,13,0,162.531,1.82803
-160.677,0.991921,0.0246775,2,3,0,161.194,1.84403
-160.654,1,0.0455708,1,1,0,160.773,1.84615
-160.668,0.992923,0.0853239,1,1,0,161.042,1.84486
-160.668,2.48356e-007,0.154946,1,1,0,164.295,1.84486
-159.872,0.998557,0.0163292,3,9,0,160.938,1.99973
-159.879,0.999526,0.030269,3,7,0,159.889,2.01388
-160.39,0.809526,0.0556898,2,3,0,161.512,2.13623
-160.106,0.918934,0.0597506,1,3,0,161.272,1.91243
-160.479,0.802654,0.086627,2,3,0,160.867,2.1484
-163.075,0.541874,0.0907808,2,3,0,163.209,2.37209
-161.272,0.986523,0.0468165,2,5,0,162.884,1.79895
-159.905,0.552602,0.080851,2,3,0,163.25,1.96506
-159.956,0.996718,0.043409,2,5,0,159.959,2.05187
-159.981,0.991512,0.0763815,1,1,0,160.006,2.05973
-159.981,0.127577,0.131372,1,1,0,160.224,2.05973
-160.07,0.999064,0.0235223,4,15,0,160.085,1.9191
-159.981,0.999279,0.0412757,3,7,0,160.109,1.93875
-159.981,0.911972,0.0718327,1,1,0,160.178,1.93875
-159.981,0.267989,0.0992141,1,1,0,160.884,1.93875
-160.032,0.996563,0.0267372,2,3,0,160.081,1.92681
-160.244,0.89745,0.0457706,2,3,0,161.226,1.89125
-160.147,0.858122,0.0607091,2,3,0,161.519,2.09723
-160.009,1,0.0727448,1,1,0,160.128,2.06715
-160.009,0.0716832,0.123176,1,1,0,160.479,2.06715
-159.926,0.99197,0.0215023,4,15,0,160.793,2.04101
-160.395,0.979945,0.0357369,2,7,0,160.407,2.13693
-160.23,1,0.0572852,1,1,0,160.392,2.11182
-160.052,1,0.0956951,1,1,0,160.235,2.07766
-160.254,0.755669,0.158726,1,1,0,160.682,2.11576
-159.958,1,0.146992,1,1,0,160.184,2.05249
-159.958,0.0216376,0.241423,1,1,0,160.566,2.05249
-161.308,0.91886,0.0404582,2,5,0,161.324,2.2369
-159.893,1,0.0551766,2,3,0,161.127,2.02478
-159.881,0.863204,0.0902878,2,3,0,160.138,1.97991
-160.104,0.859686,0.10744,1,1,0,160.105,2.08885
