# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-23 00:48:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\q637e4ur.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors_delta_only\p=1\realisation9\exponential_priors_delta_only-20240423014805.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-181.579,1,0.0625,1,1,0,231.283,1.72521
-181.579,0,14.3855,0,1,1,182.379,1.72521
-181.579,0,2.43117,0,1,1,182.05,1.72521
-181.579,8.27819e-040,0.239791,1,1,0,181.805,1.72521
-182.497,0.976479,0.0186273,3,7,0,183.812,1.68877
-182.575,0.998879,0.0239835,2,3,0,182.695,1.68597
-181.699,1,0.0374699,1,1,0,182.541,1.72007
-180.089,1,0.0636501,1,1,0,181.388,1.80387
-180.656,0.600719,0.11365,1,1,0,182.063,1.76987
-178.677,0.929581,0.0592735,1,3,0,181.197,2.03003
-178.687,0.995332,0.0886606,1,1,0,178.692,2.03786
-179.653,0.253667,0.165202,1,1,0,180.344,2.21041
-178.852,0.970992,0.0299347,1,3,0,180.764,2.09321
-178.67,0.979605,0.0524999,2,3,0,179.087,2.02292
-178.67,0.571848,0.0945994,1,1,0,179.274,2.02292
-178.696,0.991074,0.0480449,1,3,0,178.77,1.97706
-178.812,0.945732,0.0897505,1,1,0,178.825,1.93976
-178.688,1,0.145039,1,1,0,178.761,1.98159
-178.688,2.56382e-010,0.274771,1,1,0,178.841,1.98159
-178.9,0.992688,0.0255305,2,5,0,179.037,2.10369
-180.022,0.812905,0.047629,2,3,0,181.206,2.24816
-178.706,0.881906,0.0517432,1,3,0,181.63,1.97213
-178.706,0.781682,0.0687789,1,3,0,179.492,1.97213
-178.864,0.95699,0.0680353,1,1,0,178.864,1.92854
-178.864,0.0337469,0.111612,2,3,0,180.368,1.92854
-178.863,1,0.0129893,1,1,0,178.866,1.92875
-178.773,0.999073,0.0242238,3,7,0,178.949,1.94945
-178.829,0.992816,0.0445953,2,3,0,178.892,1.93593
-179.269,0.924028,0.0798661,2,3,0,179.306,1.87169
-179.541,0.783518,0.117145,1,1,0,180.159,1.84534
-179.936,0.900006,0.116202,1,3,0,179.997,2.23978
-179.936,7.03294e-011,0.158184,1,1,0,180.328,2.23978
-178.734,0.99537,0.0189675,4,15,0,181.029,2.0599
-179.185,0.967909,0.0336351,2,5,0,179.671,1.88115
-179.967,0.856797,0.0549451,1,1,0,179.968,1.81215
-181.641,0.59401,0.0664887,1,1,0,181.808,1.72254
-178.948,0.911419,0.0404103,2,3,0,183.355,1.91359
-178.731,0.99957,0.05628,2,7,0,178.927,2.05862
-179.199,0.838614,0.0977847,2,3,0,179.236,2.15427
-179.312,0.881768,0.111763,1,3,0,179.35,1.86719
-179.312,0.00231249,0.142168,1,1,0,179.891,1.86719
-179.718,0.985181,0.0197982,1,3,0,180.013,1.83067
-179.591,1,0.0328803,2,3,0,179.73,1.84108
-178.722,0.907982,0.0562195,1,3,0,180.368,2.05517
-179.078,0.921879,0.0760739,1,3,0,179.078,2.13591
-179.885,0.812438,0.106016,1,3,0,179.903,1.81802
-180.996,0.593817,0.112794,2,3,0,180.996,2.33138
-179.111,1,0.0708551,2,3,0,180.485,1.89025
-179.111,0.005647,0.118192,1,1,0,181.114,1.89025
-178.953,0.998326,0.0184933,1,3,0,179.234,1.91275
-180.012,0.895094,0.0307819,2,7,0,182.299,2.2472
