# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:58:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\gbb814eb.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation0\exponential_priors-20240424025843.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-189.762,1,0.03125,2,3,0,234.558,0.952038,0.860195,1.1374
-189.762,0,14.3855,0,1,1,190.903,0.952038,0.860195,1.1374
-189.762,0,2.43117,0,1,1,190.932,0.952038,0.860195,1.1374
-189.762,0,0.239791,0,1,1,191.853,0.952038,0.860195,1.1374
-187.005,1,0.0186273,1,1,0,190.086,0.941041,0.850863,1.14497
-169.164,1,0.0257257,4,15,0,185.086,0.898762,0.757822,1.29442
-167.64,1,0.0404064,2,3,0,169.355,0.896929,0.762066,1.37369
-166.689,0.806366,0.0687243,2,3,0,168.24,0.995242,0.754214,1.42635
-168.606,0.578781,0.0668219,2,3,0,168.875,0.935831,0.681195,1.46257
-163.126,0.999502,0.0324346,4,19,0,169.224,1.15568,1.05148,2.63602
-162.91,0.989959,0.0604703,3,7,0,163.529,1.07695,1.23042,2.57322
-162.569,0.957909,0.110827,1,1,0,163.014,1.11522,1.17874,2.51462
-162.569,4.9361e-045,0.184713,1,1,0,165.695,1.11522,1.17874,2.51462
-163.199,0.996315,0.0153059,4,23,0,164.206,0.994469,1.16429,2.29565
-162.757,0.996301,0.029252,3,15,0,164.181,1.12484,0.927213,2.00841
-163.633,0.771851,0.0557542,2,3,0,163.973,1.16473,0.89818,1.93644
-164.664,0.807776,0.0529998,2,3,0,165.11,1.15949,0.92903,1.88169
-166.587,0.615305,0.0564196,2,3,0,167.545,0.923133,0.924753,2.04984
-166.258,0.991839,0.033558,4,19,0,169.033,1.25865,1.25519,2.61607
-163.23,0.981082,0.0625327,4,15,0,165.831,1.07791,1.22754,2.44609
-163.23,2.16362e-011,0.111865,1,1,0,164.044,1.07791,1.22754,2.44609
-165.423,0.971654,0.0109097,4,31,0,168.739,1.23722,0.964232,2.80681
-164.703,0.994657,0.0191157,4,15,0,167.079,1.31147,0.952077,2.38201
-164.804,0.96312,0.0355009,4,15,0,166.336,1.18725,0.96921,2.6869
-162.229,1,0.0596076,3,7,0,164.356,1.12465,1.01119,2.24217
-162.229,0.000735547,0.110273,1,1,0,163.04,1.12465,1.01119,2.24217
-162.883,0.998907,0.0119082,5,31,0,163.237,1.04154,1.19554,2.45391
-163.35,0.993492,0.0220451,4,31,0,163.962,1.18767,0.870779,2.04683
-163.639,0.974847,0.0397912,3,11,0,165.607,1.22523,0.979167,2.59743
-162.717,0.9968,0.0675523,2,7,0,164.021,1.17889,0.979411,2.20658
-162.595,0.333335,0.120723,1,3,1,163.852,1.09267,1.12321,2.55011
-162.308,0.992956,0.0352527,2,3,0,162.726,1.11332,1.11731,2.40248
-163.423,0.79461,0.0620889,2,5,0,166.302,1.10408,1.19029,2.8117
-162.481,0.648127,0.0637767,3,15,0,164.246,1.17991,1.08426,2.50488
-163.994,0.85814,0.0444095,3,15,0,165.186,0.996669,0.842216,1.74579
-165.375,0.260044,0.0540211,2,7,0,171.166,1.05487,0.769496,1.55163
-163.645,1,0.0137611,4,15,0,165.505,1.01409,0.855843,1.80738
-163.275,0.998471,0.0243069,4,15,0,164.515,0.969004,1.00105,1.95319
-163.698,0.946365,0.0423861,4,15,0,164.364,1.1197,0.87853,1.83174
-164.143,0.992969,0.0641638,3,7,0,164.682,0.935953,0.931948,1.86242
-164.143,4.60267e-043,0.108588,1,1,0,170.273,0.935953,0.931948,1.86242
-163.71,1,0.0150644,5,63,0,164.676,1.26397,1.12903,2.88999
-164.21,0.977333,0.0260122,4,15,0,164.936,1.13717,1.36393,2.84189
-162.792,0.998699,0.0421218,3,15,0,164.868,1.15919,0.911454,2.10482
-162.777,0.382965,0.0713749,3,7,0,163.903,1.0897,0.897163,1.98628
-162.577,0.998838,0.0267272,4,23,0,163.4,1.11155,1.16905,2.6233
-163.951,0.624984,0.0450971,2,7,0,165.563,1.12339,1.04054,2.65691
-162.607,0.965868,0.0307291,2,3,0,164.874,1.18654,1.0208,2.46728
-162.598,0.986851,0.0475154,3,7,0,162.823,1.17662,1.04104,2.52207
-164.108,0.677621,0.0767536,3,7,0,165.033,1.15896,1.28606,3.13586
-164.416,0.916901,0.059424,2,7,0,166.367,1.24549,1.15967,3.13195
-164.911,0.328502,0.0808242,2,3,0,165.553,1.25169,1.08986,3.07752
-165.36,0.98945,0.0278535,4,15,0,166.093,0.966946,1.30142,2.69045
-165.36,0.417372,0.0448258,1,1,0,167.749,0.966946,1.30142,2.69045
-165.077,0.997959,0.0192715,3,7,0,166.08,0.972948,1.34476,2.6039
-163.303,0.997584,0.031494,4,15,0,165.452,1.24947,1.01045,2.5483
-169.216,0.844023,0.0511003,3,7,0,171.639,1.03625,1.66809,3.4997
-163.819,0.973089,0.0582973,3,7,0,172.364,1.27284,0.988607,2.3999
-163.819,0.00581692,0.0886458,2,7,1,164.453,1.27284,0.988607,2.3999
-163.806,0.999142,0.0155642,5,39,0,165.34,0.997492,0.969208,1.81729
-162.905,0.999105,0.0251356,3,7,0,164.011,1.07376,0.902399,1.90317
-162.825,0.889157,0.0403528,4,15,0,164.622,1.02033,1.08712,2.32062
-162.259,1,0.0506458,2,3,0,162.728,1.10422,1.07626,2.2906
-164.94,0.480239,0.080665,3,7,0,165.582,1.31962,1.17776,2.9018
-164.216,0.994723,0.0415325,2,7,0,167.001,1.26205,1.22389,3.14291
-165.52,0.942738,0.0651133,3,7,0,165.829,1.28362,1.24499,3.45664
-165.201,0.166961,0.0908727,2,7,1,166.821,1.147,1.43603,3.3402
-162.41,0.994706,0.0242789,4,15,0,166.428,1.1397,1.11432,2.56815
-163.608,0.90199,0.0378752,4,15,0,165.09,1.23664,0.915421,2.18127
-164.524,0.947642,0.048377,3,7,0,166.287,1.07455,0.769538,1.74595
-164.333,0.596139,0.0677937,3,7,0,165.829,0.981067,0.863357,1.86716
-162.998,0.956663,0.045553,3,11,0,164.982,1.15402,0.936084,2.31314
-163.389,0.505706,0.0648112,3,7,0,165.626,0.970491,1.04579,2.15609
-165.158,0.984348,0.036301,3,7,0,165.752,0.919548,1.11095,1.93362
-164.249,0.94507,0.0545116,2,7,0,166.689,1.19885,0.832111,1.89585
-162.818,1,0.0752379,2,3,0,164.633,1.14187,1.00136,2.11747
-162.818,2.04926e-012,0.115686,1,1,0,163.59,1.14187,1.00136,2.11747
-163.458,0.997081,0.0235575,4,31,0,163.945,1.17336,1.26913,2.75582
-164.562,0.893516,0.0360558,2,3,0,164.803,1.06323,1.21913,2.88237
-163.515,1,0.0446797,1,1,0,164.328,1.08658,1.22594,2.81672
-162.418,0.984739,0.0682654,3,7,0,163.712,1.16294,1.09299,2.44546
-164.009,0.0917428,0.100775,2,6,1,165.221,1.27659,0.92929,2.33253
-166.074,0.983272,0.0255499,3,7,0,166.44,1.27547,0.823137,2.43262
-165.084,0.977175,0.0376373,3,7,0,168.212,1.33929,0.973079,2.55602
-166.055,0.282416,0.0545822,2,3,0,170.556,1.25432,1.12429,2.32984
-167.082,0.940355,0.020478,2,3,0,167.946,1.26659,1.14296,2.33304
-162.953,1,0.0276347,3,7,0,166.978,1.12772,1.09193,2.64252
-163.721,0.992449,0.0417059,4,15,0,164.495,1.2033,1.27672,3.06336
-162.619,0.993552,0.0618004,3,7,0,163.93,1.08716,1.18898,2.55805
-162.619,0.030837,0.0914363,1,3,0,164.037,1.08716,1.18898,2.55805
-162.317,0.998867,0.0216969,4,15,0,162.992,1.1363,0.98406,2.23598
-163.261,0.986875,0.0324567,4,15,0,163.967,1.17142,0.866627,2.0921
-162.81,0.986174,0.0472974,3,15,0,164.59,1.10717,1.22573,2.66213
-162.25,0.594754,0.0686018,3,7,0,164.857,1.11937,1.0328,2.23806
-163.66,0.981716,0.0478029,3,11,0,165.333,1.05804,0.828834,1.77879
-163.164,0.536789,0.0685291,3,7,0,164.602,0.986895,0.973571,1.91189
-162.774,0.99587,0.0430244,4,15,0,163.334,1.15376,0.914342,2.08084
-164.108,0.783451,0.063132,2,7,0,164.84,1.2596,0.923106,2.18417
-162.911,0.569898,0.0625513,2,3,0,165.686,0.996914,0.992522,2.04606
-163.432,0.781698,0.0419662,1,3,0,164.467,1.06806,1.03101,1.99058
-162.216,0.974279,0.664219,3,7,0,162.989,1.10967,1.00734,2.21146
-162.216,0,9.11857,0,1,1,162.512,1.10967,1.00734,2.21146
-162.216,1.07553e-057,1.51984,1,1,0,164.166,1.10967,1.00734,2.21146
-162.405,0.993478,0.148723,4,23,0,162.727,1.05169,1.01345,2.18748
-163.037,0.953277,0.196469,3,15,0,165.612,1.1489,1.01299,2.52507
-163.302,0.975048,0.266226,1,1,0,163.315,1.1483,1.00402,2.54086
-162.873,0.997035,0.417184,3,15,0,163.37,1.15018,1.12591,2.36826
-162.873,0.0172633,0.735772,2,7,0,165.691,1.15018,1.12591,2.36826
-162.519,0.999126,0.0615454,5,63,0,163.676,1.18085,1.05204,2.38908
-163.274,0.988833,0.112838,3,7,0,163.427,1.19434,1.06975,2.30887
-162.994,0.997253,0.203861,2,3,0,163.411,1.18733,1.05599,2.30225
