# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 02:53:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\b0341ta5.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation5\exponential_priors-20240424035333.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-219.321,1,0.0625,2,3,0,260.969,0.836944,0.575017,1.74829
-219.321,0,14.3855,0,1,1,220.566,0.836944,0.575017,1.74829
-219.321,0,2.43117,0,1,1,220.963,0.836944,0.575017,1.74829
-219.321,0,0.239791,0,1,1,219.651,0.836944,0.575017,1.74829
-195.8,1,0.0186273,3,7,0,218.664,1.03065,0.689627,1.56019
-194.832,0.997696,0.0257257,3,7,0,195.948,1.0429,0.725967,1.6372
-194.431,0.859371,0.0401224,4,15,0,197.63,1.32209,1.51391,4.56787
-194.912,0.735424,0.0440446,2,3,0,196.564,1.21163,1.44367,4.5704
-195.605,0.937139,0.0341201,3,7,0,196.907,1.14787,1.46358,4.51972
-194.071,0.997989,0.0511872,3,7,0,196.947,1.07666,1.90969,4.31236
-194.071,0.314878,0.0950369,1,1,0,194.261,1.07666,1.90969,4.31236
-192.627,0.999219,0.0206393,4,15,0,194.425,1.09766,1.77943,3.97114
-191.648,0.87223,0.0393771,3,7,0,193.793,1.10048,1.39933,3.67506
-189.941,0.998618,0.0506085,3,15,0,191.864,1.07013,1.23562,2.93448
-189.941,0.0763765,0.0967804,1,3,0,191.076,1.07013,1.23562,2.93448
-190.877,0.993813,0.010587,4,15,0,191.158,1.02265,1.20108,2.90846
-191.967,0.972862,0.0201545,3,7,0,192.678,1.17988,1.2199,2.65583
-191.231,0.99928,0.0357772,3,11,0,193.15,1.05157,1.39121,3.429
-191.123,0.686908,0.0683692,3,7,0,194.552,0.923176,1.1488,2.42134
-191.303,0.848526,0.0506512,3,15,0,192.665,1.22501,1.18332,2.9924
-189.917,1,0.0611352,2,3,0,191.323,1.1119,1.25221,2.84204
-189.917,0.000203569,0.115238,1,3,1,191.13,1.1119,1.25221,2.84204
-189.778,0.999867,0.0114744,4,31,0,190.029,1.07411,1.21406,2.82794
-190.834,0.989234,0.0217291,3,15,0,191.053,1.20064,1.19589,2.99473
-190.266,0.977697,0.0395009,3,11,0,192.332,1.08193,1.06823,2.57291
-190.314,0.857592,0.0688058,2,3,0,190.652,1.05618,1.19516,2.47437
