# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:06:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\h1hjb9fn.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation0\exponential_priors-20240423150656.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-245.417,1,0.0625,2,3,0,283.74,0.79256,0.598668,1.64173
-245.417,0,14.3855,0,1,1,246.764,0.79256,0.598668,1.64173
-245.417,0,2.43117,0,1,1,246.558,0.79256,0.598668,1.64173
-245.417,0,0.239791,0,1,1,246.586,0.79256,0.598668,1.64173
-236.215,0.987707,0.0186273,3,15,0,247.068,1.12161,0.726554,1.51067
-232.641,1,0.0247999,3,7,0,236.732,0.854304,0.700373,1.58841
-232.665,0.991191,0.0389138,3,7,0,234.765,0.980233,0.616515,1.40182
-233.212,0.88259,0.0643554,3,7,0,234.104,0.696793,0.731391,1.29925
-231.797,0.216443,0.0794607,3,7,0,234.483,0.74656,0.775241,1.44475
-232.301,0.999873,0.0122935,3,15,0,232.634,0.727169,0.804788,1.3423
-230.087,0.998457,0.0229157,4,31,0,232.936,0.962936,0.813988,1.7048
-230.296,0.994616,0.0431887,3,7,0,230.741,0.809656,0.927701,1.71564
-230.296,0.0105188,0.0810324,2,7,0,232.526,0.809656,0.927701,1.71564
-231.71,0.998108,0.00696506,6,63,0,232.414,1.07202,1.08866,2.54624
-231.193,0.999931,0.013444,5,31,0,232.206,1.05515,1.05221,2.42702
-230.027,0.960284,0.0260414,3,15,0,232.901,0.876861,1.01591,1.9506
-230.09,0.969795,0.0444378,2,7,0,231.639,1.00018,0.940972,2.11325
-229.982,0.858796,0.0776921,2,3,0,231.182,0.989311,0.94136,2.0928
-229.982,0.168307,0.0964108,2,3,0,231.404,0.989311,0.94136,2.0928
