# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:14:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\sx3meial.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation1\exponential_priors-20240423151420.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-213.724,1,0.0625,2,7,0,240.727,1.47798,0.646526,1.8188
-213.724,0,14.3855,0,1,1,215.541,1.47798,0.646526,1.8188
-213.724,0,2.43117,0,1,1,214.104,1.47798,0.646526,1.8188
-213.724,0,0.239791,0,1,1,214.127,1.47798,0.646526,1.8188
-202.109,0.992342,0.0186273,2,3,0,214.951,1.29578,0.665245,1.83913
-193.226,0.984885,0.0251451,4,15,0,205.507,1.04987,0.797478,2.07369
-189.579,0.998523,0.037685,3,15,0,194.716,1.05962,1.00541,2.13859
-188.719,0.398206,0.0637279,2,7,0,193.768,0.887849,0.86697,1.88816
-188.168,0.999328,0.0171689,4,31,0,189.225,0.840012,0.945234,1.53977
-186.323,1,0.031242,2,7,0,188.385,0.796694,0.949582,1.62165
-186.838,0.772713,0.0583356,2,3,0,187.124,0.740769,0.945528,1.70047
-188.516,0.956279,0.0538313,3,7,0,189.06,0.635963,0.944596,1.43748
-187.288,0.355738,0.0894547,1,3,0,188.866,0.71248,0.879479,1.43349
-187.613,0.999212,0.022685,5,31,0,187.878,0.969046,1.09849,2.23162
-187.456,0.930966,0.0436537,3,7,0,188.44,0.941187,1.1476,2.30203
-191.668,0.052671,0.0677847,1,1,0,192.11,0.980768,1.27568,2.1599
-187.349,1,0.00703894,4,15,0,191.971,0.890384,1.2315,2.32355
-188.172,0.997816,0.013681,4,15,0,188.305,0.921654,1.24911,2.50179
-190.167,0.978052,0.0262231,3,7,0,190.319,1.05619,1.19676,2.59731
-188.666,0.978502,0.0469738,3,7,0,190.812,0.738081,1.30975,2.12645
-187.891,0.45321,0.0835838,2,3,0,188.989,0.79763,1.2968,2.19037
-189.325,0.881694,0.0312045,4,19,0,191.021,0.868413,0.794021,1.35755
-188.122,1,0.0416299,4,15,0,190.109,0.726738,1.10699,2.01478
-187.371,0.990289,0.0780053,3,7,0,188.352,0.763729,1.003,1.89766
-187.371,2.96392e-014,0.140692,1,3,1,188.742,0.763729,1.003,1.89766
-186.725,0.999365,0.0148392,4,23,0,187.866,0.776613,0.981901,1.83255
-188.345,0.948508,0.0275926,3,15,0,188.58,0.942468,1.0774,1.89691
-187.324,1,0.044023,2,7,0,189.065,0.883531,1.09341,2.22194
-186.973,1,0.0804431,2,3,0,187.493,0.940513,1.0623,2.0739
-186.973,5.97749e-024,0.145527,1,1,0,190.755,0.940513,1.0623,2.0739
-186.392,0.974847,0.0168561,5,31,0,192.302,0.870133,1.11067,2.01945
-186.5,0.996741,0.0285702,2,7,0,187.054,0.892309,1.10095,2.05498
-186.544,0.77466,0.0509225,2,7,0,187.827,0.868746,1.01335,1.78468
-187.719,0.826933,0.0496714,2,7,0,188.153,0.906117,1.04541,1.80803
-188.579,0.98808,0.0556686,3,7,0,189.436,0.999367,0.956027,2.10389
-187.997,1,0.0951258,1,1,0,188.702,0.996254,0.998322,2.07081
-187.997,1.57465e-041,0.166258,1,1,0,190.031,0.996254,0.998322,2.07081
-186.852,0.995858,0.0216427,4,15,0,189.466,0.932885,1.05749,2.04648
-186.775,0.993548,0.0375214,4,15,0,187.289,0.818914,1.16726,2.14163
-186.798,0.894589,0.064118,3,7,0,189.446,0.720057,1.07504,1.77705
-186.878,0.128439,0.0846027,3,7,0,187.873,0.748382,0.982762,1.78959
-186.191,0.998512,0.016234,5,39,0,187.412,0.772136,1.04537,1.78007
-188.036,0.94847,0.0279126,4,31,0,188.977,0.693326,0.852385,1.49798
-186.553,1,0.0420621,3,15,0,188.447,0.77101,1.0005,1.83416
-186.24,0.628236,0.0715028,2,7,0,187.505,0.790742,0.933223,1.69374
-186.15,0.985344,0.048704,2,3,0,186.34,0.817064,0.92942,1.67532
-187.51,0.276893,0.0792024,2,3,0,188.11,0.875557,0.847019,1.72683
-188.589,0.951332,0.0232701,3,11,0,189.695,0.849348,0.967935,1.56313
-190.446,0.788477,0.0348199,2,7,0,192.285,0.725249,0.906658,1.80747
-188.601,1,0.0352026,2,3,0,191.198,0.804208,0.955478,1.49818
-188.125,0.976723,0.0585733,3,11,0,189.634,0.848136,1.06176,2.19686
-188.19,0.221956,0.0916542,2,5,1,190.148,0.98736,0.933581,2.00407
-187.446,0.999878,0.0246318,3,7,0,188.594,0.948759,0.971327,2.03204
-186.033,0.98485,0.0406403,2,7,0,188.898,0.824829,1.04892,1.86268
-186.926,0.750457,0.064353,3,7,0,187.318,0.931493,0.948273,1.8546
-186.482,0.876851,0.0593333,3,9,0,187.508,0.767349,0.962508,1.59907
-187.627,0.500526,0.0729249,2,7,0,190.942,0.802333,0.828819,1.40398
-188.878,0.511193,0.0382777,2,3,0,190.933,0.755199,0.782032,1.50564
-186.53,0.995716,0.0207369,4,23,0,189.443,0.819127,0.924887,1.76641
-186.138,0.991226,0.0332793,3,7,0,186.608,0.83682,0.973632,1.72951
-187.213,0.716555,0.0525723,3,15,0,188.045,0.753033,0.891238,1.65051
-187.398,0.862557,0.0451316,2,5,0,189.065,0.682241,0.912872,1.4813
-187.058,0.987135,0.053407,2,3,0,187.719,0.699553,0.949358,1.53306
-187.058,0.261981,0.0826908,1,1,0,187.324,0.699553,0.949358,1.53306
-187.049,0.977686,0.0265553,3,7,0,187.455,0.717181,0.946119,1.51588
-186.974,0.994514,0.0402367,3,7,0,187.217,0.701393,0.939777,1.54295
-187.1,0.98651,0.0628969,3,7,0,187.588,0.731229,0.855903,1.45446
-187.1,0.0936094,0.0961684,1,3,0,187.335,0.731229,0.855903,1.45446
-186.709,0.99581,0.0221526,3,15,0,189.106,0.885008,0.898222,1.67672
-186.926,0.893651,0.0345666,3,15,0,189.039,0.892742,0.996977,2.02616
-188.374,0.918306,0.0433458,2,3,0,188.455,0.976882,1.07042,1.97798
-188.158,0.386239,0.0570697,2,3,0,191.356,0.890696,1.03796,2.21442
-187.197,0.998527,0.0249071,3,7,0,188.402,0.832205,1.1782,1.96979
-187.426,0.883754,0.0386721,4,31,0,188.925,0.754353,1.01276,1.58857
-188.161,0.788641,0.0472441,1,3,0,188.682,0.77539,1.01136,1.56564
-186.421,1,0.0474437,1,3,0,187.672,0.745898,0.957826,1.60659
-186.421,0.00944818,0.07312,2,7,0,190.351,0.745898,0.957826,1.60659
-187.049,0.985866,0.0152111,3,15,0,187.481,0.736699,0.886484,1.58655
-187.257,0.98896,0.0228126,3,15,0,189.531,0.886311,0.834836,1.58245
-187.255,0.914266,0.0342829,3,15,0,189.539,0.912852,1.08468,1.93088
-187.05,1,0.0442305,2,3,0,187.395,0.89402,0.99908,2.0454
-186.82,0.891444,0.0674364,2,3,0,188.451,0.927889,0.98935,1.96794
-187.019,0.886614,0.0826907,3,7,0,187.834,0.828188,1.22366,2.18477
-187.019,0.349361,0.100236,1,3,0,187.159,0.828188,1.22366,2.18477
-186.64,0.998893,0.0425374,2,3,0,187.068,0.829967,1.16754,2.12714
-189.964,0.828226,0.0641893,3,7,0,190.234,0.961155,1.41232,2.71467
-191.082,0.648662,0.069384,2,3,0,191.672,1.03171,1.36173,2.91394
-188.337,0.843044,0.0530552,3,15,0,194.078,0.676793,0.854048,1.48509
-188.621,0.992368,0.0589966,2,3,0,188.932,0.652535,0.926112,1.39333
-188.621,0.0712533,0.0871094,1,3,0,190.144,0.652535,0.926112,1.39333
-187.581,1,0.0223224,3,7,0,188.859,0.6769,0.899982,1.49837
-186.779,0.996637,0.0334598,4,15,0,188.916,0.717129,1.02903,1.7524
-186.147,0.887175,0.0496559,3,7,0,187.451,0.827931,0.97086,1.70928
-186.005,0.993558,0.0598229,3,7,0,186.151,0.810381,1.00841,1.77366
-186.005,0.115703,0.0877344,1,1,0,186.363,0.810381,1.00841,1.77366
-186.327,0.964105,0.0251313,3,15,0,187.021,0.75789,1.06379,1.82719
-186.276,1,0.0349122,3,7,0,186.347,0.76437,1.06526,1.83522
-186.311,0.994578,0.0516648,3,11,0,186.526,0.750801,1.0352,1.75379
-186.402,0.793319,0.0754461,3,7,0,186.649,0.891509,1.03799,1.91419
-186.435,0.581818,0.0760517,3,7,0,186.654,0.887655,1.03795,1.89052
-186.437,0.992559,0.417448,3,7,0,186.727,0.768148,0.994044,1.64643
-186.437,0,5.92451,0,1,1,187.578,0.768148,0.994044,1.64643
-186.437,3.02021e-031,0.997242,1,1,0,187.675,0.768148,0.994044,1.64643
-186.185,0.979125,0.0981353,2,7,0,187.786,0.763508,0.983736,1.68589
-187.309,0.986366,0.12487,5,31,0,187.662,0.741711,1.14318,1.81767
-187.774,0.995983,0.18684,2,7,0,188.372,0.692745,1.15147,1.88323
-187.237,1,0.313097,2,3,0,187.813,0.722739,1.15224,1.88553
-187.237,0.0510743,0.55896,2,3,0,188.205,0.722739,1.15224,1.88553
-187.201,0.997682,0.0520925,6,63,0,188.756,0.773848,0.843811,1.5689
-185.989,0.999977,0.0952097,5,47,0,187.892,0.813813,1.02792,1.82449
-186.6,0.959706,0.178255,3,11,0,187.327,0.773502,1.07696,1.94978
-187.103,0.778194,0.296266,2,3,0,188.386,0.782023,1.09939,2.0517
-188.765,0.968006,0.278815,4,15,0,189.334,0.887951,1.25581,2.55816
-191.537,0.965073,0.47783,3,7,0,192.452,1.10681,1.13891,2.3708
-191.537,4.42653e-006,0.809052,1,1,0,191.697,1.10681,1.13891,2.3708
-192.325,1,0.0685466,4,15,0,193.393,1.10373,1.0453,2.60641
-189.352,0.996357,0.130499,3,7,0,192.912,1.02271,1.12727,2.49226
-187.128,0.999298,0.243889,3,7,0,189.985,0.903348,1.18684,2.17277
-186.444,0.970912,0.456099,3,7,0,187.649,0.792005,0.888657,1.60931
