# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:22:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\rtmwt_cr.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation2\exponential_priors-20240423152218.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-138.443,1,0.0625,2,3,0,161.281,0.772686,0.650322,1.88766
-138.443,0,14.3855,0,1,1,141.71,0.772686,0.650322,1.88766
-138.443,0,2.43117,0,1,1,139.132,0.772686,0.650322,1.88766
-138.443,0,0.239791,0,1,1,139.198,0.772686,0.650322,1.88766
-119.635,1,0.0186273,2,3,0,138.59,0.814663,0.679358,1.71565
-96.0583,0.983251,0.0257257,3,15,0,119.231,0.768478,1.09794,1.99671
-95.8232,0.996989,0.0383865,2,7,0,97.8871,0.908881,1.09392,1.79014
-94.0631,1,0.0646247,1,3,0,95.4037,0.841875,1.10221,1.96311
-94.0631,8.33381e-006,0.115407,1,1,0,94.0813,0.841875,1.10221,1.96311
-93.5513,0.998006,0.00903042,6,63,0,95.0394,0.870928,1.44204,2.45289
-93.6589,0.989919,0.0167269,3,7,0,93.9712,0.899043,1.4397,2.44156
-95.7037,0.982694,0.0306971,3,15,0,96.9552,0.961319,1.71117,3.12029
-94.14,0.502168,0.0555299,3,7,0,97.3745,0.930276,1.5165,2.60295
-93.3591,0.995307,0.0223337,4,27,0,94.6531,0.911492,1.37671,2.50278
-95.5572,0.908566,0.0424611,2,7,0,97.2802,0.758284,1.50877,2.34512
-94.1503,0.859644,0.0615227,2,7,0,96.6658,0.809938,1.23224,2.20425
-93.8597,0.202673,0.076569,2,5,0,95.2513,0.88946,1.15411,2.15235
-94.8244,0.997726,0.0128061,5,63,0,96.278,0.911057,1.08992,1.85576
-94.3523,0.999003,0.024552,4,31,0,96.8693,0.788704,1.44532,2.36673
-93.7115,0.705024,0.0468641,2,7,0,97.0466,0.939249,1.26939,2.42714
-93.6111,0.963857,0.0368987,4,19,0,94.4791,0.921908,1.22413,2.30676
-93.4059,0.990051,0.0627684,3,7,0,93.8962,0.910281,1.23959,2.2918
-94.1193,0.24487,0.114371,1,3,1,94.7684,0.787469,1.2912,2.05253
-94.5654,0.999676,0.0236644,4,31,0,95.4141,0.818743,1.09248,1.78557
-96.1331,0.683199,0.0443009,4,15,0,97.6724,0.965487,1.151,1.92283
-94.2598,0.995168,0.0332339,3,11,0,96.689,0.892869,1.14373,2.184
-93.6057,0.994286,0.0606479,3,11,0,94.4822,0.862126,1.19431,2.01107
-93.6057,0.0495847,0.109305,1,3,0,93.7143,0.862126,1.19431,2.01107
-93.6949,0.996987,0.0140467,4,31,0,94.4518,0.848204,1.2484,2.0492
-94.4266,0.917536,0.0255726,2,7,0,95.914,0.777499,1.30523,2.0426
-94.3268,0.995981,0.0370824,3,15,0,95.3231,0.767912,1.17984,1.90298
-94.3268,0.355427,0.0661334,3,7,0,94.8809,0.767912,1.17984,1.90298
-94.1832,0.970282,0.0208054,3,15,0,97.1405,0.889823,1.17427,1.95757
-93.4772,0.527377,0.0344764,3,11,0,100.109,0.928097,1.23523,2.30131
-95.5295,0.971475,0.0175182,5,31,0,96.6355,0.858153,1.68402,2.87788
-95.2403,0.999671,0.0289206,2,3,0,95.5752,0.860733,1.66,2.83396
-94.3405,0.996944,0.050978,3,7,0,96.3925,0.862127,1.56338,2.64404
-95.0667,0.877883,0.0884306,2,3,0,95.6178,0.954214,1.62738,3.0281
-95.0667,0.0250229,0.112014,1,3,0,97.1677,0.954214,1.62738,3.0281
-97.0923,0.94471,0.0160766,3,7,0,97.9196,0.978651,1.53623,3.23082
-94.58,0.995149,0.0243323,3,7,0,97.6937,0.986462,1.50817,2.89527
-98.6632,0.40353,0.0415351,2,3,0,99.4217,0.96849,1.42443,3.15893
-95.7564,0.995429,0.0160959,3,15,0,99.8689,0.999645,1.66374,2.95136
-95.3822,1,0.0273531,3,7,0,95.9233,1.00202,1.63585,3.04083
-96.2795,0.71658,0.0466421,3,7,0,97.398,0.986938,1.48226,3.09317
-94.2154,0.993666,0.0395299,3,7,0,96.9953,0.998494,1.40933,2.70877
-94.3452,0.371392,0.0656886,3,7,0,95.914,0.76007,1.25502,2.00083
-97.8111,0.842508,0.0242569,4,31,0,100.318,0.70373,1.11097,1.96353
-96.3582,1,0.0279789,2,3,0,97.7432,0.72071,1.11884,1.93547
-97.1176,0.912256,0.0467951,2,3,0,98.0652,0.728688,1.0735,1.91485
-97.1176,0.00141028,0.0631947,1,1,0,100.03,0.728688,1.0735,1.91485
-95.778,0.998682,0.0100726,5,47,0,99.4803,0.941329,1.39358,2.86109
-93.9006,0.98242,0.0167273,3,7,0,98.8959,0.917609,1.51053,2.71266
-94.3476,0.971309,0.0265734,4,23,0,97.1515,0.945179,1.0942,2.04268
-95.6242,0.807489,0.0409009,4,15,0,96.5317,0.940888,1.09153,1.84689
-94.616,1,0.0430748,2,3,0,95.4102,0.933906,1.0739,1.91961
-95.0988,0.778275,0.0701375,2,3,0,95.521,0.894836,1.07395,1.79759
-94.0513,0.749062,0.0688613,3,7,0,95.8288,0.940422,1.17203,2.06154
-94.1012,0.71871,0.0633304,3,7,0,94.9875,0.886375,1.54507,2.69559
-94.8938,0.677318,0.0544847,1,1,0,94.9398,0.887066,1.59289,2.60867
-93.7344,0.903609,0.0428418,3,15,0,95.9703,0.920896,1.15087,2.07482
-94.7618,0.729893,0.0555701,2,7,0,96.3929,0.944881,1.48669,2.48001
-97.5104,0.56861,0.0491376,2,3,0,98.5393,0.960911,1.4825,2.32454
-94.1057,1,0.0306353,2,3,0,97.4306,0.951887,1.41735,2.4341
-94.2351,0.982553,0.0487968,4,15,0,94.5231,0.867178,1.36287,2.55286
-93.7858,0.243867,0.0744584,3,7,0,94.6609,0.970242,1.39256,2.61888
