# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:33:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\wxqlrgae.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation3\exponential_priors-20240423153306.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-235.233,0.857143,0.0625,2,7,0,277.476,0.863095,0.66781,1.74829
-235.233,0,11.0949,0,1,1,236.338,0.863095,0.66781,1.74829
-235.233,0,1.73612,0,1,1,238.02,0.863095,0.66781,1.74829
-235.233,0,0.163874,0,1,1,237.749,0.863095,0.66781,1.74829
-235.457,0.990679,0.0123847,3,15,0,237.156,0.831858,0.681547,1.73222
-230.283,1,0.0163428,3,7,0,236.136,0.857925,0.751418,1.72383
-228.837,0.98273,0.0253566,2,3,0,231.127,0.88101,0.749886,1.61739
-229.276,0.893787,0.0405555,2,3,0,230.085,0.853387,0.745154,1.60478
-229.131,1,0.0516373,1,3,0,230.06,0.878748,0.719108,1.52653
-229.131,5.40346e-007,0.0946662,1,1,0,231.4,0.878748,0.719108,1.52653
-229.988,0.998105,0.00749375,4,15,0,230.219,0.869797,0.688294,1.51144
-228.667,0.996857,0.0141256,5,47,0,230.846,0.85929,0.882147,1.93162
-229.599,0.975165,0.0267805,3,15,0,230.86,0.878253,0.913887,1.61297
-228.606,1,0.0476101,2,7,0,229.502,0.848245,0.80979,1.7131
-228.764,0.325552,0.0914703,2,5,0,228.955,0.944696,0.846681,1.65753
-228.135,0.99148,0.0216627,3,15,0,229.665,0.913013,0.842917,1.6672
-228.376,0.942805,0.0407421,3,7,0,228.663,0.889467,0.906996,1.69538
-229.016,0.668988,0.0656367,1,1,0,229.486,0.896395,0.92065,1.6771
-230.054,0.994119,0.0458835,3,15,0,231.367,1.02256,0.829119,2.1925
-229.12,0.504124,0.0858723,3,7,0,229.994,0.756241,0.901327,1.67393
-230.347,0.998458,0.0369602,3,15,0,232.295,0.867634,0.655165,1.30805
-228.605,0.932021,0.0696441,2,7,0,234.096,0.780442,0.922415,1.70798
-228.605,0.00329369,0.106955,1,3,0,232.383,0.780442,0.922415,1.70798
-229.979,0.985102,0.0109719,5,47,0,231.954,0.951106,0.695944,1.65963
-229.955,0.998608,0.0198248,4,31,0,231.567,1.0736,0.796461,1.846
-229.319,0.980199,0.036875,2,3,0,230.361,1.0549,0.815033,1.89997
-228.115,1,0.0644416,3,7,0,229.721,0.921342,0.814259,1.66592
-228.115,5.18006e-008,0.11796,1,1,0,229.273,0.921342,0.814259,1.66592
-230.418,0.992029,0.0131953,4,31,0,233.122,0.715731,1.03073,1.76798
-232.795,0.909512,0.0237084,4,31,0,235.794,0.667826,0.918193,1.71221
-229.133,1,0.033653,2,3,0,232.822,0.761076,0.932987,1.63887
-228.06,0.756,0.0607248,2,3,0,229.515,0.826781,0.873711,1.68412
-228.339,0.989324,0.0562399,2,3,0,228.378,0.806925,0.899883,1.65747
-228.339,0.645283,0.0972711,1,1,0,228.519,0.806925,0.899883,1.65747
-229.335,0.294663,0.0669965,2,3,0,230.301,0.799049,0.847753,1.75636
-229.06,0.977084,0.0184618,3,15,0,230.957,0.822769,0.923625,1.61516
-228.526,0.989431,0.0307889,3,7,0,229.847,0.79858,0.921909,1.81164
-228.039,0.975113,0.0525861,4,15,0,230.188,0.929176,0.940652,1.84034
-228.676,0.104857,0.0858485,2,5,0,229.599,0.917203,0.984207,1.8356
-228.566,1,0.0151326,3,15,0,228.857,0.908451,0.984477,1.83251
-229.254,0.998925,0.0263539,4,23,0,229.746,0.818508,1.05198,2.17424
-228.764,0.994261,0.0453876,2,3,0,229.738,0.940872,1.05993,2.0153
-231.329,0.43073,0.0766358,2,3,0,232.44,1.13446,0.780884,2.07224
-230.232,0.990604,0.0318378,4,15,0,235.517,0.940414,0.687138,1.38967
-230.19,0.87003,0.0529928,1,3,0,231.206,0.935315,0.729731,1.41427
-229.797,0.824958,0.0652433,3,7,0,230.83,0.788424,0.723416,1.3954
-228.568,0.977456,0.0717959,3,7,0,230.507,0.862841,0.831469,1.55266
-229.581,0.140922,0.113849,2,4,1,232.274,0.775599,1.0308,1.75699
-230.473,0.994122,0.0243109,4,23,0,231.806,1.11745,1.09259,2.83009
-231.378,0.826512,0.0401354,2,3,0,232.408,1.14072,1.14344,2.65742
-228.902,0.999267,0.0443285,3,7,0,231.439,0.976071,1.17426,2.6675
-228.902,0.132923,0.0732587,2,3,0,231.176,0.976071,1.17426,2.6675
-229.46,0.997047,0.0160286,3,15,0,230.006,1.05883,1.16352,2.73521
-229.448,0.997691,0.0263462,2,3,0,229.643,1.05643,1.14979,2.76121
-229.578,0.994377,0.0430862,3,7,0,229.856,1.05654,1.08703,2.7445
-228.22,0.928737,0.0694858,2,3,0,230.317,1.00317,1.05472,2.28023
-231.575,0.605585,0.0959719,2,3,0,232.274,1.15697,0.907839,2.54572
